# log_X log_likelihood tiebreaker accepts tries exceeds visits
0.000000000000000000e+00 -1.797693134862315708e+308 0.000000000000000000e+00 30982 30982 11285 30982
-1.009008045956940824e+00 -2.448252996538035586e+04 9.632057943890854901e-01 25549 30900 13360 41139
-2.124265529646279127e+00 -1.828430926480229391e+04 3.692165921752585400e-01 22855 30919 14398 43313
-3.218397190776546513e+00 -1.674652649177381682e+04 3.331050954766105465e-01 21433 30774 17081 44093
-4.170106530856831029e+00 -1.631632008097985090e+04 3.640151567989566850e-01 20257 30646 15258 46435
-5.275461577143515157e+00 -1.614791822637248151e+04 2.993585595418224443e-02 19591 30705 14630 44983
-6.390097197156304532e+00 -1.608812483936941862e+04 4.146469853872420397e-01 18953 30768 15422 44766
-7.451284252691029231e+00 -1.606972264391948556e+04 2.156343019636262071e-01 18526 30911 25891 45742
-8.043299898109021129e+00 -1.606521931404746647e+04 9.059863163694625854e-01 18393 31113 31056 56047
-8.651809827446099277e+00 -1.606278074218137590e+04 3.284011870981342063e-01 18263 31102 25848 60671
-9.511827242551786910e+00 -1.606100154453811774e+04 8.225143403407029208e-01 17649 31027 19220 55651
-1.057147742236082522e+01 -1.606027085897660072e+04 3.663382506144191586e-01 17278 30853 17131 48882
-1.161698096542452419e+01 -1.605999400865998723e+04 8.991599357628925482e-01 17120 30703 33946 46653
-1.196683291353891576e+01 -1.605995008025885181e+04 9.969193023642625162e-01 16914 30746 40501 62346
-1.241936210416402808e+01 -1.605991095540709102e+04 4.761959637004329893e-01 16732 30802 19532 3697
-1.367159586986440445e+01 -1.605986506845995973e+04 8.253523409947551848e-01 16611 30804 25730 49448
-1.434262732531402484e+01 -1.605985589090263238e+04 4.022672544027995345e-01 16430 30863 33624 55139
-1.485899606798871275e+01 -1.605985223944355494e+04 8.586581584188892613e-01 16244 30939 32461 62520
-1.552857390276210658e+01 -1.605984951520233153e+04 4.136694497355835054e-01 16245 30879 17234 61613
-1.678729325887895385e+01 -1.605984735763832214e+04 9.775313873912132578e-01 16118 30953 6274 47109
-1.869822251681583936e+01 -1.605984655811171251e+04 2.433188975595907411e-01 15978 30971 4233 36712
-2.069824554942394457e+01 -1.605984644580998247e+04 9.741213103422659003e-01 15452 31307 10224 35091
-2.190997456498843121e+01 -1.605984643348093596e+04 7.857864108414120974e-01 15823 31454 11496 40565
-2.314955335327310237e+01 -1.605984642791510487e+04 4.271549181171135218e-02 15716 31399 5756 42147
-2.502875385705869249e+01 -1.605984642637887919e+04 5.713816755894215449e-01 13412 27422 21406 32783
-2.549415616296228748e+01 -1.605984642630656163e+04 1.122843726043027957e-01 13136 27047 31445 47875
-2.594214216535571538e+01 -1.605984642625892957e+04 8.900236395218876773e-01 13204 26826 43639 57697
-2.624844385658732904e+01 -1.605984642623264881e+04 9.145371626214671146e-01 13094 26503 33256 4017
-2.699637598814545925e+01 -1.605984642618778526e+04 5.403684998527483740e-01 12718 26050 22684 58725
-2.795001786060579363e+01 -1.605984642615957273e+04 8.569369069036399944e-01 12735 26127 0 0
