# level_assignment log_likelihood tiebreaker ID
1 -2.333170223640941185e+04 5.560101138041462221e-02 3
1 -1.812385076065805697e+04 7.067620395551514889e-01 3
1 -1.616081188468164328e+04 7.089414932686656234e-01 3
2 -1.702652373750557308e+04 7.500573933094578649e-01 3
3 -1.649412105804050225e+04 8.149886776158503654e-01 4
1 -2.096767469931833693e+04 5.516674915583549277e-01 0
4 -1.606563997938273133e+04 8.224432327747598082e-02 4
3 -1.608812483936941862e+04 4.146469853872420397e-01 2
1 -2.301471314625008381e+04 7.781625128686442405e-01 4
6 -1.607978448883842793e+04 9.949428708167964430e-01 2
6 -1.606916959607925673e+04 6.146194629735494269e-02 1
4 -1.631457811353475154e+04 9.866665619498152795e-01 1
5 -1.611633791257021767e+04 9.038218046513313286e-01 4
3 -1.666109894948644796e+04 7.562689073480060031e-01 4
7 -1.606774136547677881e+04 9.193570429634387864e-01 2
5 -1.613061804727564231e+04 5.999564109616462027e-01 4
6 -1.607371794481836332e+04 5.555924537156308185e-01 2
1 -1.713925946916895919e+04 8.409918144422977582e-01 4
7 -1.606362038029475116e+04 5.824953431838979512e-01 0
9 -1.606077255106019402e+04 4.167518693385846573e-01 1
4 -1.606709067280032286e+04 5.342801969212758184e-01 3
5 -1.613153124106005635e+04 5.851383915114736212e-01 4
11 -1.606011047870891343e+04 9.203690026010885594e-01 2
11 -1.606008990905324754e+04 8.204535272215800479e-01 2
11 -1.606004527084504662e+04 8.895063575199424477e-02 4
10 -1.606001193798604800e+04 7.876473732836201114e-01 0
11 -1.606007653072278845e+04 5.622770594106083486e-01 0
14 -1.605985803932888120e+04 5.224101402852624476e-01 1
14 -1.605986362852291859e+04 8.444548540084237942e-01 0
5 -1.608317174269423776e+04 5.669359234206992060e-01 3
9 -1.606184809416666576e+04 8.101023457362686031e-01 3
15 -1.605986012488704364e+04 5.080833163834737043e-01 2
4 -1.606406487088178983e+04 1.134704347155465198e-01 2
16 -1.605984844098665599e+04 2.315824822829100071e-01 0
10 -1.606094134606660737e+04 2.455575838677284961e-01 2
16 -1.605984762454286283e+04 8.462601453359486214e-02 4
20 -1.605984646910692754e+04 7.659788732052692506e-01 3
19 -1.605984673006444245e+04 9.047791097235976521e-01 4
17 -1.605984668753071492e+04 7.521878202333369678e-01 0
18 -1.605984811103681932e+04 5.940897742776960477e-01 4
