# log_X log_likelihood tiebreaker accepts tries exceeds visits
0.000000000000000000e+00 -1.797693134862315708e+308 0.000000000000000000e+00 30526 30526 11523 30526
-9.766241597800865426e-01 -3.112971595594603787e+04 3.186765752366336329e-02 25591 30389 14591 40781
-2.002408294450210846e+00 -2.035291252519739282e+04 2.403468952340751530e-01 23041 30356 15578 43775
-3.033339746091722411e+00 -1.727408831243104214e+04 4.725566540473060684e-01 20921 30299 17312 44604
-3.983222659986152880e+00 -1.623704687304788058e+04 7.961398157214611970e-01 18585 30221 16207 46254
-5.028738821062992415e+00 -1.525122072707971711e+04 3.481608797860378246e-01 16890 30308 17087 45433
-6.008081520703692391e+00 -1.411654450878476018e+04 3.733057872052359949e-01 15443 30192 19331 46046
-6.883994115628391697e+00 -1.335759938523939309e+04 7.058940078316844335e-02 14529 30155 12480 48169
-8.209045194585973704e+00 -1.261828744348325199e+04 9.796470594461132997e-01 13252 30248 20827 41941
-8.927395475957995430e+00 -1.238705431259278339e+04 3.559332771339551726e-01 12736 30254 15223 49499
-1.009482897909708754e+01 -1.214901519912942967e+04 2.894374374259528482e-01 11824 30318 13074 44493
-1.130295583424531536e+01 -1.200961928738850111e+04 5.107850722336692018e-01 10818 30429 17747 42484
-1.218416851529399736e+01 -1.194909838384545765e+04 4.481124366254816693e-01 10259 30423 16787 46882
-1.320946793851132384e+01 -1.190538462940222962e+04 8.661644188574317837e-01 9747 30374 15103 45972
-1.431492772380051903e+01 -1.187651172010442679e+04 3.933644593707564252e-01 8850 30354 13022 44392
-1.552459201090499086e+01 -1.185974663102141858e+04 2.218792595648318156e-01 8372 30441 9262 42617
-1.700418819205097876e+01 -1.184930472303713577e+04 1.190162650638714181e-01 7685 30020 13171 38480
-1.807064674780240665e+01 -1.184511338639868336e+04 8.095513104718232711e-01 7156 29816 10580 41901
-1.941543094601025388e+01 -1.184183028003620348e+04 6.637533406826404692e-01 6606 29971 22832 39911
-2.000047203636018978e+01 -1.184099129258648099e+04 6.837951540228682790e-01 6367 29880 16154 50901
-2.113891983316095136e+01 -1.183990102123904944e+04 2.216164120956856110e-01 5968 29892 15116 45004
-2.222368285453732284e+01 -1.183930305553206927e+04 4.466382638833030772e-01 5709 29872 15518 43919
-2.326126795459862606e+01 -1.183894078088299648e+04 1.825613783505097842e-01 5318 29599 6788 44161
-2.504493715336198534e+01 -1.183863022760840431e+04 5.330482361901527355e-01 4904 29552 3893 35906
-2.708961877669511153e+01 -1.183848888067711960e+04 8.602248987841731864e-01 4433 29504 21242 32928
-2.756633996767613581e+01 -1.183847334124480221e+04 3.869167066391747123e-01 4147 29542 7674 50200
-2.936446482834850613e+01 -1.183843790339734369e+04 5.017672112927475947e-01 3787 28984 17457 36071
-3.010973417624451898e+01 -1.183843052598642862e+04 2.387063008098186945e-01 3836 29063 10358 45912
-3.155887170281079079e+01 -1.183842125406878949e+04 1.735854116235969191e-01 3464 29021 11943 38837
-3.272342945590681751e+01 -1.183841752741395430e+04 5.161306176546482938e-01 3298 29178 0 0
