# log_X log_likelihood tiebreaker accepts tries exceeds visits
0.000000000000000000e+00 -1.797693134862315708e+308 0.000000000000000000e+00 31104 31104 9099 31104
-1.205682976806313977e+00 -7.410839054475419107e+04 4.643753091665352439e-01 26464 31069 17133 39214
-2.045569851387659455e+00 -4.277504780143941753e+04 2.260642070372584911e-01 23890 31008 17854 46656
-3.008600553523056220e+00 -3.088134574822647119e+04 3.026466903755231641e-01 22163 31096 17315 47637
-4.019883681083311622e+00 -2.670387330197748452e+04 7.543996496426709220e-01 20881 31093 19399 47212
-4.915902719199717552e+00 -2.525215526544648674e+04 4.797859759738816177e-01 19818 30900 18503 48962
-5.890625019164659193e+00 -2.460257421046054878e+04 1.516737318820702285e-01 19145 31002 25418 48406
-6.553320836313687892e+00 -2.442341640180484319e+04 7.039855594527051341e-01 18690 30899 35257 54710
-7.016429990430248509e+00 -2.435502675937999447e+04 9.328296877043795732e-01 18275 30762 30563 64180
-7.769070169144152160e+00 -2.428650033854335925e+04 4.942904072341122168e-01 17938 30926 27803 60042
-8.549306925274429148e+00 -2.425347900011019738e+04 7.375548981613926358e-01 17615 30872 22903 57271
-9.470032426452309693e+00 -2.423497277825977289e+04 7.614478123859678149e-01 17153 30783 18254 52413
-1.052160482322842405e+01 -2.422554687675085734e+04 7.785891412029597447e-01 16667 30921 19128 48183
-1.144998337467316318e+01 -2.422236656971345656e+04 2.892592240273779147e-01 16622 31169 15517 49163
-1.259323316985570429e+01 -2.422092990301881582e+04 4.865221441251894041e-01 16230 31179 29908 45602
-1.304394304065226429e+01 -2.422067432973024916e+04 6.801380858715044830e-01 16113 31224 32235 59013
-1.366539298226517296e+01 -2.422045710022859203e+04 5.818893915339016232e-01 15957 31290 10465 61723
-1.538457327992649759e+01 -2.422023293667654434e+04 2.524417774297782469e-02 15443 31479 14051 41382
-1.645881925548989955e+01 -2.422020079688074838e+04 3.455504227379625481e-01 15024 31210 16249 44229
-1.746007848459586143e+01 -2.422018972027050768e+04 9.354144570953133453e-01 14629 30994 3950 46284
-1.972912741377459511e+01 -2.422018367882059101e+04 9.807571920348767680e-01 13402 29510 7142 33161
-2.120469254926943137e+01 -2.422018314357976851e+04 6.748038163813839807e-01 13040 29492 10272 35904
-2.243324571265187473e+01 -2.422018296063566959e+04 6.741274237167443895e-03 12691 29188 20966 38498
-2.306588757283321200e+01 -2.422018293326091225e+04 4.665488844531049950e-01 12583 29249 24736 48137
-2.374934540804594363e+01 -2.422018290489204082e+04 7.991195976807504708e-01 12440 29364 5885 52107
-2.580878037923043422e+01 -2.422018287487956695e+04 7.096016015181425551e-01 11963 29528 931 35062
-2.871305573710679226e+01 -2.422018286881748281e+04 5.396278271693610851e-02 10274 28044 16084 28486
-2.932007886377543571e+01 -2.422018286848325079e+04 2.000507336096681854e-01 10193 28077 7658 43528
-3.098644701333400775e+01 -2.422018286796064058e+04 4.784473115589394365e-01 8524 25621 9521 32643
-3.219576529065562198e+01 -2.422018286781854476e+04 3.519399049317822326e-01 7838 24588 0 0
