# log_X log_likelihood tiebreaker accepts tries exceeds visits
0.000000000000000000e+00 -1.797693134862315708e+308 0.000000000000000000e+00 29351 29351 10765 29351
-1.002731747901181247e+00 -6.207090012700037914e+04 9.280100921607850051e-01 24725 29360 17680 38996
-1.808002260127699490e+00 -4.502894076127700100e+04 9.229552936975508048e-01 23007 29404 7832 45652
-3.499324447416374717e+00 -3.492471958206164709e+04 5.112464648449090987e-01 20995 29530 7810 36786
-4.992656821214509932e+00 -3.329110188146503788e+04 6.009630310052767044e-01 19430 29210 4244 36354
-6.981624641047648794e+00 -3.288458154035227199e+04 8.187869747186131697e-01 18261 29036 20192 32901
-7.505595151050305169e+00 -3.286448020508114132e+04 7.345693422353182234e-01 18100 29093 9066 47411
-9.103763211221279406e+00 -3.284016377077706420e+04 9.467927136162721524e-01 17250 28752 14126 37247
-1.007566677120734866e+01 -3.283601395491867152e+04 6.483643433525188016e-01 17061 28820 23076 41646
-1.069008087335824442e+01 -3.283483605227244698e+04 7.385140647856127671e-01 16938 28886 16582 50404
-1.179487839429357976e+01 -3.283401153277239791e+04 8.156805477947400851e-01 16422 28755 2842 44203
-1.426515974985431257e+01 -3.283359590581628436e+04 7.721996461442515169e-01 15410 27633 10144 30307
-1.535033661911471192e+01 -3.283357987524023338e+04 9.239963771734160947e-01 15090 27308 9770 36581
-1.664096313023403440e+01 -3.283357310352091736e+04 1.732896151976430765e-01 14910 27034 23942 35759
-1.707942069907043603e+01 -3.283357209820809658e+04 8.998774169426493330e-01 14742 27065 18632 49494
-1.805775964955688906e+01 -3.283357132948125945e+04 3.769368853964406574e-01 14573 27284 34283 44838
-1.836094362489100718e+01 -3.283357118777385040e+04 7.783124299290986592e-01 14787 27309 19643 59142
-1.945771656262678206e+01 -3.283357092258096236e+04 1.960453225367637664e-01 14666 27399 7306 46270
-2.122187438901590184e+01 -3.283357083277571655e+04 3.223945469227897931e-01 14343 26902 16997 33870
-2.193442249052622373e+01 -3.283357082545772573e+04 1.109794752055117822e-01 14334 26845 22375 41962
-2.258521063480225166e+01 -3.283357082231051754e+04 6.159809712518766744e-01 13583 25856 30472 46964
-2.304547894584614198e+01 -3.283357082085578440e+04 9.071713543967023785e-01 13641 25762 17550 54667
-2.417373830933487611e+01 -3.283357081892209681e+04 4.345649495185062161e-01 13581 25877 35569 42720
-2.439615649083863147e+01 -3.283357081883832871e+04 7.874658064852759765e-01 13434 25564 21190 58279
-2.540726281153371247e+01 -3.283357081838346494e+04 5.520323769820278947e-01 13249 25703 6790 45940
-2.722758384059485337e+01 -3.283357081812316028e+04 5.440940713837002507e-01 13121 25183 20001 31186
-2.771181491444515288e+01 -3.283357081810719683e+04 5.607836492201909717e-01 13085 25297 9596 44110
-2.919196863217741367e+01 -3.283357081808296789e+04 2.745891869548260783e-02 13072 25168 11495 34741
-3.028869092164526222e+01 -3.283357081807399663e+04 4.275686344766889135e-01 13263 25522 18505 36370
-3.098679650486379700e+01 -3.283357081807140639e+04 8.853904300357728907e-01 12481 24643 0 0
