# log_X log_likelihood tiebreaker accepts tries exceeds visits
0.000000000000000000e+00 -1.797693134862315708e+308 0.000000000000000000e+00 32977 32977 12859 32977
-9.467283453506444291e-01 -4.136426814244194975e+04 2.780451261318201972e-01 29415 32866 19573 44540
-1.779819028017244342e+00 -4.134771762699783721e+04 7.604190836455444469e-01 27826 32774 20905 51099
-2.679485529984575898e+00 -4.122508537857233023e+04 3.442625194576107717e-01 26843 32808 25807 52522
-3.404444539687693894e+00 -3.788315490449782374e+04 1.720418673558045397e-01 25758 32794 26981 57011
-4.164325755891105985e+00 -1.768605583365854545e+04 8.739960004997329168e-01 24160 32798 18762 58186
-5.288901318234190185e+00 -1.969069902309853205e+03 3.801514511382683148e-01 20523 32896 19503 50671
-6.246286781214195116e+00 -5.531601230244382350e+01 9.966525127061026668e-01 17283 32907 16711 51137
-7.357432312898599669e+00 2.649825878784314455e+02 9.769247366684491451e-01 14337 32920 16688 48482
-8.419733653300436771e+00 3.068624130266583734e+02 1.994149518131707044e-01 13464 32952 10742 48453
-9.886567779257424249e+00 3.272434500025590296e+02 9.361665872263673638e-01 12257 32772 7971 42822
-1.150283186933688206e+01 3.352830446718870689e+02 4.575602316838426331e-01 11295 32638 21894 40191
-1.213422818024445604e+01 3.365294466367400901e+02 2.787317455180002845e-01 10938 32745 24849 53920
-1.292015001448209688e+01 3.374296005367057205e+02 9.665120803857769616e-01 10524 32892 22940 57113
-1.383672138328465273e+01 3.379817931315104147e+02 4.618522546568823439e-01 10202 33052 30353 55353
-1.445550171159427144e+01 3.382314560451193302e+02 9.395067660865998871e-01 9894 33151 29441 62873
-1.522454822477939906e+01 3.384257658558217372e+02 4.717453880437236791e-01 9414 33145 22597 61894
-1.623178328592011610e+01 3.385882522771795493e+02 4.488742967411495921e-01 9195 33049 25314 55025
-1.701915994864044990e+01 3.386595153304973564e+02 6.061475007554850691e-02 8873 33085 39742 57758
-1.741746343176017220e+01 3.386841089264326001e+02 8.776431478034313338e-01 8758 33160 40419 72245
-1.801269051285059675e+01 3.387102685861801774e+02 1.803421982957731651e-01 8371 33209 22950 72993
-1.916270039862085639e+01 3.387408649611581950e+02 1.026199899280300087e-02 7791 33010 23834 55314
-2.001255160180020809e+01 3.387520775706070140e+02 6.933147494693172597e-01 7472 33046 29178 56250
-2.068454015635898458e+01 3.387579545553761022e+02 3.485008889123311082e-01 7125 33044 28198 61575
-2.147519780473673023e+01 3.387622625881143108e+02 5.013289365961257626e-01 6932 33027 23776 60594
-2.241381884412958314e+01 3.387651812901100357e+02 3.565766618957204592e-01 6371 32863 13826 55990
-2.378659698334528727e+01 3.387671104927858323e+02 6.151153094189997228e-01 5915 32767 24544 45966
-2.443425365863292953e+01 3.387675403473712095e+02 2.671472150518354738e-01 5637 32853 20309 56761
-2.546055336777014233e+01 3.387679422333144430e+02 2.331769844146356907e-01 5570 32788 16630 52455
-2.660022396044462667e+01 3.387681772542981662e+02 5.143339416161773342e-02 5094 32498 0 0
