# level_assignment log_likelihood tiebreaker ID
0 -2.266390181351654232e+06 4.030932871328706257e-01 4
0 -8.991510885940439999e+06 5.563948501423479076e-01 2
2 -4.134180949730352586e+04 4.279441458008426125e-01 3
0 -4.134247995933195489e+04 4.434892719278010764e-01 2
1 -4.136375571742710599e+04 8.241154694410997017e-01 0
3 -7.141561465026828728e+02 4.465287771289607188e-01 2
0 -9.755609853861438110e+06 3.117411516060524246e-01 2
4 -1.296687295005884698e+04 7.223626897214738829e-01 2
4 -1.954180515951483176e+04 7.510051833418294187e-01 3
3 -4.090756559195176669e+04 7.575433839528216140e-01 2
4 -3.658516253942711046e+04 2.989969975711489480e-01 2
5 -8.211185016756326149e+03 2.808744662805549019e-01 0
3 -4.111842646509107726e+04 1.031687065279154186e-01 2
8 3.166783615967377727e+02 4.741935438719525053e-01 4
6 -9.732512462841193610e+02 3.411578424990224789e-01 2
7 1.834791000963086276e+02 6.299460288725987622e-01 4
9 3.343010249209879134e+02 8.483435999306261355e-01 0
6 -3.650041418555713335e+02 7.097538180009443920e-02 3
7 2.609721008330452605e+02 8.599301882919760942e-01 4
9 3.270817192421158097e+02 2.940767155427922996e-01 3
11 3.367660011138481195e+02 7.408521456286112361e-01 1
6 2.678857474541109696e+02 8.146021711125186471e-01 2
5 -9.177480200725254690e+03 6.591237134526020114e-01 2
8 3.209420827909167429e+02 9.958732963535601446e-01 3
8 3.235648819791657615e+02 3.957428596200609494e-01 2
8 3.104013036365992093e+02 4.419333101474087755e-01 3
13 3.375738341659379103e+02 7.703038304204162801e-01 1
2 -4.134646393390071171e+04 8.910150290105351978e-01 0
13 3.382581142886623411e+02 3.892530431025724158e-01 1
8 3.046531855736473062e+02 2.507886829391781092e-02 3
4 -3.722176275296426320e+04 9.706014439112919945e-01 3
1 -4.136404141441518732e+04 7.663473131930258475e-01 2
9 3.110212620815933633e+02 8.931638952912513973e-01 2
10 3.313230002976401352e+02 7.797700986751801011e-01 2
12 3.367402248676153249e+02 2.225237364911887283e-01 1
