# log_X log_likelihood tiebreaker accepts tries exceeds visits
0.000000000000000000e+00 -1.797693134862315708e+308 0.000000000000000000e+00 32727 32727 11979 32727
-1.004599767692056167e+00 -6.269208036242249364e+04 9.192857299733689924e-01 27275 32739 15003 43473
-2.064026304788411093e+00 -4.140106064730683283e+04 7.937721271956832414e-01 23885 32604 16229 46481
-3.112859868087333837e+00 -3.217831537157575440e+04 7.845150298599921079e-01 21802 32522 15808 47718
-4.210809947232966977e+00 -2.693072437658319541e+04 1.644978798052214586e-01 19781 32471 15961 47402
-5.293555108337698378e+00 -2.419153462333755306e+04 4.429355249944469386e-01 18536 32409 19350 47692
-6.201443612979730347e+00 -2.278058222238679446e+04 3.021354959776648141e-01 17698 32470 20058 50628
-7.131528867716219189e+00 -2.180375030663580401e+04 5.694199338082899242e-01 16444 32335 19385 51096
-8.102504275601456030e+00 -2.121629390346991568e+04 5.191932641461506348e-01 15110 32261 21235 50456
-8.975406956327352859e+00 -2.088565798541472759e+04 7.312197350492604109e-01 14464 32274 26994 52275
-9.652849866994349881e+00 -2.071619401905984705e+04 2.077806414962467541e-01 13819 32221 22463 57764
-1.060015214161056107e+01 -2.055029522657589769e+04 1.569869444948999160e-01 12952 32172 18002 53398
-1.168235621330735263e+01 -2.043754973550080467e+04 1.733846250362912900e-01 12184 32261 17754 49445
-1.270513200369287787e+01 -2.037679938700616913e+04 2.208838062844153960e-02 11317 32219 27364 48882
-1.330636228058960846e+01 -2.035181673430560477e+04 4.124966458574467199e-01 10926 32322 29648 57592
-1.398531581478950869e+01 -2.033141357833804432e+04 4.430508968533575231e-02 10532 32302 13447 60239
-1.545307315264157744e+01 -2.030244572732452070e+04 9.297340885143645650e-01 9448 32325 18241 45016
-1.636248430742027438e+01 -2.029322027931800039e+04 2.535099790464767633e-02 9104 32312 21517 49569
-1.720619399408883510e+01 -2.028808752468423336e+04 5.885026046188013282e-01 8643 32203 19780 52362
-1.818119368115988976e+01 -2.028399667286258773e+04 5.893289552575357026e-01 8113 32175 25305 50961
-1.889650758836365085e+01 -2.028206491244746576e+04 3.162922750361004121e-01 7719 32303 25648 56248
-1.969214914236446745e+01 -2.028068744395628528e+04 3.166997944508627150e-01 7451 32365 12708 56717
-2.115465774517505437e+01 -2.027916898250161103e+04 5.131618945138498589e-01 6666 32038 16120 43832
-2.215494073463698044e+01 -2.027857491920843677e+04 7.092802098969434033e-01 6246 31891 6194 46819
-2.407089951317676935e+01 -2.027804370535349881e+04 1.605264295704254274e-01 5585 31580 16650 37273
-2.489065355101055843e+01 -2.027794820694258669e+04 4.383914211073509648e-01 5324 31566 17740 47002
-2.586661812848383946e+01 -2.027787051506630087e+04 8.297327700435079834e-01 5104 31699 5126 48227
-2.796720286148161705e+01 -2.027778628824363841e+04 9.295258302882132284e-01 4583 31101 15251 35763
-2.883069064566219808e+01 -2.027777091156935057e+04 3.005877621589524984e-01 4364 31241 22541 45841
-2.955691845096106718e+01 -2.027776337116141076e+04 4.259734651422810714e-01 4190 31085 0 0
