# log_X log_likelihood tiebreaker accepts tries exceeds visits
0.000000000000000000e+00 -1.797693134862315708e+308 0.000000000000000000e+00 328597 328597 127258 328597
-9.530221244296979144e-01 -6.429742837271829194e+04 8.126263654937818659e-01 278209 328710 162324 443719
-1.958245942312589749e+00 -4.246364903432108986e+04 9.092114743544904565e-01 251906 328766 177696 479808
-2.951969981449106939e+00 -3.585466962279220752e+04 2.027847885321421018e-02 232840 328646 193229 494548
-3.895257345649124847e+00 -3.367676570132748748e+04 1.964629113302609476e-01 214257 329021 191680 509781
-4.874674188879605019e+00 -3.280506371630070498e+04 7.988674063204270759e-01 184706 329003 193597 508944
-5.843159218441240199e+00 -3.102036628969458616e+04 5.436045722066014108e-01 169604 328919 196112 510808
-6.802906494371746327e+00 -2.885408604368387023e+04 2.639154795395780573e-01 158219 328811 193848 512694
-7.777082475410899143e+00 -2.721157627881211374e+04 3.017856331637737699e-01 148418 329162 178496 510742
-8.825316608836541121e+00 -2.603892208236955776e+04 1.431490628062301873e-01 137798 328746 175489 496344
-9.862587238741483020e+00 -2.532329612376038494e+04 9.462370204914429817e-01 128034 328704 174266 493073
-1.090020041447342436e+01 -2.488799470946042857e+04 3.125770010853869962e-01 120000 328745 175705 491463
-1.192702947056027796e+01 -2.462043242602816463e+04 6.025380211212373327e-01 112117 328898 173946 492849
-1.296593848775612656e+01 -2.445896293504185815e+04 7.563022872060451984e-01 104964 329067 168668 491827
-1.403174995145086967e+01 -2.435969128642082069e+04 8.876353787106516791e-01 98189 328753 152313 486429
-1.518228602868652111e+01 -2.429915323813028226e+04 2.118734323863038227e-01 91691 329221 170447 471664
-1.619899801510629089e+01 -2.426785557799924209e+04 7.848900834557112072e-01 85963 329311 201726 490346
-1.709362771323559116e+01 -2.425055061291937454e+04 3.003543538070636010e-01 81479 329312 174144 518762
-1.817969644948859553e+01 -2.423773883049827782e+04 4.284691027446982936e-01 76475 328699 187524 494537
-1.915120601930777156e+01 -2.423104278913682356e+04 4.216393611874780789e-01 71982 328797 188771 507459
-2.014073611052792501e+01 -2.422683695926702057e+04 1.684938478762616487e-01 68412 328766 203966 512595
-2.106666358593090393e+01 -2.422435689436087341e+04 7.007869671974478187e-01 64961 329131 215503 526831
-2.196628472143912347e+01 -2.422285969247837784e+04 8.881645252166521232e-01 61542 328970 157002 538139
-2.318376458386366323e+01 -2.422163325158720909e+04 7.790912010958369605e-01 57875 328894 145948 479581
-2.436059121259026483e+01 -2.422098734323752797e+04 4.725210484555537604e-01 54622 328038 173180 467625
-2.535434721997177121e+01 -2.422067371785186697e+04 3.842638279978846660e-01 51746 327522 206317 494395
-2.623541468891323092e+01 -2.422050180459897820e+04 7.915603717799413186e-01 49311 327215 214982 527205
-2.713800172131057664e+01 -2.422038470634907571e+04 9.235016844187271534e-01 47514 326254 150346 534915
-2.839007689910925691e+01 -2.422028908249448796e+04 6.017177041248175096e-01 44453 326286 149314 470305
-2.952745595168113368e+01 -2.422024254446433770e+04 2.891188016381391890e-01 41819 326630 0 0
