# log_X log_likelihood tiebreaker accepts tries exceeds visits
0.000000000000000000e+00 -1.797693134862315708e+308 0.000000000000000000e+00 325795 325795 113458 325795
-1.049861025885416410e+00 -4.637921949601786037e+04 1.391026452863656226e-01 280823 325500 148512 428045
-2.104283162755486991e+00 -7.809316347633402984e+03 4.465164067651915536e-01 246862 324702 170315 462320
-3.102979872217122015e+00 -1.914390022574415525e+03 7.274580925807327958e-02 213018 324676 183950 483333
-4.071074120770584059e+00 -1.226021908418390012e+03 6.070478602701463444e-01 196662 324835 158855 496554
-5.201838278374561142e+00 -8.855904340358971467e+02 6.427546898032560074e-01 182326 325037 191934 473509
-6.110660479814408852e+00 -7.577437234762517164e+02 9.454417824511764934e-01 173065 325386 172569 504876
-7.179689878155715910e+00 -6.804516804934446554e+02 6.927861662992675917e-01 161521 325101 190367 486766
-8.122145763075980796e+00 -6.466440631588961878e+02 8.273766749529587461e-01 152091 325384 170681 503626
-9.199145019705794013e+00 -6.267817759969468625e+02 6.141057195303409322e-02 142751 325413 196644 485369
-1.010830115962084719e+01 -6.183302114895315071e+02 7.431805086795501003e-01 134531 325200 190819 508808
-1.109016304381239060e+01 -6.133790154796529350e+02 1.601478808900789197e-01 126925 325200 191584 503952
-1.205922732732016023e+01 -6.108712857885320773e+02 4.958161140758688967e-01 120992 326477 192068 505696
-1.302916378208951897e+01 -6.095606588448370076e+02 3.260635376201144742e-01 114148 327022 181179 507052
-1.405655829132465939e+01 -6.088390902256990103e+02 9.680610513073767409e-01 108152 326766 173269 496788
-1.510660438124715910e+01 -6.084590115737253200e+02 1.400259625665831453e-01 101318 326806 164675 489618
-1.619058202927827494e+01 -6.082701408748641825e+02 7.554693425541412211e-01 96282 326690 185868 480302
-1.714301413444221467e+01 -6.081859466172999191e+02 6.733182310522360936e-01 91533 326281 185255 500155
-1.813660289877064713e+01 -6.081388505030381566e+02 4.287341681073684185e-01 86684 326368 160448 500501
-1.926551178187014557e+01 -6.081116677534655537e+02 7.555076620258149855e-01 82079 325696 184516 476542
-2.021744101083217515e+01 -6.081002470846963206e+02 4.813925888500835137e-01 77861 324898 173568 497071
-2.126640676031728461e+01 -6.080936820601646104e+02 6.629428009756740403e-01 74022 324686 172388 488502
-2.230542366869438808e+01 -6.080905285148975281e+02 1.019487982077849075e-01 70764 324683 178761 493079
-2.331915619642514059e+01 -6.080889245329187816e+02 7.157884228406208305e-01 67492 324894 182308 497337
-2.432251269994058873e+01 -6.080880874505591009e+02 8.455844692381576655e-01 64316 325129 165786 501110
-2.542201654495971752e+01 -6.080876273364032158e+02 8.516785868870928589e-01 61007 325444 191610 484909
-2.635474913182223844e+01 -6.080874334671793804e+02 1.095084441945985837e-01 58845 325663 191378 510936
-2.733778354696138990e+01 -6.080873252013412866e+02 3.331315728329407033e-01 55909 325835 192872 510891
-2.831340276093509800e+01 -6.080872722932261922e+02 5.440347580086259127e-02 53889 325926 198484 512447
-2.926481392125915093e+01 -6.080872450565326517e+02 8.445708514601184547e-01 51648 326342 0 0
