# level_assignment log_likelihood tiebreaker ID
0 -8.060957797554634453e+04 4.513768526463266539e-01 2
1 -4.251035941244225251e+04 7.034610787768080797e-02 2
0 -4.252371611033834779e+04 2.882566700798648851e-01 2
3 -3.349305151331664092e+04 5.141365766355797673e-01 1
4 -3.353679504119882768e+04 6.881788424368836532e-01 4
1 -4.832440883730302448e+04 5.371299210803734958e-01 1
3 -3.288724662409619486e+04 5.510129157493711682e-01 3
4 -3.294399205988248286e+04 2.752570766693842458e-02 3
3 -3.542648303462010517e+04 5.705278001387998899e-01 4
1 -4.952490434666111105e+04 2.011459888125448625e-01 3
7 -3.287837484846198640e+04 7.567564514493554384e-01 4
7 -3.286037861822010018e+04 1.283177267402912936e-02 0
7 -3.287631894859620661e+04 7.380357016100697054e-01 4
1 -4.376889333220670233e+04 1.553663010741604955e-01 0
0 -5.313434608771608328e+04 1.840880795440255069e-01 2
4 -3.371337434701666643e+04 3.892539743144141084e-02 4
8 -3.284062964870764699e+04 7.757044124805645424e-01 4
3 -3.457529550914013817e+04 9.371276093500913174e-01 4
4 -3.328239099002598232e+04 2.084400374101114672e-01 1
4 -3.386814194262944511e+04 8.889996977878322770e-01 1
4 -3.339463562109794293e+04 2.288799046991645270e-01 3
7 -3.284619335954176495e+04 1.556493781971459711e-01 1
2 -3.610674622994880338e+04 7.579543030216135957e-01 4
0 -8.063145691246745992e+04 8.393091138266286499e-01 1
9 -3.283818493424106418e+04 2.475563360643846522e-01 3
0 -3.896403843117313227e+04 4.903039318476101194e-01 1
10 -3.283468976862183627e+04 3.241471083334447889e-01 2
3 -3.602606395695214451e+04 4.162709227101196174e-01 1
3 -3.290919655678048002e+04 7.361608738525697859e-01 1
6 -3.297756129739855533e+04 6.330061035781506806e-01 1
11 -3.283450387411837437e+04 5.005474121490409711e-01 0
8 -3.284324055068077723e+04 8.519724843037046469e-02 4
6 -3.285084697560727363e+04 6.442107543718672558e-01 3
13 -3.283365988125302829e+04 2.030556011787520987e-02 0
10 -3.283359954483420734e+04 5.188891752872130114e-01 4
13 -3.283358429811220412e+04 7.781313931622924063e-01 0
11 -3.283404740064403450e+04 6.671729240852353193e-01 2
6 -3.291694017656410142e+04 7.571619369633488805e-01 3
0 -1.187990554066861951e+05 7.169441532416982454e-01 2
3 -3.441363889484708488e+04 9.119422850546723414e-01 3
11 -3.283435144926216890e+04 5.904279256461438807e-01 2
7 -3.283653689833511453e+04 3.539151527292290211e-01 3
11 -3.283464702281316568e+04 9.419115316776185409e-01 2
11 -3.283477152418148034e+04 5.776807355812985101e-01 3
0 -6.691983654150739312e+04 3.585544669844489274e-01 4
7 -3.287361246611904062e+04 6.593059035203002738e-01 0
1 -4.749726920721788338e+04 1.400907163482508952e-04 2
1 -5.012356990246452915e+04 7.927254007778832268e-01 1
17 -3.283357290173595538e+04 5.249795407660016178e-01 1
1 -6.230090008539418341e+04 4.115327233793646400e-01 4
16 -3.283357701738840842e+04 2.424938626843176626e-01 1
0 -5.794121599654446618e+04 5.006807640218486899e-01 1
18 -3.283357147518694546e+04 1.838370283652245307e-01 3
11 -3.283385590963773575e+04 4.217975770938338087e-01 4
11 -3.283476433696783351e+04 3.990972976236330516e-01 2
11 -3.283469160980655579e+04 1.318632247258619827e-01 4
16 -3.283357444076540560e+04 7.900012683373893729e-01 2
6 -3.297038255318391748e+04 9.322154472568856542e-01 0
2 -3.489586150176006777e+04 2.454701050861096689e-01 3
7 -3.283923485552049533e+04 6.332022205070195753e-01 4
0 -1.369191964900025050e+05 5.025159797481089097e-01 2
11 -3.283433690572126216e+04 2.240638559097063720e-01 4
11 -3.283445630281553895e+04 7.396234341030271109e-01 2
13 -3.283364437235701917e+04 8.236394283001152727e-01 2
13 -3.283371323760579253e+04 9.321636907411776640e-01 1
14 -3.283357904269966821e+04 8.763306783636057862e-01 3
19 -3.283357110014933278e+04 8.556083357719150850e-01 3
19 -3.283357090820021403e+04 3.845190453911637718e-01 1
16 -3.283357534322005813e+04 8.527298493452096784e-01 2
17 -3.283357112084049731e+04 8.467944411690248030e-01 0
17 -3.283357131867123826e+04 2.284776284825931758e-01 4
5 -3.290515115147172037e+04 9.945997020104960784e-01 2
14 -3.283360284934189986e+04 5.544109561999386315e-01 3
13 -3.283368696645581076e+04 2.761390295365799830e-01 0
18 -3.283357146592041681e+04 7.573264101254961744e-01 2
18 -3.283357094169732591e+04 1.627695155946398131e-01 1
21 -3.283357082026476564e+04 6.351082039924874079e-02 0
10 -3.283553255413735315e+04 6.984594211268326802e-01 4
8 -3.285066337174458749e+04 4.156087640321217691e-01 4
12 -3.283381840050486062e+04 7.409877417611589190e-02 1
16 -3.283357526057667565e+04 9.553499423063517293e-01 1
22 -3.283357082073001948e+04 9.318071363607109969e-01 0
16 -3.283357221879979625e+04 4.150397581898801480e-01 4
22 -3.283357083811664052e+04 3.806013100514245573e-01 2
9 -3.283864250146856648e+04 3.809823558171245850e-01 1
10 -3.283451395731844968e+04 9.555155657677758541e-01 3
12 -3.283393152862202260e+04 8.886624058714569507e-01 3
21 -3.283357084694405057e+04 4.283039649565614226e-01 2
22 -3.283357083890944341e+04 7.411959038116201770e-02 1
4 -3.388092826995826908e+04 2.848424643125265776e-01 3
9 -3.283773007986367884e+04 1.739137812948873818e-01 3
18 -3.283357085763012583e+04 8.543432844468112908e-01 0
22 -3.283357082539200928e+04 8.910842517622370451e-01 2
25 -3.283357081893151917e+04 1.741256149166783562e-01 1
22 -3.283357083618842444e+04 3.752893214594110738e-02 0
21 -3.283357083600635815e+04 9.420267090920579900e-01 0
21 -3.283357085521043336e+04 9.261859719661610368e-01 4
26 -3.283357081831825781e+04 8.511563951915158688e-01 2
25 -3.283357081819955783e+04 2.325424907756965254e-01 2
25 -3.283357081892008136e+04 5.101329903888149886e-01 0
28 -3.283357081814663252e+04 3.593727590246563186e-01 0
27 -3.283357081826093781e+04 9.986724204615008427e-01 1
25 -3.283357081868645037e+04 9.207238047762080768e-01 2
