# level_assignment log_likelihood tiebreaker ID
0 -4.137269528906486084e+04 7.179306623517577313e-01 2
1 -4.137269528906486084e+04 6.700910130505411955e-01 2
0 -4.137269528906486084e+04 5.722239974582645772e-01 4
1 -4.137269528906486084e+04 8.375160795943055181e-01 1
1 -4.137269528906486084e+04 7.846440964545164931e-01 0
1 -4.137269528906486084e+04 9.055141165306458406e-01 0
4 -4.137269528906486084e+04 9.921769536129142475e-01 1
3 -4.137269528906486084e+04 9.200000449466856356e-01 1
2 -4.137269528906486084e+04 8.814879611194718079e-01 3
2 -4.137269528906486084e+04 9.804159781431903697e-01 4
0 -4.137269528906486084e+04 4.206164589475773763e-01 0
3 -4.137269528906486084e+04 9.575505816625047295e-01 0
2 -4.137269528906486084e+04 9.955237780068002529e-01 2
4 -4.137269528906486084e+04 9.841272433522695318e-01 3
0 -4.137269528906486084e+04 3.915951731698191080e-02 2
2 -4.137269528906486084e+04 8.815474031666046262e-01 2
3 -4.137269528906486084e+04 9.856188189203687333e-01 0
4 -4.137269528906486084e+04 9.811222783606690090e-01 4
2 -4.137269528906486084e+04 8.739209499599613906e-01 1
3 -4.137269528906486084e+04 9.274057732361378203e-01 4
0 -4.137269528906486084e+04 9.782103518031390332e-02 2
3 -4.137269528906486084e+04 9.327250774913060649e-01 4
2 -4.137269528906486084e+04 9.470514701150503090e-01 1
1 -4.137269528906486084e+04 8.215349527169584221e-01 1
2 -4.137269528906486084e+04 8.425054724228617786e-01 2
1 -4.137269528906486084e+04 8.778564010320384359e-01 4
4 -4.137269528906486084e+04 9.710680246782986691e-01 2
3 -4.137269528906486084e+04 9.444294798255541412e-01 3
3 -4.137269528906486084e+04 9.299495429756021725e-01 2
2 -4.137269528906486084e+04 9.117498323404341631e-01 3
3 -4.137269528906486084e+04 9.997763216232076200e-01 3
3 -4.137269528906486084e+04 9.759207198144544959e-01 0
3 -4.137269528906486084e+04 9.342614847687329416e-01 2
4 -4.137269528906486084e+04 9.807723901990111903e-01 0
0 -4.137269528906486084e+04 7.795940184163874243e-01 1
1 -4.137269528906486084e+04 6.379209615264420652e-01 2
3 -4.137269528906486084e+04 9.665896680740102553e-01 1
1 -4.137269528906486084e+04 5.835869652275589292e-01 2
3 -4.137269528906486084e+04 9.846016567525514018e-01 3
2 -4.137269528906486084e+04 9.387560657008430232e-01 2
2 -4.137269528906486084e+04 9.587081481829351493e-01 1
4 -4.137269528906486084e+04 9.694203472674310929e-01 0
4 -4.137269528906486084e+04 9.924392244631009552e-01 2
4 -4.137269528906486084e+04 9.691876305078422904e-01 3
2 -4.137269528906486084e+04 9.357117806799302162e-01 2
0 -4.137269528906486084e+04 6.035962652479502921e-01 4
3 -4.137269528906486084e+04 9.177850493742754079e-01 0
4 -4.137269528906486084e+04 9.759139360797013385e-01 3
1 -4.137269528906486084e+04 7.910667697948733368e-01 2
2 -4.137269528906486084e+04 8.561190026303480138e-01 4
2 -4.137269528906486084e+04 9.520736752124608904e-01 2
5 -4.137269528906485357e+04 3.303691614200609528e-01 1
5 -4.137269528906485357e+04 3.303691614200609528e-01 1
1 -4.137269528906486084e+04 7.626341637053932754e-01 3
3 -4.137269528906486084e+04 9.604781611350378112e-01 2
4 -4.137269528906486084e+04 9.743190553735304738e-01 2
0 -4.137269528906486084e+04 4.475102475492813148e-01 4
1 -4.137269528906486084e+04 8.657783094240483202e-01 4
1 -4.137269528906486084e+04 8.674150112564257276e-01 4
3 -4.137269528906486084e+04 9.255703546626939948e-01 4
3 -4.137269528906486084e+04 9.815050030229047762e-01 0
3 -4.137269528906486084e+04 9.880617557695918762e-01 2
3 -4.137269528906486084e+04 9.822063391868418591e-01 4
3 -4.137269528906486084e+04 9.298535770268856471e-01 2
1 -4.137269528906486084e+04 9.547315646329200822e-01 2
3 -4.137269528906486084e+04 9.891039414899563953e-01 4
3 -4.137269528906486084e+04 9.528202292787998351e-01 1
0 -4.137269528906486084e+04 8.754905099085233955e-01 3
3 -4.137269528906486084e+04 9.301320972076477789e-01 3
3 -4.137269528906486084e+04 9.557697214428721999e-01 2
2 -4.137269528906486084e+04 9.776391240328133891e-01 4
1 -4.137269528906486084e+04 6.712838864578264397e-01 1
4 -4.137269528906486084e+04 9.995521349620761775e-01 4
4 -4.137269528906486084e+04 9.960404138778586880e-01 3
2 -4.137269528906486084e+04 9.310945533447178013e-01 2
3 -4.137269528906486084e+04 9.280448434203198982e-01 4
0 -4.137269528906486084e+04 6.618425415622085639e-01 1
0 -4.137269528906486084e+04 3.970794143934226472e-01 2
4 -4.137269528906486084e+04 9.842026833045673939e-01 0
4 -4.137269528906486084e+04 9.978014278136354553e-01 4
3 -4.137269528906486084e+04 9.663521506768052438e-01 0
4 -4.137269528906486084e+04 9.940864648071644494e-01 4
3 -4.137269528906486084e+04 9.341556565760379405e-01 1
4 -4.137269528906486084e+04 9.690887025568061253e-01 1
4 -4.137269528906486084e+04 9.905206674668152189e-01 1
2 -4.137269528906486084e+04 9.986248780159154848e-01 3
0 -4.137269528906486084e+04 5.143518640257997987e-01 4
4 -4.137269528906486084e+04 9.829638578997257348e-01 1
0 -4.137269528906486084e+04 6.892993832320719605e-01 0
3 -4.137269528906486084e+04 9.276336962820289633e-01 2
2 -4.137269528906486084e+04 8.709976773940728556e-01 1
3 -4.137269528906486084e+04 9.784223190266541081e-01 1
2 -4.137269528906486084e+04 9.336009240453648772e-01 4
4 -4.137269528906486084e+04 9.890843107341117380e-01 3
4 -4.137269528906486084e+04 9.794971261899952930e-01 1
4 -4.137269528906486084e+04 9.825831451194927402e-01 4
4 -4.137269528906486084e+04 9.720137018088935710e-01 0
2 -4.137269528906486084e+04 8.431554238410736701e-01 1
2 -4.137269528906486084e+04 9.906177882048963212e-01 3
4 -4.137269528906486084e+04 9.889503147373749359e-01 0
