# level_assignment log_likelihood tiebreaker ID
0 -2.753176485526236938e+05 1.440075494667957812e-01 0
1 -6.327136101839800540e+04 2.467415460737863442e-01 2
0 -3.550196068171226216e+04 9.703764496244708937e-01 2
2 -2.839571711749540191e+04 3.237968455378843063e-02 1
0 -1.054307306675594882e+05 7.927045697554466752e-01 0
1 -2.987899671249305538e+04 2.198298854391840529e-01 2
3 -2.693881721966281839e+04 8.365159553342635390e-02 3
2 -4.545543704478941072e+04 5.494026623330733328e-02 4
4 -2.589130469698900197e+04 1.570397004430491017e-01 1
3 -2.989125487078487640e+04 6.334490308817048998e-01 2
5 -2.518621695005557558e+04 5.767907592839870423e-01 1
2 -4.583434088922986120e+04 5.000455988474854507e-01 0
2 -3.147885281520263379e+04 3.902260568958308973e-01 2
5 -2.487341765052641495e+04 2.887992651389716947e-01 3
6 -2.461632625104246108e+04 9.683711978315755475e-01 4
7 -2.428397658238497024e+04 4.690554680177214664e-01 4
7 -2.435274134483555827e+04 4.759882996653346798e-01 3
7 -2.429513262889672478e+04 9.286842475822661980e-01 1
6 -2.439991634845101362e+04 8.784774088627785860e-01 1
9 -2.422741806250343143e+04 5.658745794542401342e-01 2
6 -2.473973059056474449e+04 9.791410085146916575e-01 1
0 -4.777098560531886324e+04 8.379756709073791221e-01 3
8 -2.424939365284417727e+04 5.250020480995196692e-01 0
6 -2.450636337110647946e+04 1.972642359124527900e-01 3
9 -2.422904406293172360e+04 7.513569818451787397e-01 2
0 -1.076179361917700153e+06 3.247179160187826374e-01 2
11 -2.422358178524184041e+04 3.356926267056404289e-01 4
4 -2.486154463292706350e+04 5.682199041392399508e-01 2
5 -2.502346377776146255e+04 5.317377500895924536e-01 4
3 -2.987515937183849746e+04 4.591893864183870244e-01 0
10 -2.422113540609223128e+04 4.221444065740732610e-01 1
3 -3.192647408855464892e+04 8.269655190177365167e-01 4
6 -2.445080787506763590e+04 5.433412710938281265e-01 4
7 -2.431133320722380085e+04 5.425433820144860420e-01 0
2 -4.284520914235847158e+04 8.642367810610807055e-02 4
1 -3.423798127937338722e+04 9.437892055848791095e-01 2
5 -2.576685304952235310e+04 2.437245520375579400e-01 0
