# log_X log_likelihood tiebreaker accepts tries exceeds visits
0.000000000000000000e+00 -1.797693134862315708e+308 0.000000000000000000e+00 330784 330784 118920 330784
-1.020985214708437727e+00 -6.737717792817071313e+04 9.373851744410106601e-01 273424 331048 172449 438736
-1.959097556455591693e+00 -4.858632373874657060e+04 8.535699307637647504e-01 240451 331031 183477 491075
-2.944535571715419131e+00 -4.142311793133051833e+04 9.453967762109719564e-01 208081 330877 187002 502594
-3.933866432233608990e+00 -3.727801719711770420e+04 4.886165410005965937e-01 185846 330760 180829 506168
-4.961435415146197236e+00 -3.472072422330900736e+04 9.186921706954308542e-01 167771 330577 175525 500410
-6.006185426002558003e+00 -3.321164008397135331e+04 2.658978588898261441e-01 153416 330671 177534 495359
-7.030719255556157066e+00 -3.231302630765011418e+04 6.604380157248322947e-01 140707 330830 188324 497138
-8.003151136301617896e+00 -3.181347808148905460e+04 6.293691844810922476e-01 131389 330362 174486 506533
-9.064911055322715683e+00 -3.148814693882608481e+04 2.937559036003725144e-01 122174 329954 192656 493144
-1.000832743662470214e+01 -3.131522338384111572e+04 1.101598048906415883e-03 114338 330290 203004 510478
-1.093482930385473217e+01 -3.120727154934048303e+04 5.177768036212520020e-01 108032 330563 210746 521225
-1.184552708461031578e+01 -3.113848815606880453e+04 5.506727629662180323e-01 101641 330488 213726 528925
-1.275674511973818603e+01 -3.109503148694333868e+04 7.866809523472384491e-02 95567 330491 219668 531480
-1.364648564932454988e+01 -3.106861887877107074e+04 2.388230152863752009e-01 91033 330611 172067 537570
-1.477739901283392676e+01 -3.104779784169059712e+04 4.684938178387182406e-01 84794 330404 174573 492968
-1.581316198076144097e+01 -3.103691454026332576e+04 9.357660795896478589e-01 79643 329892 172208 495110
-1.686578215223205390e+01 -3.103024732263187616e+04 7.838986937490934892e-01 74943 329664 179328 496955
-1.788390098532815387e+01 -3.102641739981522187e+04 8.767615840278536465e-01 70842 329021 207095 502221
-1.877617344220210072e+01 -3.102429513059694000e+04 4.695152066905006194e-01 67174 328626 213496 529362
-1.968919188383729590e+01 -3.102289075738147221e+04 4.664777091299734391e-01 63798 328033 180801 533540
-2.076655062685784614e+01 -3.102189423873524720e+04 9.711054618127414884e-01 59540 328035 181772 503066
-2.178344715751827465e+01 -3.102135053715895265e+04 2.510073162133684768e-02 56714 327111 200295 502568
-2.270795174920040083e+01 -3.102104912695154781e+04 4.658612599750748262e-01 53564 327241 167506 521190
-2.383480722111113792e+01 -3.102082960542038199e+04 6.565504852187292739e-01 50855 327788 169707 488957
-2.488937469106701172e+01 -3.102071032443102013e+04 6.335143548621857690e-02 48691 328030 212524 491402
-2.573665497063027985e+01 -3.102064852891727060e+04 8.595019322519984462e-01 46401 329127 185511 535295
-2.679293302847701241e+01 -3.102060121076739233e+04 9.712765520253607843e-01 44024 328855 188363 508020
-2.778554120041531661e+01 -3.102057325197520549e+04 9.438255063929976707e-01 41810 328381 177804 510416
-2.883682035290091150e+01 -3.102055401090313535e+04 3.819122153974079392e-01 39784 328329 0 0
