# level_assignment log_likelihood tiebreaker ID
0 -1.000911019022002292e+05 4.513768526463266539e-01 2
2 -4.653994154459868878e+04 1.551316022672272754e-01 3
0 -7.756567246996177710e+04 5.604755050071879262e-03 0
2 -4.348260491942259250e+04 9.407283017688854443e-01 2
4 -3.418398688692189171e+04 2.153860687395141860e-01 4
4 -3.691234470166524989e+04 9.773847198108284173e-01 0
3 -3.885581614307539712e+04 8.680743709034838274e-02 4
4 -3.324259650810843596e+04 7.172006621721300768e-01 2
6 -3.253513792842095791e+04 8.021842425408443056e-01 1
2 -4.776397484598543815e+04 4.249922936172959020e-01 2
3 -3.935706034880942025e+04 9.898369237750131999e-01 1
0 -5.936069231393824157e+04 9.794885852223531586e-01 4
4 -3.492600807408649416e+04 7.637904665198596010e-01 4
3 -4.138623154272981628e+04 4.873003779368445532e-01 0
0 -7.084444123158964794e+04 7.828628564798670864e-01 3
2 -4.492015800870231760e+04 3.525656736681668235e-01 0
3 -3.824958723988212296e+04 3.984948991390851458e-01 1
4 -3.494087417807917518e+04 7.053971044260712864e-01 2
2 -3.701293361924298370e+04 9.328867107142417847e-01 2
5 -3.394337951947045076e+04 3.526777608233361283e-01 0
7 -3.223610278855632714e+04 1.489365682388665846e-03 4
5 -3.237896025228060535e+04 2.937776369644096164e-03 4
11 -3.106694189430337428e+04 9.436426604377319283e-01 0
4 -3.559548606112122070e+04 9.271456288027204451e-01 4
11 -3.112266648561200418e+04 7.268218716781913447e-01 3
3 -3.663112276791805198e+04 9.354914708688916170e-01 1
9 -3.127525137030110272e+04 9.410184720901304534e-01 2
12 -3.112621438542055694e+04 1.117243701311867454e-01 0
12 -3.105703739178897376e+04 3.054528651316497645e-01 1
7 -3.211248390741665935e+04 4.795732098420515399e-01 3
9 -3.146933049346867483e+04 2.962062013397837035e-02 3
12 -3.109043265596848141e+04 4.862540988154996358e-01 3
13 -3.107472305957696517e+04 2.816656595004043417e-01 1
11 -3.103463832990668743e+04 9.825386616945290807e-01 2
7 -3.189894778635841431e+04 2.064565786172818385e-01 0
12 -3.111614011904053041e+04 2.393435328200910206e-01 1
6 -3.308388249669770448e+04 7.871152054679009247e-02 2
6 -3.262095907203609386e+04 7.502945113844969871e-01 1
0 -4.879974259251071635e+04 5.033821380635769005e-01 0
11 -3.116080096828078240e+04 6.676549419082755676e-02 2
13 -3.106992693618314661e+04 7.098787840738873811e-01 1
16 -3.102981417191918445e+04 5.083541021289056383e-01 1
14 -3.106189346074157947e+04 3.863367190495720083e-01 4
14 -3.106686862867379386e+04 7.797140707967810114e-01 3
10 -3.107686277401623374e+04 6.779624585837038531e-01 0
14 -3.104225856300921441e+04 5.316069034291682760e-01 3
17 -3.102871979585420195e+04 9.872236519379438136e-01 4
13 -3.106210454969042257e+04 3.402176827485520194e-01 4
10 -3.126605061332222976e+04 6.418677712267408797e-01 2
12 -3.105603433356918322e+04 2.015253638539764580e-01 2
18 -3.102627530818292144e+04 7.431194755992291956e-01 1
18 -3.102573039320808311e+04 5.702487964177763713e-01 2
6 -3.320253225650641252e+04 4.536497071181126439e-01 4
7 -3.183401267464896591e+04 4.356737863153784529e-01 3
8 -3.175309901816857382e+04 9.289791532931042095e-01 4
2 -4.178839275883241498e+04 5.397284465803722231e-01 2
12 -3.113187736149385819e+04 1.147223558016816081e-02 2
16 -3.103573481248833559e+04 7.219667199736924390e-01 4
14 -3.106370954601576523e+04 9.006741585354269830e-01 3
20 -3.102238563865650940e+04 4.735076509290657709e-01 3
12 -3.108454507880442907e+04 8.193995580858937089e-01 0
21 -3.102178568225963318e+04 4.218442715372687224e-01 3
15 -3.103243921802717887e+04 2.720575364599192025e-01 3
21 -3.102169101736900484e+04 8.837693321034816307e-01 3
22 -3.102066743694694742e+04 4.418728732762593481e-01 1
15 -3.103772147192401462e+04 2.648738624322662383e-01 4
23 -3.102063928534424485e+04 2.252613728521613012e-01 2
18 -3.102608303099218756e+04 3.363816708684836398e-01 0
9 -3.132363236105776014e+04 8.365881398064354268e-01 0
20 -3.102174507709581667e+04 9.902581917737494077e-01 0
24 -3.102055777183457758e+04 2.317900354213198177e-02 1
21 -3.102186615717731183e+04 3.536528706161590208e-01 0
24 -3.102078063767511048e+04 8.988199952890443267e-01 2
24 -3.102073531012581225e+04 8.842787100414115642e-01 1
23 -3.102090543094708119e+04 4.040814231822249525e-01 1
15 -3.103097130500795902e+04 4.043024797522143388e-02 1
20 -3.102276425188983922e+04 4.171965138252481942e-01 2
25 -3.102065260528236104e+04 9.086167998613885466e-01 4
27 -3.102060052824951345e+04 1.838858306976628998e-01 3
21 -3.102183062404260272e+04 1.733086654478452893e-01 0
27 -3.102058492966736230e+04 2.329425136706472499e-01 3
25 -3.102066413933314470e+04 4.085275844039681914e-01 2
16 -3.103191779582139861e+04 1.405387144011813194e-01 0
22 -3.102132266593644454e+04 2.813794470877750142e-01 1
18 -3.102449517506350094e+04 9.068030600250741313e-02 4
28 -3.102052498304751862e+04 6.165252611710565489e-01 4
29 -3.102054361663945747e+04 7.764076544206857111e-01 1
