# log_X log_likelihood tiebreaker accepts tries exceeds visits
0.000000000000000000e+00 -1.797693134862315708e+308 0.000000000000000000e+00 32972 32972 11372 32972
-1.058690787924950971e+00 -5.899817636063003738e+04 8.042160318583135847e-01 27385 32947 14766 43211
-2.127252094063939225e+00 -4.074435799897240940e+04 4.261976560079183685e-02 24937 32884 17770 46866
-3.098916110301057625e+00 -3.569728020615300920e+04 7.207889774013988005e-01 23493 32888 19388 49535
-4.040553611844911686e+00 -3.394832348968222504e+04 1.527830617807175440e-01 22562 32896 22256 51657
-4.891032776628377654e+00 -3.333224467371063656e+04 1.820536651173858544e-01 22138 32908 23862 53909
-5.715444175870167065e+00 -3.304126972273476713e+04 5.864164746146416363e-01 21263 32823 23038 55357
-6.598392007336692622e+00 -3.292130741302997922e+04 9.368170932281270069e-01 20561 32753 30082 54514
-7.211366271850458531e+00 -3.288432111297487427e+04 1.167078183664810448e-01 20299 32722 26909 61315
-8.042893840709531617e+00 -3.285619583116639114e+04 7.092352133752566345e-01 19813 32691 27766 58633
-8.801863627407364277e+00 -3.284334898062294815e+04 9.659154991598861706e-02 19618 32770 24813 59387
-9.680631803379625921e+00 -3.283726570978108793e+04 9.828811829587372761e-01 19105 32734 31278 56174
-1.028441771538898308e+01 -3.283565517901185376e+04 5.899143788763927532e-01 19120 32858 27413 62440
-1.111544847757901344e+01 -3.283447177309297695e+04 3.003012701676954777e-01 18805 32978 25648 59170
-1.195910240679554981e+01 -3.283392855966249772e+04 9.545281278790958002e-01 18781 33165 17686 57568
-1.312906789817164643e+01 -3.283369089820943191e+04 9.158324038640899833e-02 18257 33030 19553 49888
-1.406938508083848482e+01 -3.283362108023562905e+04 6.440885045334709957e-02 18387 33003 33963 51799
-1.451706064235332505e+01 -3.283360004745420883e+04 9.980786750157236709e-01 18149 32750 35133 64587
-1.514115633067675937e+01 -3.283358466275927640e+04 4.666288801285620735e-01 17874 32576 14097 66409
-1.665825373261088771e+01 -3.283357325694985047e+04 8.603428188641073504e-01 17207 32216 19206 45900
-1.753731287287672558e+01 -3.283357165141959558e+04 8.967716516082216982e-01 17166 32201 28050 50517
-1.814571288353034717e+01 -3.283357126980710018e+04 9.895812250325195514e-01 16775 31644 14160 57774
-1.952616672620995786e+01 -3.283357092140812165e+04 4.748895183596762437e-01 16855 31755 38748 45635
-1.972717770374916668e+01 -3.283357090502096980e+04 8.588911255946420908e-01 16761 31795 57561 69911
-1.994578414511565967e+01 -3.283357089146086946e+04 3.980863613968637083e-01 16558 31858 49777 88773
-2.053621287197417900e+01 -3.283357086238362535e+04 4.840418638700627607e-01 16679 31810 44815 80954
-2.114024154271974254e+01 -3.283357084142711392e+04 1.842228045739615627e-01 16391 31796 59164 75978
-2.141167632196757964e+01 -3.283357083721501112e+04 9.003387676287099017e-01 16520 31842 69889 90369
-2.168655394625813670e+01 -3.283357083310349844e+04 8.019974245858794148e-01 16724 31829 77291 101075
-2.197070564040927820e+01 -3.283357082966599410e+04 5.743916300761393590e-01 16743 31932 0 0
