# level_assignment log_likelihood tiebreaker ID
0 -7.719301626249311084e+04 3.798980599434820249e-02 2
0 -7.956027938674954930e+04 9.217111375760039804e-01 1
0 -5.160798784368046472e+04 8.157912439855472542e-01 2
3 -3.702394635062552697e+04 2.984941896214783341e-01 1
0 -1.209619612867391552e+05 4.055564970517167578e-01 0
3 -3.708998856989588239e+04 4.165409303431285015e-01 3
3 -3.857656957960979344e+04 6.455127768080159978e-01 4
5 -3.386578285362454335e+04 9.358005409233683958e-01 4
6 -3.293179253636063368e+04 5.554643334512925357e-01 4
7 -3.206702490018532990e+04 4.258932144359801608e-01 3
7 -3.247114545465523770e+04 2.806027978559975100e-01 3
5 -3.340156279670580989e+04 5.306013380242937671e-01 1
1 -4.006983565847142017e+04 4.602495286964609633e-01 2
2 -3.922753556900264084e+04 1.129090114667405942e-01 2
8 -3.170295672974214176e+04 5.770720947620935348e-01 1
7 -3.224652776534462464e+04 6.978504979146196718e-02 3
9 -3.144245484225870678e+04 4.083686341214575188e-01 1
10 -3.136027987164086517e+04 2.620142590051514064e-01 4
9 -3.157770891491358270e+04 6.546331709029473700e-02 3
11 -3.112045607629504593e+04 6.554478783758118654e-01 1
6 -3.254658172997604197e+04 3.965190371939238401e-01 3
11 -3.105148922792499070e+04 1.423383344817268359e-01 2
12 -3.113846651214230951e+04 6.991220832725943968e-01 2
13 -3.112258709805317631e+04 1.881481949672507703e-01 3
9 -3.141951925447308167e+04 8.184725844259187477e-01 1
12 -3.120328623980761040e+04 2.279871985372015075e-01 1
11 -3.119474378361225536e+04 4.999704836178651135e-01 0
15 -3.103717375039574108e+04 2.874644496874934063e-02 4
13 -3.110829014227771404e+04 1.916885476652231968e-01 4
11 -3.110910266668511395e+04 4.299632398232844377e-01 1
16 -3.103137295491981786e+04 7.874652289139442152e-01 0
13 -3.112321691259993531e+04 6.932883049535308873e-01 3
12 -3.119219467958975292e+04 5.806655664187088117e-01 3
14 -3.106268724699144514e+04 6.289070750412548705e-01 0
11 -3.128983367650406581e+04 3.440312056521390716e-01 1
3 -4.228617912014576723e+04 4.513502627460377337e-01 4
9 -3.156366935088055470e+04 5.905744514017312596e-01 0
13 -3.109810170709875820e+04 2.609312224399220059e-01 0
11 -3.116762176938547418e+04 8.759591061066998030e-01 4
11 -3.126780486603228201e+04 3.156353849173881287e-01 1
11 -3.126097467070950734e+04 5.766378533237750403e-01 1
17 -3.102761102688243045e+04 3.253229549011588118e-01 2
14 -3.106274580561430048e+04 4.957080996229298875e-01 2
11 -3.116924227011090261e+04 6.167226073000455777e-01 4
18 -3.102602006827431251e+04 5.537286368951752635e-01 0
10 -3.143335994621294958e+04 8.401623493251159092e-01 4
13 -3.113182889500502642e+04 6.593244637824599574e-02 2
0 -1.329149565102735651e+05 8.754176596197129623e-01 4
7 -3.225938701817693436e+04 8.283092471454994721e-01 3
19 -3.102340923815445421e+04 2.703943977718185065e-01 0
12 -3.115791200794581164e+04 2.183435672689313378e-01 2
16 -3.103347814558418759e+04 9.495449619564595434e-01 2
20 -3.102168398197835995e+04 1.380875733924078475e-01 1
17 -3.102714599008876394e+04 7.690005830227057970e-01 2
12 -3.112151449805263837e+04 4.791132486258662948e-01 3
3 -3.703269890186476550e+04 7.986931350622317183e-01 4
7 -3.159842635097989114e+04 8.594724007226748341e-01 1
6 -3.278356868280435447e+04 2.636447386987352814e-01 1
8 -3.197311987946497902e+04 8.784423378825003681e-01 0
3 -3.965339431896144379e+04 3.580896962725921839e-01 0
1 -4.317810001400712645e+04 5.280227763325749946e-01 0
5 -3.231457185853660485e+04 3.239044820096177446e-01 3
10 -3.122673386440811009e+04 5.802480408627357367e-01 0
12 -3.119689730974534905e+04 1.830225284439555011e-01 4
12 -3.109244349489294837e+04 7.794394326619566993e-01 1
3 -3.697080940727208508e+04 3.278769721287265182e-01 0
16 -3.102906999007025661e+04 3.725182258044760220e-01 3
13 -3.113292030924459687e+04 1.708326924808245550e-02 2
12 -3.120786853426064408e+04 7.551169363824007386e-01 4
3 -3.912041223703434662e+04 1.584059865779413601e-02 0
20 -3.102326928359568046e+04 1.217318911601298903e-01 4
4 -3.759163834355879953e+04 1.052467871258144783e-01 0
16 -3.102282746758927533e+04 7.724006661391008555e-01 4
13 -3.107733504453096248e+04 1.301538050259585244e-01 1
10 -3.118451421636292071e+04 2.556105107093158413e-01 4
11 -3.118592911489544349e+04 6.667767858695823335e-01 1
15 -3.104100416963762837e+04 4.253324105517640452e-02 4
19 -3.102364260777309028e+04 7.612832267303559775e-01 3
18 -3.102715917022980284e+04 1.232596352349540902e-01 4
3 -3.357591870552972250e+04 1.416955884093321349e-01 0
17 -3.102805865820395775e+04 3.309966295023905047e-01 4
4 -3.780990939509654709e+04 5.575384942340583239e-01 0
16 -3.103862744847488284e+04 5.972866219050202430e-01 2
19 -3.102422078312168742e+04 5.433951087116450918e-01 4
18 -3.102712610452330773e+04 9.287713412560809623e-01 1
3 -4.044268204372873151e+04 9.562803325411305400e-01 0
1 -6.745851130608325184e+04 2.154358495678131424e-01 0
11 -3.122518954996944012e+04 4.618981069583177335e-01 3
21 -3.102146074589678756e+04 5.949301166012830322e-01 2
5 -3.449586088658731751e+04 9.237055303513841409e-01 0
16 -3.103960774061174379e+04 5.596231732666755859e-02 3
10 -3.139557759751196500e+04 2.462173053385735833e-01 0
20 -3.102240536057366990e+04 7.767990038046193035e-01 4
15 -3.104373526610723275e+04 3.005570694552072569e-02 0
16 -3.103063383750409412e+04 4.744147352101973913e-01 1
15 -3.104350400410102156e+04 7.520346215729949435e-01 1
14 -3.105630859933080501e+04 3.080651318332785493e-01 4
20 -3.102147857283174380e+04 2.308063911760385167e-01 2
7 -3.203702591324070090e+04 3.295101641273654458e-01 3
18 -3.102144360954733565e+04 2.875156730519208281e-01 4
24 -3.102068161198562302e+04 3.540666124398619274e-01 1
19 -3.102289020999507193e+04 6.814488644791923122e-02 4
19 -3.102374173673420592e+04 7.264287391644080882e-02 2
23 -3.102092984895077461e+04 4.403995436983977885e-01 4
1 -4.694364227910932095e+04 1.348238634118541501e-01 3
21 -3.102120677519258970e+04 3.737098670066685835e-01 1
24 -3.102064904125630710e+04 7.212969302169222052e-01 4
20 -3.102272123990523687e+04 4.576704041369791115e-02 1
20 -3.102228924818845189e+04 9.555413727370538624e-01 1
26 -3.102061966873168058e+04 1.217449116403113152e-02 4
4 -3.731353818059978221e+04 7.581133173780666423e-01 3
23 -3.102070662279560929e+04 4.018041839562377371e-01 2
25 -3.102063155472567814e+04 3.972751382547460297e-01 2
8 -3.160110758405401430e+04 7.360647907273052404e-01 3
21 -3.102162367228332005e+04 5.573719155654646151e-01 1
25 -3.102063252246078991e+04 3.656221405281698256e-01 4
21 -3.102169009700282550e+04 4.733907358743287830e-01 2
14 -3.105788875302152519e+04 7.055923475728143046e-02 2
26 -3.102060591654957898e+04 3.745683152814985317e-01 0
1 -5.535358669594831736e+04 7.526811972907589965e-01 3
16 -3.103310158386067633e+04 5.602634534548157630e-01 1
24 -3.102071772108313598e+04 8.383916864295811733e-01 0
28 -3.102055514293462693e+04 7.342359135286473382e-02 4
26 -3.102061264493050112e+04 9.992248823341585151e-01 0
2 -4.297364633918750042e+04 4.567694196559500541e-02 1
29 -3.102056151197831787e+04 5.061669720678226847e-01 4
16 -3.103734502137303934e+04 2.461174313652777779e-01 3
28 -3.102056748899841477e+04 3.698781062813206177e-01 0
28 -3.102053518220133265e+04 5.898063569182203647e-01 4
19 -3.102458500199945411e+04 5.661886489950622714e-01 3
27 -3.102056283728701601e+04 9.769280965244880877e-01 0
18 -3.102469816461551818e+04 5.960575511302756979e-02 3
17 -3.102876769075378616e+04 7.572440348648434849e-01 1
17 -3.102565439904908999e+04 2.492760821475538957e-01 3
28 -3.102056978427295689e+04 6.197476043753036290e-01 4
7 -3.232592262849622057e+04 6.787739436521356140e-02 3
1 -5.002887244231383374e+04 6.228043513376860796e-01 1
