# log_X log_likelihood tiebreaker accepts tries exceeds visits
0.000000000000000000e+00 -1.797693134862315708e+308 0.000000000000000000e+00 32822 32822 13600 32765
-8.893491473767354272e-01 -1.042937153225584625e+05 7.570805280464032450e-01 29785 32767 16142 45001
-1.912931193873326885e+00 -4.573157472950586089e+04 4.716517498706284117e-01 25483 32747 14140 47782
-3.115593953665793059e+00 -3.012987352386820930e+04 4.244544546044082267e-02 22980 32656 20057 45804
-3.951764935553969238e+00 -2.679035741048425552e+04 1.044957572216750202e-01 22048 32703 14614 51409
-5.192699476527580238e+00 -2.495965135199496217e+04 2.959912367739078176e-01 20703 32710 20753 46331
-6.007303045028358213e+00 -2.455625019191977117e+04 8.592080525335714647e-01 20243 32689 23056 51689
-6.824776319511993705e+00 -2.437566244539280160e+04 2.436784257330628645e-01 19577 32706 27296 54375
-7.528731833437828591e+00 -2.430066980842784687e+04 6.735777580348791815e-01 19083 32487 36357 58302
-8.022303089075974114e+00 -2.427192313983331042e+04 2.922405896694661998e-01 18877 32459 19219 66846
-9.256248932344973923e+00 -2.423617304685650379e+04 1.280535703264644720e-01 18141 32340 11080 50714
-1.073796051944073682e+01 -2.422347650598751352e+04 7.358925004633113387e-01 17305 32229 11974 42698
-1.198810324789427995e+01 -2.422126734554748327e+04 5.009285151350920673e-01 16912 32455 20326 43386
-1.276103518370531908e+01 -2.422072435290167050e+04 9.852844360035909466e-01 16689 32559 29145 51345
-1.334794486655662737e+01 -2.422049068485811586e+04 3.651249697332626387e-01 16567 32571 20281 60016
-1.442844517081440081e+01 -2.422029948326072918e+04 3.314739463234222527e-01 16113 32779 26788 52399
-1.511546530983356540e+01 -2.422024896242011528e+04 9.347403172662837045e-01 15890 32729 19218 58304
-1.621933487181466660e+01 -2.422020760162690567e+04 2.159324662693745955e-01 15631 32545 18907 50824
-1.720882176406263042e+01 -2.422019351039502362e+04 3.295137307764607337e-01 15257 32077 28851 50646
-1.779257215683517401e+01 -2.422018925246153958e+04 5.562157745216769200e-01 15022 31944 22190 59773
-1.878393909502738879e+01 -2.422018595851473219e+04 9.927329424736569541e-01 14857 31911 35174 53585
-1.922969891913578522e+01 -2.422018507456650332e+04 9.469250237107053048e-01 14671 31966 46678 65556
-1.959182217258000236e+01 -2.422018447896863654e+04 1.025123920703957248e-01 14787 32054 25107 76313
-2.069882813803439348e+01 -2.422018344063410404e+04 7.341518741235768530e-01 14713 32206 9647 56168
-2.240144986690967599e+01 -2.422018299490889694e+04 8.576018186412799338e-01 14135 32410 30547 41869
-2.275216151548803367e+01 -2.422018296239528354e+04 4.317501126584962212e-01 14065 32422 18319 61718
-2.395519791122846698e+01 -2.422018290190618427e+04 4.665227860575299479e-01 13752 32486 20791 50242
-2.484412351077821768e+01 -2.422018288488632243e+04 4.872775419437671007e-01 13257 32048 28018 52190
-2.548431044436059523e+01 -2.422018287794942808e+04 6.636534363340842457e-01 13077 32016 9942 59397
-2.721300395569506492e+01 -2.422018287027643237e+04 7.454201803286779615e-01 12355 31870 0 0
