# level_assignment log_likelihood tiebreaker ID
0 -3.986405435245081026e+04 4.030932871328706257e-01 4
1 -4.259278698063852789e+04 4.570859730337226146e-01 4
2 -3.465184880817992962e+04 9.032388596287698190e-01 3
2 -3.389758088631763530e+04 6.196892406594215474e-01 1
3 -3.470236459190811729e+04 2.195712545288384943e-01 3
3 -3.293429223052816815e+04 8.883133298909768882e-01 3
2 -3.643124373454570014e+04 8.334247428545848990e-01 0
4 -2.734421473585881904e+04 4.704371269358056384e-01 0
5 -3.096496675961076835e+04 3.941607656640894186e-01 3
6 -2.807907238287436121e+04 7.489839170365723831e-02 3
5 -3.125229750316061836e+04 8.489644816423300711e-01 2
4 -2.824124311725426742e+04 3.395122099575286212e-01 4
2 -3.775490000399679411e+04 6.892032313622005191e-01 1
3 -3.294913431228407717e+04 4.245941919565750511e-01 2
0 -7.273240933137542743e+04 1.253570256105440706e-02 0
0 -3.523325178500222682e+04 6.549674276968815434e-01 1
6 -2.787988186881346337e+04 7.634977675271384934e-01 1
8 -2.678312251214367279e+04 9.436629703202895625e-01 0
8 -2.601328481050951814e+04 4.493071688535211772e-01 1
7 -2.804663155168244703e+04 3.409869863671176615e-01 2
7 -2.771140630405018965e+04 2.166502997976871847e-01 4
6 -2.757321039154336177e+04 9.934847605730521281e-01 3
8 -2.558042286302288267e+04 6.023008980369031207e-01 4
6 -2.966491601540521151e+04 7.330211268373151290e-01 0
11 -2.474625275365866764e+04 5.517002971182144444e-01 1
12 -2.456138288258529792e+04 6.974350244630966866e-02 4
3 -3.304291123968589818e+04 3.821617232249621687e-02 0
8 -2.573730923312537561e+04 7.107751270205954208e-01 1
9 -2.554961561958169113e+04 9.272704260768247497e-01 1
10 -2.477788782385950253e+04 5.944810022655531156e-01 2
11 -2.468517709172798277e+04 7.796616560254937545e-01 0
3 -3.444350528174778447e+04 7.589568555891483825e-01 2
4 -3.305734830519177194e+04 1.712483309574199808e-01 2
13 -2.438352451187378028e+04 8.634989684957281586e-01 0
10 -2.533855136579623286e+04 1.726613747301843915e-01 0
6 -2.983740194315273402e+04 1.357668001873468464e-02 0
6 -2.725910733237399108e+04 2.180080641505589556e-01 4
9 -2.607015138090607797e+04 8.232377392518435144e-01 0
9 -2.480197125313695142e+04 1.173737885765753219e-01 3
4 -3.236245069226332271e+04 4.641089053412316701e-01 2
14 -2.429644887366220064e+04 1.909922681718194681e-01 1
8 -2.667844055721798213e+04 1.194148746477932121e-01 3
8 -2.554039771427729283e+04 4.862359645036938294e-01 2
8 -2.526676147852163558e+04 6.295482137717929756e-03 4
1 -4.336670509341861180e+04 6.620006221069792973e-01 1
15 -2.423971678484377480e+04 5.402376813427224415e-03 2
7 -2.839008275770530599e+04 6.437506240326839047e-01 3
0 -6.617408957462487160e+04 2.197087187950371723e-01 4
12 -2.427460873589477706e+04 5.493936568991948377e-01 2
14 -2.428047773325507660e+04 3.648252447108859542e-01 3
9 -2.522665948990227116e+04 8.773695977218178843e-01 1
3 -3.406770058594955481e+04 1.050923220948236647e-01 0
8 -2.682442160318232345e+04 5.075555031001147688e-01 0
13 -2.437325075139091496e+04 6.646374727228112622e-01 3
2 -3.681843014217313612e+04 2.138485639371076330e-01 0
5 -3.145509072684086277e+04 1.951467888915483506e-01 2
0 -9.104371160934641375e+04 7.212927226422143345e-01 0
0 -4.304323013631057256e+04 9.383143717017261576e-01 0
5 -3.222369014314656306e+04 9.359715933335577276e-01 1
0 -4.606031785216076241e+04 4.255362925951113873e-01 1
8 -2.441033850312278810e+04 4.820108475737692189e-01 0
0 -4.687601590339858376e+04 7.517603682472542292e-01 2
9 -2.468082940228021835e+04 6.908030318395345093e-01 1
8 -2.625513778611252928e+04 1.407199023680143213e-01 1
3 -3.390303218124085106e+04 7.817236453594971213e-01 2
16 -2.424230927773104486e+04 4.975740293301901818e-01 0
10 -2.521581998347612534e+04 3.645336889425878635e-01 4
15 -2.428772167414884825e+04 1.270218800547282534e-01 0
