# level_assignment log_likelihood tiebreaker ID
0 -5.110033493063181959e+04 9.313831178604086158e-01 3
1 -5.035222913526081538e+04 3.726184946026789846e-01 2
0 -5.330718804903054843e+04 1.041761043207571902e-01 0
3 -3.288599800173153926e+04 7.117869614200680317e-01 0
1 -4.420981883266151999e+04 9.806891980276146725e-01 4
3 -3.308033955955213605e+04 7.632787573160335626e-01 3
2 -3.363560587310520350e+04 4.729681318947882573e-01 1
1 -4.799892267934437405e+04 1.651564706292419152e-02 3
0 -7.940507369672459026e+04 8.638393925601952628e-01 1
0 -5.652420622886114870e+04 6.948020249497051104e-01 4
2 -3.719689040586689225e+04 2.438425907256377423e-01 1
5 -3.283952081709459890e+04 1.825326122419435038e-01 4
8 -3.284086187785075890e+04 4.430137275028366850e-01 0
9 -3.283546315802780737e+04 2.701913725927104770e-01 4
7 -3.286631906842980243e+04 4.374158644621731762e-01 3
1 -4.971120784403885773e+04 1.843210176000493333e-02 2
8 -3.284485861076032597e+04 3.538233736127236462e-01 2
0 -5.877233543309289962e+04 8.036946486534417566e-01 0
4 -3.336887683824918349e+04 9.106628824001441469e-01 0
10 -3.283390705685144349e+04 1.932829675179830176e-01 2
5 -3.288267960577383928e+04 2.364487453556325391e-01 3
8 -3.283709136819084961e+04 8.129190490488672483e-01 4
6 -3.285123129124077968e+04 3.253847868228113005e-01 2
6 -3.291072472840284172e+04 1.360980593424265805e-02 3
9 -3.283631407151141320e+04 4.815448907904329445e-02 3
6 -3.292987542448083695e+04 8.834481731395676940e-01 3
9 -3.283471317047024786e+04 5.555575318342824698e-01 1
8 -3.284156297248490591e+04 9.688297293706242819e-01 0
6 -3.287764250994978647e+04 6.642359788792705499e-01 2
8 -3.283841365798612969e+04 5.855416874639466362e-01 2
8 -3.284908625776237022e+04 4.511392194858193649e-01 2
11 -3.283381013743916265e+04 4.755510726147235134e-01 4
6 -3.286196820193361054e+04 6.055841326300153149e-01 3
11 -3.283379887930375844e+04 1.043715618765929942e-01 4
11 -3.283376066455735418e+04 4.548908901866188792e-01 1
10 -3.283436561000550137e+04 7.593815227112732380e-01 1
1 -3.644066942893870146e+04 6.320151671520445325e-01 0
13 -3.283357203605281393e+04 9.549088736060703519e-01 4
5 -3.305444044986790686e+04 7.497534362836529853e-01 3
0 -1.192940830995701253e+05 6.768721389446764602e-01 0
6 -3.286132653567168745e+04 4.296510941948158968e-01 2
3 -3.418344523866234522e+04 5.994549369891373214e-01 2
5 -3.295762721513870929e+04 9.284236719592722231e-01 0
1 -5.035612943296824233e+04 1.416650615136116897e-01 0
9 -3.283673332806933468e+04 7.211121280405708989e-01 1
15 -3.283357103397359606e+04 1.066429474295927937e-01 4
6 -3.290390420297838864e+04 1.874318093915094963e-01 0
6 -3.288519409895552963e+04 2.054720569853838580e-02 0
2 -3.289160359124460228e+04 5.801547600206513611e-01 2
10 -3.283439030660891876e+04 1.523527627297092124e-01 0
7 -3.287366454829684517e+04 5.036371600264618609e-01 3
13 -3.283360038992817863e+04 7.339781777448061151e-01 4
2 -3.338999078736196680e+04 1.268328304398369522e-01 1
1 -3.950841141054487525e+04 3.042199131675387136e-01 1
3 -3.318513885586144170e+04 4.370738903799775144e-01 1
6 -3.287712526314475690e+04 5.942528272662190858e-01 4
11 -3.283384978194972791e+04 6.399783387326395401e-01 3
10 -3.283409049799798231e+04 4.396847744364930088e-01 1
9 -3.283581597529439023e+04 7.830303608818884875e-01 4
14 -3.283357713576740935e+04 7.207258655171614459e-01 3
0 -5.122586133322992100e+04 1.350100567966611431e-01 0
16 -3.283357230765388522e+04 5.961959910352644387e-01 4
1 -4.064272042646858608e+04 2.518177536678988804e-01 0
7 -3.286611032862383581e+04 6.918536006068075617e-01 2
17 -3.283357108989607514e+04 7.697980794873899857e-01 3
11 -3.283378223867201450e+04 5.803730157314852534e-01 1
6 -3.287474226550362073e+04 9.316455073940481668e-01 0
8 -3.284717790437415533e+04 2.344395654795444067e-02 0
14 -3.283358276045080129e+04 1.985548728708033117e-01 1
15 -3.283357762797781470e+04 3.402682864546207053e-01 0
12 -3.283358025298938446e+04 5.573181083524776369e-01 0
19 -3.283357099738029501e+04 9.504311135144675182e-01 3
20 -3.283357098400960967e+04 6.986884837111073665e-01 3
17 -3.283357235562217102e+04 7.900224896781944395e-01 1
17 -3.283357188625712297e+04 7.118905428803046220e-02 1
17 -3.283357238193685771e+04 7.458917030481799770e-01 3
18 -3.283357146002513764e+04 7.532320301560258002e-01 1
21 -3.283357085178977286e+04 9.890670477869036858e-01 3
21 -3.283357090792442614e+04 9.691225929301127140e-01 3
17 -3.283357251480937703e+04 3.687935808090334611e-01 0
20 -3.283357091178182600e+04 7.373455168111106017e-01 1
18 -3.283357131608124473e+04 5.162133737732957917e-01 3
17 -3.283357131039297383e+04 5.009559235729468263e-01 0
2 -3.674333784543375077e+04 6.480915483425724322e-01 2
21 -3.283357082876569621e+04 7.608058480437587257e-01 3
0 -5.559656999975196959e+04 4.166482550353505232e-01 2
3 -3.326733477418128314e+04 7.878272787235252039e-02 2
21 -3.283357092172093689e+04 8.853922143873438344e-01 3
22 -3.283357085377860494e+04 2.264394226866350834e-01 3
20 -3.283357097364059155e+04 6.964709760553482454e-01 1
21 -3.283357092562568141e+04 2.357301634124478115e-02 3
20 -3.283357099793119414e+04 3.327744347600632979e-01 3
20 -3.283357098780907108e+04 1.912552415050464971e-01 4
4 -3.341010580685869354e+04 4.263218577898706396e-01 2
7 -3.286349685740077257e+04 6.819616062565262427e-01 2
19 -3.283357096456513682e+04 7.676352398760557527e-01 1
11 -3.283384743736721430e+04 9.432984770367177640e-01 2
24 -3.283357082859973889e+04 3.329619974104766622e-01 0
24 -3.283357082514264039e+04 1.711232675099185752e-01 1
24 -3.283357083177432651e+04 5.883031918488139667e-01 1
24 -3.283357083056961710e+04 6.953438255937834933e-01 3
24 -3.283357082791102584e+04 3.549035884742173796e-01 4
24 -3.283357082859454385e+04 1.710421913076984324e-01 3
22 -3.283357082943191199e+04 7.053280453434123132e-01 3
23 -3.283357082561586867e+04 4.257734823566260984e-01 0
23 -3.283357082038719091e+04 7.236759281849269865e-01 1
23 -3.283357082286218065e+04 8.454392195492950179e-01 4
24 -3.283357083149389655e+04 4.012488316376057185e-01 3
22 -3.283357082391476433e+04 9.368385250624271521e-01 4
8 -3.284257292199355288e+04 3.263394373194049985e-02 2
20 -3.283357082669105148e+04 6.521467901348481089e-01 4
23 -3.283357082129953051e+04 2.649080869294309082e-01 4
18 -3.283357105097835301e+04 1.431877408075523661e-01 3
10 -3.283438583611744252e+04 4.668208873591130903e-01 2
22 -3.283357085509315220e+04 5.949567802818478413e-01 1
19 -3.283357102273256896e+04 9.421466434943687185e-01 1
24 -3.283357083154208522e+04 7.580597603594675382e-01 4
7 -3.285552402375888050e+04 3.475968900606694056e-01 2
18 -3.283357117098160234e+04 4.641936389776137872e-01 1
23 -3.283357083693415916e+04 5.297546007279069213e-01 0
22 -3.283357084042047063e+04 6.020590658366997694e-01 0
21 -3.283357085807414114e+04 6.961272172132004776e-01 1
20 -3.283357092872758949e+04 1.205020927459733160e-01 3
24 -3.283357082105861627e+04 3.859249881019841122e-01 4
22 -3.283357083941439487e+04 7.244384908979689675e-01 0
23 -3.283357082221108431e+04 1.196153450528844309e-01 0
23 -3.283357081966092665e+04 3.124913672103795670e-01 1
1 -3.959543667295882187e+04 2.967569850284075272e-01 2
19 -3.283357092808085872e+04 4.877670481675044911e-02 3
22 -3.283357083400950069e+04 6.057224858961027802e-01 1
24 -3.283357082679630548e+04 3.028346611221831020e-01 0
5 -3.294634026321493002e+04 6.879639560819533761e-01 2
20 -3.283357097203843296e+04 5.403142202272988026e-01 3
19 -3.283357100105611607e+04 2.900422791853629612e-01 3
21 -3.283357091731690161e+04 4.823343192781273103e-01 1
21 -3.283357092727034615e+04 2.543791151463754563e-01 3
24 -3.283357082243470359e+04 2.683558884821937163e-01 0
20 -3.283357082294533757e+04 2.880456729114690972e-01 0
1 -3.607368630782492983e+04 6.520220855615579403e-01 2
18 -3.283357106464364915e+04 6.686361946901805409e-01 1
22 -3.283357082238957082e+04 8.489003821368317215e-01 4
22 -3.283357083184945805e+04 9.100384224740138972e-01 4
17 -3.283357088979716355e+04 1.078527142567831804e-01 0
7 -3.286091277144657215e+04 3.422003825637857100e-01 2
20 -3.283357095929586649e+04 5.742841873487598559e-01 0
22 -3.283357083003468142e+04 2.366227917911940815e-01 3
21 -3.283357085284593632e+04 6.285725063791148814e-01 1
22 -3.283357085415188340e+04 9.571705211548131587e-02 1
21 -3.283357086916558910e+04 9.807628471296823136e-01 1
21 -3.283357094008392596e+04 9.024727153656568746e-01 1
21 -3.283357087893917196e+04 1.062351218962332283e-01 1
20 -3.283357096922177880e+04 3.157931211786939030e-01 0
22 -3.283357084805508202e+04 5.427411841285330052e-01 1
24 -3.283357083124190831e+04 2.179978171365501982e-01 0
22 -3.283357081962930533e+04 2.468871345828349551e-01 4
21 -3.283357087038702593e+04 6.246911187220074435e-01 1
24 -3.283357083196793974e+04 5.881935817593890725e-01 3
7 -3.284367557304057846e+04 5.720794105290505360e-01 2
24 -3.283357081824546913e+04 9.048238209052529291e-01 4
22 -3.283357081836940779e+04 8.923582608452995668e-02 4
24 -3.283357081881090562e+04 6.251043017550570458e-01 4
22 -3.283357082356400497e+04 9.905771581056566077e-02 4
23 -3.283357082725344662e+04 2.510304771832912521e-02 0
4 -3.340313743256911403e+04 9.776635814999699026e-01 2
23 -3.283357082288456877e+04 6.969318852031811673e-01 4
8 -3.284750163254080690e+04 8.736666382408908582e-01 2
23 -3.283357081943188678e+04 4.857831444861351322e-01 4
23 -3.283357082276720030e+04 7.710907589465265666e-01 4
24 -3.283357083136328583e+04 4.910043816453442123e-01 0
24 -3.283357082495948998e+04 2.639377811915946115e-01 3
1 -4.864111638317735924e+04 1.157464074006522153e-01 2
22 -3.283357083024737221e+04 4.308874705954099937e-01 0
23 -3.283357083404747391e+04 4.413927852290552289e-01 3
22 -3.283357084616052452e+04 5.800381654237440204e-02 4
7 -3.284780602652089146e+04 1.494251369595822609e-01 2
22 -3.283357083678204799e+04 5.105842422807649328e-02 3
19 -3.283357104103740130e+04 1.672213756765748294e-01 3
20 -3.283357098373303597e+04 1.922501708227453143e-02 1
16 -3.283357104181022441e+04 6.687162224088343265e-01 1
23 -3.283357083723164396e+04 2.339999926514835238e-01 3
22 -3.283357085365061357e+04 7.119126298410946574e-02 4
24 -3.283357081866949738e+04 2.777023542927895550e-01 3
15 -3.283357697280163848e+04 3.707313159746101761e-01 2
24 -3.283357082816217735e+04 3.928824318066592158e-01 3
18 -3.283357123668590066e+04 3.557548163633852401e-01 1
16 -3.283357249544579099e+04 9.658160750414137574e-01 1
18 -3.283357141586166108e+04 2.028131878267995514e-01 1
24 -3.283357082618758432e+04 2.442952741791163118e-01 3
19 -3.283357106937187928e+04 1.385775624170103651e-02 4
13 -3.283360114430276008e+04 7.844167485398824136e-01 2
10 -3.283362973690770741e+04 8.573869774088880291e-01 0
21 -3.283357085191970691e+04 5.487476359518983493e-01 3
21 -3.283357087202166440e+04 5.681153740003495045e-01 3
17 -3.283357298669339070e+04 1.364294807509500995e-01 1
14 -3.283358406498823024e+04 9.071770307931918687e-02 2
10 -3.283383431905509497e+04 5.535434499614921844e-01 0
20 -3.283357089213135623e+04 2.476531885113277265e-01 4
14 -3.283357710948096064e+04 9.283657369679090277e-01 2
22 -3.283357084618099179e+04 7.279095853202370847e-01 3
13 -3.283358216655568685e+04 8.419247529893733040e-01 2
24 -3.283357083084695478e+04 8.563264677176872786e-01 3
21 -3.283357083675777540e+04 7.988738246838761325e-01 3
24 -3.283357082733071002e+04 4.738731168251248405e-01 1
22 -3.283357082512469060e+04 3.945187304571843301e-01 1
24 -3.283357083156977751e+04 7.983057916409004307e-01 1
21 -3.283357083520985179e+04 3.867199465480131160e-02 1
23 -3.283357082391776203e+04 4.528392757280483294e-01 4
23 -3.283357082771111891e+04 2.734792236466248028e-01 4
23 -3.283357082579766575e+04 3.137714022121882440e-01 4
18 -3.283357142984164966e+04 1.984402866416339339e-01 1
17 -3.283357257946471509e+04 6.383110353845538043e-01 2
17 -3.283357308878985350e+04 3.355545145230943160e-01 2
12 -3.283360530725504213e+04 8.852723940299302985e-01 0
19 -3.283357107099364657e+04 4.113853405148896747e-01 4
12 -3.283358247447985195e+04 9.150479870523964276e-01 2
12 -3.283361035078808345e+04 2.876103293561494967e-01 1
13 -3.283360041101992101e+04 8.242693793857032158e-01 1
18 -3.283357121209368051e+04 2.008107259111397980e-01 4
13 -3.283359798390174547e+04 3.212935300298989105e-01 1
12 -3.283359188601612550e+04 3.414547523264621631e-01 1
18 -3.283357127750915242e+04 3.406365501174468680e-02 2
