# log_X log_likelihood tiebreaker accepts tries exceeds visits
0.000000000000000000e+00 -1.797693134862315708e+308 0.000000000000000000e+00 32773 32773 13006 32773
-9.306387005825283998e-01 -1.866484539379765124e+02 2.330169895295250149e-01 27676 32868 15432 44669
-1.989197071947392814e+00 -1.570616950143831616e+02 1.015576768773487348e-01 22787 32855 15010 47301
-3.127079763802822043e+00 -1.542064443553231001e+02 5.721057722906044418e-01 19534 32952 19568 46900
-4.008700510884027679e+00 -1.534475938308557659e+02 3.991691865052375832e-01 18132 33030 15419 51105
-5.194284889168499397e+00 -1.530111890718190182e+02 1.615959535066384678e-01 16123 33043 20687 47566
-6.036551248408035697e+00 -1.528673575157579592e+02 8.661673951013557637e-01 15274 33076 23365 52672
-6.859109356701460491e+00 -1.527908587751710741e+02 9.806692607026290531e-02 14057 33052 16782 55043
-8.035756009854026161e+00 -1.527352482756839720e+02 8.306857994830203484e-01 12889 33050 17880 49575
-9.054361396817620644e+00 -1.527126968492980268e+02 7.739132312351980625e-01 12003 33092 23894 50218
-9.810634940870704312e+00 -1.527036960894915296e+02 7.626618578807623505e-01 11359 33093 24306 55348
-1.064236137559431938e+01 -1.526980335522773373e+02 6.787368724951962085e-01 10884 33061 21038 55807
-1.161922534905079019e+01 -1.526943579025789290e+02 6.971400762152759611e-01 10243 33067 20816 52861
-1.255488953516814910e+01 -1.526925197802658261e+02 3.564767748280037729e-01 9610 32863 22746 52596
-1.340164565565260979e+01 -1.526916332120510447e+02 8.436049438848589599e-01 9114 32859 20276 54112
-1.438426977927519523e+01 -1.526910628841223172e+02 5.772031595091844380e-01 8664 32938 15746 52020
-1.556704668228268318e+01 -1.526906969087515904e+02 1.932820273413572709e-01 8166 32993 24826 48335
-1.625088782997154624e+01 -1.526905920236989402e+02 2.844054976891612352e-01 7792 32981 17275 56550
-1.742599434871170416e+01 -1.526904814180916219e+02 8.325161058925278912e-01 7447 32960 22383 49764
-1.823592313393830366e+01 -1.526904436912168990e+02 6.104301111443747457e-02 6884 32855 30426 54625
-1.883987057938180953e+01 -1.526904268541041745e+02 1.703225923837327349e-01 6781 32876 18975 62332
-2.001920887814759098e+01 -1.526904074410431065e+02 3.083830631915391307e-01 6395 32924 23406 51366
-2.081642816726302669e+01 -1.526904015721564747e+02 6.274560353949005798e-01 6095 32833 26160 55405
-2.157886213375524420e+01 -1.526903982915734446e+02 4.724170041752753235e-01 5834 32965 18084 58538
-2.274377866136873649e+01 -1.526903957449796678e+02 8.107732996257516200e-01 5528 33131 14120 50570
-2.400103092612512157e+01 -1.526903943934859456e+02 7.515071091009716264e-01 5401 33409 26302 46874
-2.460085265691257916e+01 -1.526903940221731659e+02 7.497939410982694675e-01 5168 33446 25739 59123
-2.544036392228750998e+01 -1.526903937273059171e+02 1.905607208957872944e-01 4880 33335 29342 58430
-2.614299761282021706e+01 -1.526903935532441494e+02 3.600189570541920681e-01 4632 33427 18694 62135
-2.733337529231303265e+01 -1.526903933976739722e+02 2.793444021343465256e-01 4306 33357 0 0
