# level_assignment log_likelihood tiebreaker ID
0 -2.578491174257913485e+02 1.440075494667957812e-01 0
1 -1.648591448935555093e+02 5.701419389889218481e-01 2
2 -1.552235003926732873e+02 4.275426923293447201e-01 3
0 -2.283767599942833328e+02 2.772944604906495414e-01 3
0 -3.070265188907673064e+02 4.418724122952999989e-01 0
3 -1.541078259702357514e+02 9.440564850663983876e-01 4
0 -1.883436075576477151e+02 5.658847811891007384e-02 2
3 -1.538220564884901478e+02 1.870153312522357392e-01 3
4 -1.533915005963927172e+02 1.119638214716314195e-01 0
0 -1.561164724174383593e+02 7.489592762728920494e-01 1
5 -1.528708538309505514e+02 4.450294223540069982e-01 3
0 -1.734551365870356392e+02 8.426203589286740403e-01 0
5 -1.527651491880722574e+02 6.447875982137505346e-01 2
4 -1.530766346006839740e+02 6.604904811689273070e-02 1
7 -1.527699159667588447e+02 6.299061212867500537e-01 4
2 -1.552913334651336470e+02 5.470733939564598192e-01 2
3 -1.539632269378820979e+02 6.803502354688273357e-01 2
7 -1.527481401146011422e+02 5.562407529998409927e-01 4
3 -1.540424763646603878e+02 7.558513898207080972e-01 1
6 -1.527157042649538141e+02 7.467119143420833938e-01 3
7 -1.527604066331026900e+02 5.291132993123035533e-01 2
6 -1.528335875604597618e+02 3.155619092261138237e-01 4
9 -1.527116754964483789e+02 2.726298247198011282e-01 1
8 -1.527315861360931422e+02 8.282049558597357475e-01 0
8 -1.527168942318223799e+02 5.234089183966526004e-01 1
7 -1.527532122461633435e+02 1.576193475798016441e-01 3
3 -1.529025085640972179e+02 5.657737017136730273e-01 0
7 -1.527723848250262222e+02 6.402472151575823167e-01 0
12 -1.526926928213244992e+02 1.028520610707474442e-01 3
12 -1.526942206931493047e+02 1.164650433783250283e-01 0
13 -1.526922775678815185e+02 3.371089789911688173e-01 3
11 -1.526969626719167081e+02 1.136304807662577576e-01 0
5 -1.528232556182933308e+02 8.341268662854433025e-01 1
12 -1.526916127850086013e+02 7.033809200360376934e-01 3
13 -1.526916889157636490e+02 4.214001966217698625e-01 4
8 -1.526977116232574190e+02 8.478012553005113139e-01 2
15 -1.526909256652897966e+02 6.640166280137820287e-01 0
12 -1.526935089871437299e+02 5.186150225957385507e-01 2
5 -1.529425783475140292e+02 3.281346368446951267e-01 1
11 -1.526964690969426215e+02 4.620960431461833551e-01 3
16 -1.526906018007653074e+02 5.859572556370071794e-01 4
9 -1.527104231370869911e+02 3.211706898558999157e-01 3
4 -1.531525954819702235e+02 3.060893063645231393e-01 1
16 -1.526905339826944328e+02 6.620474245063561192e-01 2
0 -2.646592670097771816e+02 6.975293268144304726e-01 1
6 -1.527834791737912212e+02 8.968229205331110787e-01 1
18 -1.526904779575703230e+02 8.007364646999377555e-01 0
17 -1.526905792182100186e+02 3.225245424217214607e-01 0
5 -1.529094115766314133e+02 8.011216130056416640e-01 3
15 -1.526909722841500923e+02 6.804992008632320122e-01 1
4 -1.533276565815867798e+02 3.361588083270203309e-01 0
18 -1.526904410615504730e+02 5.339389053366403459e-01 1
15 -1.526905092183996828e+02 8.005753127685455439e-02 1
20 -1.526904099204697332e+02 4.968536882168095303e-02 2
17 -1.526905392027753692e+02 8.086135376224133919e-01 2
13 -1.526918570804241426e+02 7.444140871291278216e-01 0
22 -1.526903987256696951e+02 1.418904899208748571e-01 4
15 -1.526909464502434730e+02 8.379049078873644918e-01 0
13 -1.526910799535082219e+02 3.137032789798177568e-01 1
9 -1.526921006846229716e+02 2.396046566968436931e-01 1
11 -1.526928543095143027e+02 3.631745512105404861e-01 1
14 -1.526907849766783158e+02 7.747966694372856455e-01 2
10 -1.526986267640050414e+02 7.807380044292919763e-01 0
19 -1.526904054865243552e+02 8.210079446841741513e-01 4
24 -1.526903940506089725e+02 4.758454938676353052e-01 4
10 -1.526945393424937834e+02 5.845831567834264275e-01 0
22 -1.526904013357911936e+02 2.662717762967458102e-01 1
14 -1.526911432912188218e+02 5.011120624544825874e-01 2
19 -1.526904253270383265e+02 4.629692969064369001e-01 2
