# log_X log_likelihood tiebreaker accepts tries exceeds visits
0.000000000000000000e+00 -1.797693134862315708e+308 0.000000000000000000e+00 29499 29499 9847 29499
-1.087356429629965815e+00 -1.800716871794141980e+02 7.684753376950070880e-02 24017 29553 11278 38321
-2.291623792116330272e+00 -1.557652499414601834e+02 3.658286955699048271e-01 19064 29639 15083 40025
-3.269302139272324048e+00 -1.537844324074073370e+02 9.155481269086379603e-01 17253 29647 18104 43618
-4.156351926327756630e+00 -1.529619140125448098e+02 9.015403208955962144e-01 15914 29556 18682 46430
-5.072217539220229554e+00 -1.525366567323315792e+02 4.700715675662627824e-01 15062 29618 14964 47057
-6.208101535474065180e+00 -1.522691696770687315e+02 5.699822622525200222e-01 13685 29614 16040 43575
-7.207540242176342815e+00 -1.521608370529067145e+02 9.826667907646600142e-01 12618 29488 15699 44419
-8.244897270275636458e+00 -1.521039091199038467e+02 4.243127240537367117e-01 11799 29504 14796 44102
-9.330608531054103594e+00 -1.520749708639360165e+02 1.664077249633190703e-01 10974 29593 11027 43206
-1.066658289277032345e+01 -1.520585800739940510e+02 7.735120702625395417e-01 10135 29745 20427 39845
-1.135570466636469078e+01 -1.520545038061302137e+02 3.156465238941473239e-01 9760 29849 14218 48811
-1.257328077284547696e+01 -1.520508699329502633e+02 6.131845666087407665e-01 9159 29836 10039 43152
-1.399261177055681138e+01 -1.520493458259346653e+02 1.647122755241312575e-01 8379 29667 14677 39038
-1.497247878253295283e+01 -1.520489041571543112e+02 5.179932288953287278e-01 8008 29558 16783 43178
-1.592110396944231709e+01 -1.520486630249131679e+02 2.047483548816395604e-01 7495 29722 19837 45216
-1.675561551609404631e+01 -1.520485627177914694e+02 9.634631828603246184e-01 7333 29736 10709 48152
-1.821937667225601487e+01 -1.520484682290669411e+02 5.794199438516490774e-01 6687 29678 9815 39607
-1.957927555585614243e+01 -1.520484359959339713e+02 1.347236374780494406e-01 6009 29310 17308 38375
-2.038964550619364147e+01 -1.520484276100140448e+02 6.477708315512578086e-01 6064 29363 8457 45271
-2.200595823463075007e+01 -1.520484194503190167e+02 3.193175079348062328e-01 5480 29507 9651 37594
-2.333269800007267136e+01 -1.520484172185149419e+02 5.827273501229927044e-01 4867 29311 7625 38186
-2.488130818115963905e+01 -1.520484160329417591e+02 3.551964661657613931e-01 4376 29464 17331 36482
-2.564378874299908873e+01 -1.520484156200702728e+02 7.101093391672343991e-01 4175 29444 22159 45428
-2.637779930292307284e+01 -1.520484153023769807e+02 5.372559184175784708e-03 3835 29478 15503 50181
-2.754115725906164158e+01 -1.520484149388879871e+02 3.729280193802347876e-01 3710 29225 22653 43727
-2.821857288313820789e+01 -1.520484148080994942e+02 4.308761016178084269e-01 3542 29199 12097 50305
-2.961286783283454582e+01 -1.520484145326644239e+02 8.374738834956789724e-01 3366 28755 9301 40623
-3.104419589317818051e+01 -1.520484143212239587e+02 4.161678437883828963e-01 3192 29093 15002 37750
-3.197275637588033348e+01 -1.520484142401923009e+02 8.521211801945648423e-01 3111 29150 0 0
