# log_X log_likelihood tiebreaker accepts tries exceeds visits
0.000000000000000000e+00 -1.797693134862315708e+308 0.000000000000000000e+00 32874 32874 15717 32760
-7.552065225632228485e-01 -1.879824516697479453e+02 7.794000587541246583e-01 28316 32849 22157 47121
-1.523552140635066054e+00 -1.637209599493427845e+02 9.945920792245193098e-01 25982 32852 18956 53444
-2.557990814942539437e+00 -1.573055844598742965e+02 8.138333394144563471e-01 23374 32765 17787 50599
-3.600722790592143951e+00 -1.565460589714408002e+02 1.414897363164302480e-01 19715 32748 17585 49357
-4.630798195869515688e+00 -1.561983829671989952e+02 2.783397379035059682e-01 17181 32534 19316 48970
-5.565165723688542343e+00 -1.560016546499132630e+02 1.148824831049128914e-01 15674 32568 17954 50710
-6.601186312740938256e+00 -1.558748266911118208e+02 8.358902768255704885e-01 14201 32525 17279 49457
-7.649620180528278190e+00 -1.558079151148419896e+02 7.780167279732760344e-01 13143 32584 13358 48840
-8.925290313288533284e+00 -1.557689603597809196e+02 1.774093967881624490e-01 12137 32613 10796 45286
-1.032427760514759640e+01 -1.557513421415325467e+02 7.125025797271169470e-01 10741 32563 15437 42717
-1.134086826176355345e+01 -1.557458391025709830e+02 8.758041544206378592e-01 10141 32621 19143 46877
-1.224274299159831436e+01 -1.557433140833455241e+02 6.060471325403700149e-01 9867 32572 15579 50282
-1.340344281199572762e+01 -1.557416659448085738e+02 2.895317742863007249e-01 8972 32475 24899 47125
-1.406070208269498600e+01 -1.557411841471839011e+02 1.824251939565966762e-01 8620 32332 17784 55257
-1.518668526241619787e+01 -1.557406826806936238e+02 7.508313104081255629e-01 8123 32396 16437 49050
-1.627408537347715978e+01 -1.557404225171875396e+02 9.839081759801471261e-01 7619 32250 20763 47884
-1.711912870484096061e+01 -1.557403170129244359e+02 1.954831899364120884e-01 7058 32245 17916 51692
-1.817520325503908296e+01 -1.557402504086206250e+02 6.756011552987040147e-01 6900 32009 11185 48755
-1.961133642344757888e+01 -1.557402091219412910e+02 5.610642203462595790e-01 6369 31837 9975 42204
-2.101571558395236394e+01 -1.557401933872936297e+02 5.358776165668430735e-01 5777 31834 14487 41423
-2.206262714391899493e+01 -1.557401888045919804e+02 4.889485326879423610e-01 5645 31805 10690 45648
-2.347796154517781630e+01 -1.557401857105983254e+02 2.779882356757283901e-01 5168 31417 16563 41480
-2.440159093120274392e+01 -1.557401846986350051e+02 2.044968666461683959e-01 4892 31629 26401 47559
-2.501141186566425390e+01 -1.557401843808791000e+02 2.736904069605197165e-01 4692 31264 39959 57018
-2.539220296911764052e+01 -1.557401842156652947e+02 5.047102486829180279e-01 4748 31193 31269 70501
-2.621255077774256392e+01 -1.557401839528600647e+02 2.709600060262274956e-01 4427 31292 41217 61907
-2.664131693005772661e+01 -1.557401838778713170e+02 7.578962818123935463e-01 4447 31197 34559 71789
-2.738237817850095368e+01 -1.557401837790753802e+02 6.428962160677803572e-01 4290 31157 26267 65065
-2.829357269480506432e+01 -1.557401837131265552e+02 5.236177128432282224e-01 3925 30774 0 0
