# level_assignment log_likelihood tiebreaker ID
0 -1.584647041226505735e+02 1.596773640228092150e-01 1
0 -1.787940184702200384e+02 3.732081611085336648e-01 2
2 -1.624686930756316485e+02 8.807138476894312840e-01 4
2 -1.589893772758082378e+02 5.821428183859790328e-01 3
2 -1.568343249829103740e+02 6.250043972586855068e-03 4
4 -1.559850860264222661e+02 3.180423803565979313e-01 0
4 -1.560933341493122271e+02 8.135423198588962457e-01 1
6 -1.557696172921755533e+02 5.708317570991303658e-01 1
7 -1.557638329188656883e+02 8.011371269212598234e-01 0
2 -1.571630171352409491e+02 1.256771109993053415e-01 2
2 -1.587540089899774500e+02 7.733289160781399163e-01 2
3 -1.571039990735694118e+02 9.707230738189025487e-01 0
3 -1.564984577533319339e+02 6.920282338473598971e-01 2
2 -1.561011516403815449e+02 6.062377912070698871e-01 0
0 -1.569939209331256507e+02 7.682991269197647632e-01 0
4 -1.565203276557103038e+02 3.516566720834826132e-01 2
9 -1.557524477207127234e+02 6.241488121761356034e-01 0
9 -1.557652454701242277e+02 1.255228938005012451e-01 3
7 -1.558472535762105053e+02 9.350328852052294804e-02 3
9 -1.557574262942749783e+02 3.294221261241402354e-01 2
8 -1.557916673629957813e+02 8.442415498308001309e-01 2
9 -1.557673487527023326e+02 1.380641855024926645e-01 1
6 -1.557621937202317213e+02 2.677197554915965449e-01 3
1 -1.773246752370170043e+02 8.445180164023373681e-01 1
7 -1.558518776296799047e+02 7.096996531086441351e-01 3
3 -1.569102159193187731e+02 3.160183550113304096e-01 4
1 -1.589325257535575702e+02 3.065493095305799054e-01 2
4 -1.562442471007541371e+02 7.673543982156330046e-01 2
2 -1.607645242809653041e+02 7.518312955057215863e-01 4
10 -1.557476727429968832e+02 6.825970699187885460e-01 3
4 -1.562781543649802529e+02 3.707393671928278511e-01 0
5 -1.560938909627082012e+02 9.748605693955481044e-01 1
8 -1.557806579512748613e+02 6.831055753027730493e-01 4
8 -1.558014119474292727e+02 8.936619412079445102e-01 2
6 -1.559264396659683598e+02 7.305812299743311700e-01 1
8 -1.557998287333765006e+02 9.314256613912701432e-01 1
11 -1.557411213601063480e+02 5.414828727006922859e-01 3
1 -1.831713956458611960e+02 5.603683132058459027e-01 2
13 -1.557411707411978909e+02 7.438165036180419687e-01 4
10 -1.557494322335560355e+02 1.318373286981264769e-01 0
7 -1.557650003884951388e+02 3.697297134732781543e-01 0
2 -1.565612171929954002e+02 7.175802773074813068e-01 4
14 -1.557404225171875396e+02 9.839081759801471261e-01 1
9 -1.557650130692697417e+02 4.278272111269741940e-01 0
6 -1.558384243484169644e+02 4.010624580843289988e-01 2
14 -1.557406520469808129e+02 4.999782730726863855e-01 1
4 -1.561033620065815910e+02 2.905484364507298634e-01 3
7 -1.558013715169222451e+02 1.799979320965235385e-01 0
0 -2.514229092837263977e+02 5.560157635599836112e-01 3
1 -1.626232800423377398e+02 1.079219186534576824e-01 3
3 -1.572750525423817578e+02 7.675382482325865396e-01 3
1 -1.564791118764825910e+02 1.603333111089671470e-01 0
14 -1.557405034674196713e+02 6.841218321138879954e-01 4
13 -1.557402341182134933e+02 8.896253474163628994e-01 2
12 -1.557431149957166667e+02 2.440142027423428672e-01 0
14 -1.557411311765472419e+02 2.913155021407690462e-03 2
14 -1.557407412872094028e+02 8.013654756176018246e-02 0
17 -1.557403117346709678e+02 6.948970966370103808e-01 2
17 -1.557402457812735861e+02 2.530769105612296066e-01 1
19 -1.557401932914144993e+02 5.742079849861796426e-01 4
14 -1.557403326016583662e+02 6.262006387808353169e-01 0
17 -1.557402442855116647e+02 7.792041376290459453e-01 2
1 -1.617310652435933775e+02 9.436151402793928611e-01 3
8 -1.557967749034634721e+02 4.164844910453346927e-01 4
20 -1.557401857468947242e+02 3.615229969698103840e-01 2
20 -1.557401932334884691e+02 8.726353318326189878e-01 1
21 -1.557401855421488790e+02 5.846533390810394470e-01 2
14 -1.557406306712264268e+02 2.267166798917874537e-02 4
15 -1.557406600067434681e+02 2.870613161511713016e-02 3
13 -1.557409373900153184e+02 7.920331473503152697e-01 3
18 -1.557402403379438169e+02 8.966321144345692495e-01 2
18 -1.557402471813035163e+02 5.967257421310229182e-01 1
5 -1.558290564391112412e+02 9.269787139117217079e-01 4
14 -1.557408149536865380e+02 8.488966608160312122e-01 3
12 -1.557405039660481521e+02 1.968957625082588814e-01 2
8 -1.557822976014205096e+02 8.159482153044965713e-01 4
12 -1.557423425413803386e+02 8.983870461845446798e-01 3
14 -1.557407033200627779e+02 3.063546572507897525e-01 4
8 -1.557974743994321898e+02 2.970317790301657546e-01 2
8 -1.557563252250737378e+02 5.045018091744152278e-01 2
16 -1.557404056961420338e+02 9.695126005432371796e-01 0
18 -1.557402495947746388e+02 1.791220162305243169e-01 0
14 -1.557408911859845944e+02 1.814849879185631010e-01 1
19 -1.557401973751958337e+02 2.313639524446069462e-01 0
16 -1.557403568023536309e+02 9.990429903089558250e-01 3
13 -1.557412321190054740e+02 1.780112072176757987e-01 3
19 -1.557402079414249840e+02 5.529258646166478330e-01 0
22 -1.557401852479277409e+02 1.304587463007238213e-01 4
18 -1.557402419677089256e+02 2.591693397371499508e-01 2
24 -1.557401843037405342e+02 2.462572290636634020e-01 4
