# log_X log_likelihood tiebreaker accepts tries exceeds visits
0.000000000000000000e+00 -1.797693134862315708e+308 0.000000000000000000e+00 33611 33611 11551 33611
-1.062041664613720071e+00 -2.048754841178445531e+03 1.440075494667957812e-01 27365 33681 15737 44204
-2.092618821445759281e+00 -3.948517797878337205e+02 5.533857877397231340e-01 23208 33656 15881 48277
-3.197203449821703458e+00 -1.810546603248887436e+02 7.704571531698818365e-01 19095 33636 15143 48478
-4.349952478485851870e+00 -1.574880057277689218e+02 5.660723592733568621e-01 15587 33543 23005 47838
-5.096738952137243928e+00 -1.555680796640193648e+02 9.544297887464587848e-01 14019 33592 22965 55150
-5.979164133297374839e+00 -1.547472257635828328e+02 1.993747935009796135e-01 13239 33731 7982 55479
-7.837365287957940296e+00 -1.535287626701885983e+02 5.327718820137594680e-01 11729 33052 22323 40614
-8.460036513918547385e+00 -1.533007294381718566e+02 9.170439632362186178e-01 11254 32813 27346 53152
-9.140751623389334668e+00 -1.530571916584669339e+02 6.638439354449827690e-01 10756 32170 32650 57869
-9.731281267424520820e+00 -1.528559966619032480e+02 7.270088060259336515e-01 10154 31594 49686 63500
-1.000205126879188811e+01 -1.527968642246713955e+02 6.048133533782245053e-01 10228 31666 49619 79763
-1.049244126900247487e+01 -1.526795494739384083e+02 9.540372952471670720e-01 9917 31801 57377 80983
-1.085526847809896722e+01 -1.526027987475416126e+02 3.418519333305146679e-01 9973 31785 53672 87396
-1.135692604949253415e+01 -1.524969919258274160e+02 6.053388178845373613e-01 9732 31789 53949 84278
-1.181850715479114555e+01 -1.524173418884358284e+02 4.329099558456892538e-01 9438 31578 66733 85054
-1.208031492645922533e+01 -1.523830106977154628e+02 8.267252317157287589e-01 9408 31597 85492 97145
-1.222661298220775095e+01 -1.523665390418763650e+02 9.870585496563546446e-01 9528 31681 73123 114876
-1.268969391940569125e+01 -1.522981664763704828e+02 7.124022373507776784e-01 9290 31435 95235 103966
-1.279523041042620868e+01 -1.522855883496751233e+02 8.207918158655651553e-01 9437 31498 100094 124131
-1.302405776808144999e+01 -1.522555855193460275e+02 9.639811348245594935e-01 9205 31365 103590 130117
-1.326489500406659161e+01 -1.522204331001459536e+02 2.571938899966852432e-02 9033 31263 125218 134246
-1.334854659454753190e+01 -1.522117907014979323e+02 4.930077753296573384e-01 9115 31186 131628 154945
-1.352304038175848433e+01 -1.521906735799205421e+02 9.679445418569234683e-01 9062 31161 151260 162293
-1.360507854537656769e+01 -1.521826102669747058e+02 4.041297991782142329e-01 8998 31061 131464 181691
-1.393709701274502422e+01 -1.521375849581457373e+02 8.357418796740170297e-01 9043 30534 130329 161359
-1.416118743550681280e+01 -1.521092696697527344e+02 7.266254704482871807e-01 8817 30504 128244 160191
-1.439413664805301352e+01 -1.520819455001467304e+02 4.853914665301966025e-01 9081 30545 106387 158144
-1.479948179144374976e+01 -1.520299429620204705e+02 9.708514258094279592e-01 8698 30587 105994 136335
-1.506322764722421503e+01 -1.519997923077393693e+02 7.323475097831646519e-01 8786 30623 0 0
