# log_X log_likelihood tiebreaker accepts tries exceeds visits
0.000000000000000000e+00 -1.797693134862315708e+308 0.000000000000000000e+00 32887 32887 10159 32887
-1.158110650929959240e+00 -1.755324575893686188e+02 2.780451261318201972e-01 26965 32941 14949 42168
-2.192500807459058620e+00 -1.575084911108314714e+02 3.239194692533455822e-01 23770 32675 17772 46541
-3.157541639689729784e+00 -1.553956776850646975e+02 6.953490503857847616e-01 20806 32762 20869 49436
-4.027713137059893533e+00 -1.547891776724512169e+02 6.499596770639470833e-02 18717 32822 22357 52468
-4.888574655471593644e+00 -1.544497141276881393e+02 2.290390594922586676e-01 16917 32817 18555 53905
-5.951256839988008807e+00 -1.542375615150920680e+02 3.451954458927974922e-01 15213 32718 25439 50175
-6.646891887158104417e+00 -1.541650504445460967e+02 9.632907802262570540e-02 14261 32716 23145 56431
-7.543614831357992045e+00 -1.541068117490509053e+02 7.630078358785273851e-01 13525 32838 23086 54573
-8.411093344804676519e+00 -1.540736861686134205e+02 4.899376042524324071e-02 12545 32865 22344 54538
-9.309042281017632092e+00 -1.540544452913739519e+02 6.937654459940381102e-01 11851 32851 21665 53952
-1.022609341358646695e+01 -1.540438873007580014e+02 8.740337448891954963e-01 10999 32776 14736 53240
-1.149232705061399429e+01 -1.540370934483515839e+02 9.197203768027649717e-01 10064 32665 13069 46615
-1.274437063280360150e+01 -1.540342534336982112e+02 2.906466094989946791e-01 9355 32708 17338 44912
-1.369927464780647064e+01 -1.540331995210429170e+02 6.152326037087085808e-02 8729 32678 22548 48708
-1.448206625845299556e+01 -1.540327340232991560e+02 7.034100521894406377e-01 8363 32654 17608 53749
-1.559122926862862002e+01 -1.540323624423432989e+02 8.656933582267051230e-01 7899 32803 16054 49590
-1.671092004998045866e+01 -1.540321931253455432e+02 2.361430382929403660e-01 7543 32923 12534 48294
-1.803445315100346846e+01 -1.540321021884847710e+02 3.811950934160308613e-01 6975 33053 15353 45030
-1.910530235916557729e+01 -1.540320707564609393e+02 5.535984659746358005e-01 6576 32929 19738 47610
-1.999283914246193206e+01 -1.540320574815837062e+02 7.276312109479686485e-02 6182 32901 18416 52013
-2.102887953931895737e+01 -1.540320486215572089e+02 3.242515463051213187e-01 6132 33027 24332 50727
-2.177731435093528845e+01 -1.540320450336035663e+02 8.108552966476588741e-01 5769 32912 27565 56624
-2.251020544091363718e+01 -1.540320424944682713e+02 7.349403676927734885e-01 5608 33000 18255 59935
-2.368866610336189282e+01 -1.540320404376676890e+02 1.004678253517802267e-01 5361 32828 23143 50451
-2.447972478606514457e+01 -1.540320397452668715e+02 1.644351519278253737e-01 5131 32889 18823 55395
-2.555468164865441949e+01 -1.540320392143984805e+02 3.840570680983063090e-01 4948 32692 11337 50857
-2.701827005761462175e+01 -1.540320388967387828e+02 8.119311843142025531e-02 4471 32880 14941 43583
-2.808389508773384335e+01 -1.540320388095166777e+02 6.002264578246383486e-01 4317 32738 11000 47024
-2.950121333075279750e+01 -1.540320387569667560e+02 3.004889965260737483e-01 4080 32849 0 0
