# level_assignment log_likelihood tiebreaker ID
0 -2.365400059459644808e+02 9.313831178604086158e-01 3
0 -1.831108628552131563e+02 1.796200226042480586e-01 1
1 -1.743419793268496960e+02 2.842994169164074769e-01 1
3 -1.551863769722650090e+02 8.053034179621956223e-01 1
1 -1.739564613261468367e+02 2.417403594502182396e-01 3
2 -1.572522547796806691e+02 4.400078439371455374e-01 0
3 -1.551062052156214577e+02 4.474972647428412387e-01 3
2 -1.573915189918494661e+02 3.546452900185093626e-01 0
2 -1.542701897628999177e+02 8.066787290904304797e-01 1
4 -1.546782569261121125e+02 4.538344732209689258e-01 1
0 -1.837203492467836554e+02 8.269629910711051579e-02 0
6 -1.541460364394261546e+02 8.550298413925168095e-01 3
2 -1.559854813197590317e+02 6.184882365889335931e-01 3
4 -1.542912808707529848e+02 4.835865975828923524e-02 2
8 -1.541367463806414548e+02 5.678313132412731168e-01 3
2 -1.559181389563540279e+02 8.713512390083391068e-01 0
8 -1.541177920902323990e+02 2.650842325620181850e-01 2
8 -1.541118820748328346e+02 5.759687580130493645e-01 0
4 -1.547419958152138406e+02 9.101376722482932280e-01 2
2 -1.548006731456982266e+02 5.781160080653393596e-01 4
8 -1.541254474100906293e+02 2.872969814778434383e-01 1
9 -1.541134406793159997e+02 9.246215281199925418e-01 0
3 -1.541222047110950939e+02 1.364405363138576632e-01 3
5 -1.542154279608500360e+02 5.123523010163399949e-01 4
12 -1.541029974103309428e+02 6.708439442312051915e-01 4
10 -1.541098886694570922e+02 1.596541345009555024e-01 1
3 -1.550818321496400927e+02 3.979491974866541382e-01 3
10 -1.541070847357645164e+02 1.777427263240878852e-01 1
12 -1.541038816477558839e+02 6.700833192374702207e-01 4
14 -1.541015182857777859e+02 8.034758730144027083e-01 0
0 -2.863938694141343149e+02 2.222353590632879516e-01 1
11 -1.541074324098545958e+02 3.372233933472288392e-01 0
1 -1.576033520699167241e+02 4.547283411735385528e-01 1
8 -1.541059684958438254e+02 2.434881454531958589e-01 1
15 -1.541006197692071282e+02 8.681483058270296205e-01 0
6 -1.542125185111873975e+02 7.183684752166476228e-02 1
12 -1.541009334998996678e+02 1.550992509564237398e-01 2
16 -1.541005396116214285e+02 2.653130102361114240e-01 4
8 -1.541229941421034368e+02 5.665734882182297399e-02 1
7 -1.541851933536664205e+02 1.602305318998150929e-01 4
12 -1.541045384724327221e+02 9.069159082756943491e-01 1
17 -1.541003468236980041e+02 3.262113240271631298e-01 3
16 -1.541003919732034717e+02 1.472976122952871225e-01 3
12 -1.541032404520814225e+02 4.907319971903323363e-01 4
17 -1.541003709804999176e+02 6.569050769829687386e-01 2
18 -1.541002112533883235e+02 1.251015343766113119e-01 1
0 -2.418320037077962752e+02 9.576886483185986787e-01 3
18 -1.541002923109493281e+02 3.785942870906137681e-01 4
4 -1.543512551494849845e+02 9.037837891394673306e-02 3
14 -1.541008980269580491e+02 3.540614368887007313e-01 1
19 -1.541002378348593709e+02 5.302194771001449425e-01 4
18 -1.541002960968730804e+02 3.956470452018708006e-02 2
3 -1.541961938071179645e+02 7.606320970522082447e-01 1
16 -1.541002846954750396e+02 2.246923129438345157e-01 4
17 -1.541003229990057264e+02 3.962382779017112888e-01 4
14 -1.541004081143382791e+02 4.203842703720601648e-01 3
14 -1.541014789434541967e+02 3.030407741259258381e-01 3
21 -1.541002000428708243e+02 9.563420030164770935e-02 0
14 -1.541010692221521197e+02 2.558175566609719453e-01 3
9 -1.541093235060062057e+02 6.233996870309612692e-01 1
18 -1.541002275045293004e+02 9.853385179863350940e-01 0
21 -1.541002079717680999e+02 7.769739800498426385e-01 2
18 -1.541003046250192483e+02 4.902635545396246686e-01 1
21 -1.541002117294285654e+02 3.265260554676450155e-01 4
19 -1.541002498571144770e+02 2.481286319542768126e-01 4
16 -1.541002438029614154e+02 6.403009976747568999e-01 2
19 -1.541002448438957799e+02 6.479719118038684833e-01 1
21 -1.541002049258881641e+02 3.654250421849851715e-01 0
25 -1.541001992983856610e+02 3.711282764558976877e-01 4
21 -1.541002053534305674e+02 3.490592867221025131e-01 2
25 -1.541001994680191274e+02 4.033154849694476907e-01 1
19 -1.541002160565548991e+02 1.810594010564651191e-01 0
21 -1.541002014904579482e+02 8.823097727659410250e-01 4
15 -1.541002502075241409e+02 5.704066909184248857e-01 4
26 -1.541001990361315848e+02 6.095456390585791695e-01 1
0 -2.161282450961838322e+02 8.086940574671963589e-01 3
19 -1.541002370137625235e+02 4.567345972372952589e-01 4
27 -1.541001984883724845e+02 1.503388647367018827e-01 2
22 -1.541002045762909347e+02 8.074773793472140859e-01 1
27 -1.541001984643521894e+02 1.457766548698309350e-01 2
28 -1.541001984253213664e+02 1.068095028744855401e-01 2
22 -1.541002028061536180e+02 5.092382596564686281e-01 4
17 -1.541003746933264722e+02 2.564172577499544969e-01 1
16 -1.541004794048451458e+02 7.183502516533191162e-02 3
25 -1.541001994630692025e+02 9.026631295033810121e-01 0
18 -1.541002407313307003e+02 4.491355473723084718e-02 3
19 -1.541002168617083612e+02 3.365002620944501643e-01 4
17 -1.541003411205037423e+02 6.068854820668463379e-01 4
26 -1.541001987026334632e+02 5.929128109302834737e-01 0
0 -2.681091276876663301e+02 9.864032791588657201e-01 1
9 -1.541169727938636242e+02 3.188844119102762775e-01 3
2 -1.562900204710434480e+02 5.984710984170710235e-01 1
10 -1.541063033234904083e+02 7.838359129896406152e-01 4
7 -1.542016045348125317e+02 7.879365521906898095e-01 1
5 -1.542701177190546673e+02 8.473312531062959785e-01 1
0 -1.701513259982476427e+02 9.197983396419321389e-01 1
26 -1.541001990296821020e+02 4.057224182460448247e-01 0
