# log_X log_likelihood tiebreaker accepts tries exceeds visits
0.000000000000000000e+00 -1.797693134862315708e+308 0.000000000000000000e+00 32802 32802 11179 32802
-1.069491334503768876e+00 -1.750208277954270102e+02 2.534323601345853105e-01 22098 32822 14097 42979
-2.175942848273229480e+00 -1.579311259351771071e+02 7.026737866608365746e-01 17319 32923 16784 45978
-3.183180162829109872e+00 -1.560452997371852746e+02 9.971088994378413117e-01 14537 32909 18962 48435
-4.124669204122874078e+00 -1.557839970137109731e+02 4.455332658337066154e-01 12557 32904 22241 50684
-4.957880344508827086e+00 -1.557484442247980212e+02 6.793089179672558986e-01 11195 32859 21174 53730
-5.892780070527693148e+00 -1.557415344130016877e+02 4.065601706285205119e-01 9914 32822 23175 52704
-6.723687474617466187e+00 -1.557404432964005707e+02 3.338014919434809658e-01 8888 32873 24319 54623
-7.542435166456076701e+00 -1.557402347017256261e+02 2.176990466118411405e-05 8095 32795 17036 55694
-8.716149400228712096e+00 -1.557401880203508142e+02 6.511903394287105185e-01 7077 32726 14331 48758
-9.925385466729208517e+00 -1.557401839699693085e+02 1.221777094356095439e-01 6065 32649 14694 46040
-1.105769388981180157e+01 -1.557401836621781399e+02 6.523166173293089010e-01 5289 32653 17660 46506
-1.202796275237404799e+01 -1.557401836336449037e+02 2.257274193555565689e-01 4963 32651 16191 49097
-1.313033832029228520e+01 -1.557401836297062800e+02 7.766503278836488500e-01 4364 32477 20001 47602
-1.400521304328026240e+01 -1.557401836293044539e+02 3.226314095422528894e-01 4087 32506 32729 51009
-1.447417282718831544e+01 -1.557401836292554549e+02 8.467240406273625064e-01 3815 32715 14863 63264
-1.589603431929111110e+01 -1.557401836292257826e+02 6.657411397189871849e-01 2963 32492 19328 46644
-1.678417255435622479e+01 -1.557401836292232531e+02 8.516850165034955955e-02 2354 32535 19062 50480
-1.775957382575777288e+01 -1.557401836292224573e+02 8.393444707184495313e-01 1877 32556 17993 50394
-1.878767342189769707e+01 -1.557401836292210078e+02 1.552246726375405839e-02 1759 32545 16761 49580
-1.986693182778355293e+01 -1.557401836292208372e+02 9.893968231610426045e-01 1348 32653 18344 49110
-2.085260727085679733e+01 -1.557401836292207236e+02 4.210671491081754425e-01 1049 32379 23370 50090
-2.162761391295813596e+01 -1.557401836292206667e+02 4.715352481092868198e-01 976 32410 37800 55138
-2.203059750241957460e+01 -1.557401836292206383e+02 6.683680731699553901e-01 902 32403 49565 69550
-2.239062128037985389e+01 -1.557401836292206099e+02 8.476506598114941227e-01 871 32532 57397 81466
-2.275883058241287316e+01 -1.557401836292204962e+02 9.869414475595084113e-03 962 32450 13457 89203
-2.460217218751916235e+01 -1.557401836292191035e+02 4.190361573950553975e-01 865 32059 40158 44880
-2.475287128836908224e+01 -1.557401836292191035e+02 9.054014442203390800e-01 835 32112 54620 71621
-2.504598850228791918e+01 -1.557401836292190751e+02 6.027150080350739403e-01 844 32202 70423 86195
-2.526772528042799237e+01 -1.557401836292190751e+02 9.925812225845292991e-01 823 32240 0 0
