# level_assignment log_likelihood tiebreaker ID
0 -1.575880973621355281e+02 1.596773640228092150e-01 1
1 -1.651751135436184086e+02 3.749775870707880987e-01 3
1 -1.561046876774466909e+02 9.542393901263538369e-01 4
1 -1.610869313153325777e+02 1.586049804956241732e-02 1
1 -1.637246684518708264e+02 1.010654359929522017e-01 2
3 -1.557708237019173225e+02 1.810499418545582495e-01 2
5 -1.557403640046717896e+02 8.156911032712066412e-01 4
6 -1.557407472348553483e+02 5.391989857820747023e-01 1
4 -1.557486994797535260e+02 9.481338289795912533e-02 3
2 -1.570725980785064735e+02 1.469211619368082644e-01 0
7 -1.557403361756417155e+02 4.646066612589250244e-01 0
1 -1.699970130072478582e+02 9.142112674105384862e-01 0
4 -1.557505633421751270e+02 9.129243177552499589e-01 4
2 -1.573109592880770720e+02 7.014703009573397541e-01 4
3 -1.557406408586077760e+02 8.273411037513421773e-01 0
9 -1.557401852467747574e+02 5.447588434726249318e-01 3
5 -1.557406369111849358e+02 5.575029894233116678e-01 4
0 -3.091195351079417719e+02 4.016532226609634271e-01 3
8 -1.557402068871477923e+02 3.930451095449524201e-01 0
9 -1.557401862980519809e+02 5.914290730031951382e-01 3
11 -1.557401836388094978e+02 7.489546484072600041e-01 1
9 -1.557401844844684433e+02 3.625813151291863434e-01 4
12 -1.557401836293958013e+02 6.690864129085113410e-01 2
13 -1.557401836293436759e+02 9.527268192725557583e-01 4
12 -1.557401836292784196e+02 6.833492497806190613e-01 2
14 -1.557401836292727069e+02 7.168284607066852665e-01 4
15 -1.557401836292293638e+02 7.633421946645408962e-01 2
12 -1.557401836295572934e+02 8.241726888797233919e-01 1
13 -1.557401836292676194e+02 7.389856500285288954e-01 0
10 -1.557401836556845183e+02 8.815805338880671194e-01 4
12 -1.557401836321374446e+02 7.460552637967294842e-01 0
16 -1.557401836292223720e+02 3.733572504567930217e-01 0
16 -1.557401836292235089e+02 4.669875357398606819e-01 2
10 -1.557401838641895608e+02 5.059224750470920906e-01 3
6 -1.557411888258977797e+02 4.587217307257729360e-01 3
6 -1.557411551887777534e+02 2.809207320163800148e-01 3
9 -1.557401866113913229e+02 3.566743260255771375e-01 2
14 -1.557401836292833082e+02 4.404084269865817802e-01 0
16 -1.557401836292245889e+02 3.742467974083570903e-01 4
3 -1.560395948443263023e+02 3.449361647908397721e-01 2
11 -1.557401836595808504e+02 7.274834990169957161e-01 2
13 -1.557401836293532824e+02 7.246509183818969912e-01 2
2 -1.563186556958329732e+02 2.772013769228526825e-01 0
11 -1.557401836539793294e+02 2.573203028254567037e-02 1
8 -1.557402124742469312e+02 3.106279521134576171e-01 1
19 -1.557401836292209509e+02 6.997746017266548435e-02 4
4 -1.557745991036584599e+02 8.926445174231263380e-01 1
10 -1.557401837000053604e+02 9.877420694298719717e-01 1
18 -1.557401836292210930e+02 6.303734068695271420e-01 2
9 -1.557401838184721896e+02 6.373827071074540385e-01 1
14 -1.557401836292326607e+02 6.411516690443255229e-01 1
18 -1.557401836292221446e+02 5.467787107474660901e-01 4
18 -1.557401836292223152e+02 5.337797933788259730e-01 2
21 -1.557401836292206099e+02 9.004662058276019510e-01 1
19 -1.557401836292210078e+02 8.842977990990119608e-02 2
7 -1.557402103270392502e+02 5.815232321921327552e-01 0
14 -1.557401836292255268e+02 6.735745754938506913e-01 2
7 -1.557403340916812908e+02 5.850254678732239588e-01 0
16 -1.557401836292224289e+02 4.986536112181741420e-01 2
10 -1.557401838154191296e+02 9.083645598547682720e-01 3
5 -1.557409765093151748e+02 7.450958364973589987e-01 0
21 -1.557401836292206667e+02 3.120595927725341445e-01 1
21 -1.557401836292207236e+02 9.206762702960755718e-01 1
11 -1.557401836308443421e+02 3.002647114647594151e-02 4
16 -1.557401836292224857e+02 6.536736412632606630e-01 2
22 -1.557401836292206099e+02 8.703116936493087152e-01 1
14 -1.557401836292531527e+02 4.712618570191935419e-01 2
23 -1.557401836292206099e+02 5.986033856751019622e-01 1
24 -1.557401836292205815e+02 3.593264043110873107e-01 1
17 -1.557401836292224289e+02 4.301867770312596539e-02 2
19 -1.557401836292207236e+02 9.023058487066295541e-01 2
11 -1.557401836547514904e+02 9.202157541228893345e-02 4
14 -1.557401836292356450e+02 8.914027934587692714e-01 4
19 -1.557401836292208372e+02 9.815028128117155859e-01 1
11 -1.557401836303351956e+02 4.601471939636853081e-01 2
16 -1.557401836292229405e+02 7.229276298524731081e-02 0
24 -1.557401836292191035e+02 5.322895098636243327e-01 4
8 -1.557401867695021451e+02 7.867107212351834300e-02 2
25 -1.557401836292191035e+02 2.798366010861703668e-01 4
3 -1.557606994848711111e+02 3.966700022907009848e-01 2
7 -1.557402538839862132e+02 5.048737481382639114e-01 2
9 -1.557401837617531442e+02 5.441697411398936923e-01 3
26 -1.557401836292191035e+02 8.986025171075651130e-01 4
6 -1.557412021576468248e+02 5.001763526890030676e-01 0
7 -1.557402360370752490e+02 7.195762387187345510e-01 0
6 -1.557402070043923459e+02 7.814233786674371629e-01 0
25 -1.557401836292190751e+02 8.824638656916949930e-02 4
17 -1.557401836292225994e+02 1.706281229756500817e-01 3
17 -1.557401836292229120e+02 8.444711941693878732e-01 3
10 -1.557401838543288477e+02 7.297813037554021776e-01 0
13 -1.557401836293623205e+02 9.388091644685067072e-01 1
25 -1.557401836292193309e+02 2.878773299783884410e-01 2
19 -1.557401836292208657e+02 9.597190524403627077e-01 3
16 -1.557401836292225425e+02 9.677923594167225918e-01 1
25 -1.557401836292193309e+02 4.513796229227423074e-01 2
9 -1.557401848919425902e+02 6.930584017849240608e-01 0
28 -1.557401836292190751e+02 6.887586479112548510e-01 4
21 -1.557401836292206951e+02 4.214292280402753277e-01 3
22 -1.557401836292206667e+02 8.822737813274752483e-01 3
5 -1.557411272845126291e+02 5.375795059317427516e-01 1
23 -1.557401836292205815e+02 6.961078053362630413e-01 3
14 -1.557401836292382313e+02 5.045534696346929415e-01 0
24 -1.557401836292205815e+02 8.109002285346061933e-01 3
1 -1.557561971041152731e+02 9.499698814836499139e-01 1
23 -1.557401836292205815e+02 4.078090817351814890e-01 3
19 -1.557401836292209225e+02 2.991629353436464078e-01 0
6 -1.557403578883433397e+02 8.796007750082441845e-01 1
14 -1.557401836292437167e+02 8.963865978443881499e-02 0
6 -1.557402895776360481e+02 5.166771570922792378e-01 1
10 -1.557401837770527209e+02 6.879056421054438042e-01 0
26 -1.557401836292190751e+02 3.859646030686407769e-01 4
6 -1.557403411317048381e+02 5.075434672864838070e-01 0
29 -1.557401836292190751e+02 9.977892982782196052e-01 4
25 -1.557401836292194446e+02 9.027523156151922024e-01 2
6 -1.557403596342741139e+02 1.722673146994317117e-01 0
7 -1.557402738023448023e+02 2.012660109881105330e-01 0
29 -1.557401836292190751e+02 9.979104975017316637e-01 4
29 -1.557401836292190751e+02 9.999627558369337255e-01 4
29 -1.557401836292190751e+02 9.999627542389558643e-01 4
29 -1.557401836292190751e+02 9.990159525676222119e-01 4
29 -1.557401836292190751e+02 9.995922634905758386e-01 4
24 -1.557401836292193593e+02 5.327633735972594486e-01 2
26 -1.557401836292190751e+02 5.929225001521412075e-01 3
29 -1.557401836292190183e+02 8.401087360907122381e-01 0
27 -1.557401836292190751e+02 3.487557718403073714e-01 3
27 -1.557401836292190751e+02 4.245821309722802028e-01 4
20 -1.557401836292208088e+02 2.823085493508527000e-01 1
26 -1.557401836292189614e+02 8.828679823503429169e-01 0
21 -1.557401836292192741e+02 7.813780900592632861e-01 2
27 -1.557401836292190751e+02 9.925125331038027188e-01 4
22 -1.557401836292206383e+02 3.839641189639745877e-01 1
27 -1.557401836292190751e+02 9.993129128044572207e-01 4
28 -1.557401836292190751e+02 6.261959120961226866e-01 0
13 -1.557401836293639121e+02 1.528198663555903891e-01 1
25 -1.557401836292192456e+02 7.831664741587260892e-01 4
21 -1.557401836292192456e+02 5.729602964988109726e-01 4
26 -1.557401836292176540e+02 2.723084709411160986e-01 3
18 -1.557401836292215194e+02 5.895725488783760682e-01 1
11 -1.557401836294736484e+02 5.061139656018385224e-01 2
11 -1.557401836302386471e+02 7.857982776949842263e-01 2
22 -1.557401836292206099e+02 9.871447488622306921e-01 0
24 -1.557401836292206099e+02 8.936815882726466542e-01 0
4 -1.557544016949186698e+02 8.903850613491262056e-01 3
3 -1.557532160191498747e+02 3.735147643516388838e-01 4
9 -1.557401839375287693e+02 8.960120404903075819e-01 3
9 -1.557401873788013518e+02 2.739011110515930381e-01 4
17 -1.557401836292224289e+02 3.360579895534931971e-02 2
5 -1.557479374870885920e+02 2.183316522877906396e-01 1
