# level_assignment log_likelihood tiebreaker ID
0 -4.352467263177282803e+03 9.313831178604086158e-01 3
1 -6.899662701178215684e+03 7.684062728219259730e-01 4
1 -6.732251212360361023e+02 9.415987623026306208e-01 3
0 2.681485307537940344e+02 9.181866816040447077e-01 2
3 1.949798159613056043e+02 9.671595249693993868e-01 2
2 2.873632576739561273e+02 8.419614484348887373e-01 1
5 3.172497998970612798e+02 1.956029536147959602e-01 2
4 3.495191211638169193e+02 7.013099423289169687e-01 0
2 1.618587328133968128e+02 8.493056266761556117e-01 4
2 2.710226624391570454e+02 6.681126910660084572e-01 4
7 3.580623503010476725e+02 6.178709129505716158e-01 3
5 3.157894790519026174e+02 1.642132108916613542e-01 2
5 3.236073000053947339e+02 6.323454611273136017e-01 1
7 3.568817471157055934e+02 9.983000813416775809e-01 3
1 -1.211382349190760976e+02 5.470552843694496126e-01 0
9 3.592179665645672912e+02 2.361046234521877452e-01 3
9 3.588532155913148358e+02 3.099941032951469277e-01 3
9 3.585938909275481592e+02 5.566553825935354194e-01 0
6 3.555204449547500190e+02 9.311958407645554159e-01 3
6 3.523195559075533083e+02 5.088311089635970674e-01 2
2 -5.757626815384052179e+02 4.098157364820060877e-01 2
1 -5.011464348175946952e+02 6.896055708236962234e-01 2
6 3.505474535162364873e+02 5.279977881063245837e-01 4
4 2.630472268259983366e+02 1.304052891662829672e-01 0
7 3.553187787800268325e+02 4.651800737396811769e-01 3
10 3.590306006358609920e+02 7.462378629908823502e-01 1
9 3.587825969829892756e+02 7.721857206500813975e-01 1
4 2.852160859797137391e+02 7.089018585294546426e-01 0
4 2.676635182379926050e+02 2.579118641662875855e-01 2
5 3.343067909673786744e+02 7.705970219607435334e-01 2
9 3.589163618216189207e+02 6.750337595185653683e-01 4
8 3.582134126757166541e+02 7.471003204694566247e-01 0
8 3.580844807769746581e+02 3.349764047701149772e-01 0
7 3.573119279133345572e+02 6.075019284704552547e-02 4
9 3.589127667244741247e+02 3.597653304751133874e-01 0
1 3.294798330571228462e+02 9.884572347027376082e-01 3
