# level_assignment log_likelihood tiebreaker ID
0 3.027295217790954496e+01 9.313831178604086158e-01 3
1 -6.829239943844223717e+02 3.523239448924803813e-02 0
0 1.908191585165907895e+02 7.550267402413364248e-01 1
1 2.569604297126699066e+02 8.846616462294448757e-01 2
2 -5.120287698962860645e+01 7.489891600758813439e-01 2
5 3.550047590877416042e+02 7.461429285963057101e-01 3
3 2.626432170996841364e+02 9.102378092829539469e-01 4
5 3.541925662926867631e+02 9.445195044011451824e-01 3
0 -9.426453746632952971e+03 7.927216542449642134e-01 4
3 3.581185596018310662e+02 7.433876958595375672e-01 1
6 3.561838586385373446e+02 1.581070771392858619e-03 2
1 3.538238348209867468e+02 3.312953888108918221e-01 4
1 -2.675132121360910332e+03 3.776475793577468432e-01 4
3 2.861439164580957595e+02 3.310543408173750035e-01 1
2 2.978035028519351499e+02 6.597538269475387018e-01 0
4 3.582708328156267044e+02 3.353809746436686168e-01 3
8 3.584735908567222964e+02 7.396410307722001143e-01 4
9 3.591254048923317441e+02 4.833086376695590047e-01 2
8 3.589066251221901780e+02 6.163155806077903476e-01 1
8 3.585517823751688979e+02 6.166715181759423459e-01 4
9 3.589463401053986900e+02 3.392094692688198410e-01 4
10 3.593088786270197943e+02 9.673496242270023249e-01 2
8 3.592342232250556435e+02 6.814594347299660626e-01 3
9 3.589733790915968825e+02 4.858514872806112828e-01 4
7 3.579255570343789827e+02 9.202106657326608596e-01 3
2 -4.441133514030904053e+02 6.550437318168415013e-01 3
7 3.590018539671514191e+02 7.610364505859406048e-01 3
9 3.589610554307849952e+02 8.723192004536404198e-01 3
13 3.593519723900777763e+02 5.708402022693204181e-01 0
10 3.593371407791734100e+02 1.993527185609042240e-01 2
0 -1.676838051664269369e+04 3.991737285483027975e-01 1
8 3.587289895207877635e+02 6.959745381577984169e-01 4
1 2.235464296533546644e+02 3.954048473788163154e-01 1
11 3.593085536387398520e+02 8.467756303437772303e-01 2
4 3.449226926853042414e+02 8.473704462480680100e-01 0
15 3.593807984891882370e+02 9.430676392728493118e-01 3
8 3.588643811015332403e+02 1.592795857487908640e-01 4
14 3.593693438494918269e+02 6.886490275534273842e-01 2
12 3.593375522389076195e+02 9.090915693521265384e-01 1
2 7.020765635128407212e+01 3.466496648644035172e-01 0
15 3.593823707242884211e+02 3.474139338267462351e-01 3
14 3.593645388398471141e+02 8.643341046601622502e-01 3
9 3.589716563823185425e+02 7.006201201591225614e-01 3
13 3.593772335526534789e+02 8.514578343642488500e-02 4
17 3.593828828126576127e+02 4.006161113119700024e-01 4
18 3.593823167844146838e+02 6.091293782619461306e-01 4
16 3.593798915109287009e+02 5.936841044179135274e-01 4
12 3.593402634529224997e+02 5.352680910124532065e-01 0
13 3.593648039915157142e+02 3.009550179701782069e-01 1
16 3.593822858748982867e+02 3.923416419380404419e-02 2
9 3.589196608260394896e+02 9.185347346316220518e-01 3
12 3.593487339731914290e+02 9.753980938193622663e-01 0
15 3.593745291194555307e+02 3.515634375815612778e-01 2
19 3.593830799301620118e+02 8.354111432831183848e-01 3
11 3.593305685497650757e+02 9.229070922470083635e-03 2
4 3.490239823160131891e+02 1.078756760406864856e-01 4
8 3.585237566895735313e+02 9.153589756044482328e-01 0
20 3.593833276601138778e+02 3.208200711502833258e-01 3
19 3.593832380387796661e+02 3.586459326106326562e-01 2
18 3.593820607606558042e+02 2.989171320150273981e-01 3
20 3.593832393927028761e+02 6.011950167314052962e-01 3
16 3.593807765319791656e+02 8.045782899237197139e-01 1
16 3.593831338810063016e+02 3.178360837925903737e-01 2
3 2.355471638432937880e+02 4.376124114346590099e-01 4
4 3.510930231263522501e+02 6.871157757073269590e-01 4
7 3.576298283039174635e+02 6.983095611422374116e-01 4
1 -2.526334238516696587e+03 7.486247147080251629e-01 4
18 3.593818414241628716e+02 5.768148904476341765e-04 2
10 3.591968933173116056e+02 4.883133632198721763e-02 3
10 3.592316196275049265e+02 3.130423755137177189e-01 4
14 3.593790770802909265e+02 1.356116784885163518e-01 4
11 3.593024284998799658e+02 7.853449880243301706e-01 4
9 3.590923427205692064e+02 2.699746319473987910e-01 0
22 3.593833843166864881e+02 9.800981206413719171e-01 1
9 3.592109031337869283e+02 6.483479786511618936e-01 4
15 3.593763500869696372e+02 6.859100106091086113e-01 4
11 3.593480057242985026e+02 7.812230751036173260e-01 2
10 3.592526767229619509e+02 3.196754004196920018e-01 0
12 3.593377603598650580e+02 4.514670003957794719e-01 2
20 3.593833998067822222e+02 2.574532347750754790e-01 3
14 3.593642468123666731e+02 4.282312313661149616e-01 0
10 3.591942448785172246e+02 1.268331037373701953e-01 2
4 3.360998541848874765e+02 3.252026895678651885e-01 2
15 3.593750811173312059e+02 6.900919005422360142e-01 1
1 -4.450359692120732689e+03 8.997323906531969895e-01 2
1 3.540447650628905762e+02 1.408231745011133129e-01 2
13 3.593672539341392849e+02 8.292372991467180654e-01 1
1 -1.924811068006923506e+03 5.840827641983921126e-01 2
7 3.584359506928261681e+02 9.950266949546489048e-01 2
17 3.593812516616542325e+02 9.169261312427110511e-01 4
16 3.593799005056765736e+02 6.042129492315821970e-01 0
20 3.593832333932357983e+02 2.578458101130766122e-01 4
5 3.550500104072931435e+02 5.870980923409767627e-01 2
15 3.593737171901169631e+02 8.529688818456341304e-01 0
20 3.593833552141378505e+02 8.688346674261357983e-01 3
21 3.593833540973156460e+02 8.122784995271903341e-01 0
17 3.593828196288754384e+02 8.347989938534929877e-01 4
22 3.593834220524566376e+02 6.877790827559073783e-01 1
18 3.593830306359114957e+02 1.279643111843563053e-01 4
21 3.593833739260472839e+02 7.058242296925819614e-01 1
16 3.593814953071674836e+02 7.534177474907641781e-01 2
20 3.593833089416424400e+02 2.781483433487390022e-01 4
27 3.593834224546219502e+02 9.658671025386809106e-01 1
7 3.585974502053887818e+02 7.097507677913655888e-02 3
26 3.593834214847386193e+02 7.774467869082410942e-01 0
22 3.593834028702443675e+02 8.383555725154189231e-01 4
18 3.593818783879070793e+02 9.298332125482920985e-01 2
9 3.589754504148335172e+02 3.296363525657284299e-01 3
25 3.593834118913215434e+02 3.455428970321177684e-01 4
25 3.593834204333965090e+02 8.249015418547855916e-02 1
24 3.593834131954297959e+02 8.231402183818846696e-01 1
26 3.593834185613681598e+02 6.289223806790331661e-01 0
24 3.593834130664322970e+02 3.817811431685796952e-01 1
22 3.593833985222890419e+02 3.650736346607169613e-01 1
28 3.593834219827906509e+02 8.851661704599602665e-01 4
17 3.593824748893424612e+02 2.501664200032618357e-01 2
26 3.593834207047680707e+02 9.005816724207126311e-01 3
26 3.593834203844305080e+02 8.731951391911525473e-01 3
29 3.593834225821436235e+02 9.726449514732227186e-02 0
23 3.593833994924650028e+02 9.309168576074070556e-01 3
29 3.593834225904698769e+02 3.876583055828598801e-02 0
21 3.593833889929231873e+02 7.181626759752646194e-01 1
3 2.462535105322265281e+02 9.069520678688660631e-01 2
22 3.593833966374156716e+02 5.857462704233888928e-01 3
4 3.478579082998438707e+02 7.665377763533138822e-01 2
21 3.593833905104689848e+02 4.334590321759712594e-01 3
20 3.593833185665751557e+02 1.629241197026955745e-01 1
24 3.593834056251395168e+02 8.859313136326246729e-01 3
20 3.593833752882601402e+02 1.343235949589214329e-01 1
19 3.593832860561078633e+02 8.120231070355822256e-01 1
29 3.593834227220768867e+02 2.054800358096411372e-01 4
12 3.593674170280959288e+02 9.383017574699179519e-01 1
14 3.593710162359794822e+02 2.352676772920560613e-02 1
0 -4.775367099261986368e+03 1.580577605586664658e-01 2
8 3.589640215435282471e+02 1.775456142553437644e-01 3
27 3.593834210732165957e+02 6.084694605373145437e-01 4
19 3.593832353025952671e+02 4.869652965983882753e-01 4
4 3.452247705040526853e+02 5.872068600792124116e-01 2
19 3.593831244991267795e+02 5.669273312396774234e-01 0
14 3.593687720743587306e+02 4.322258763281629917e-02 4
11 3.593072425749168133e+02 8.155266919955189708e-02 0
13 3.593702183600304352e+02 6.255556795535605064e-01 2
4 3.422395725542780838e+02 9.563414468668355317e-01 4
2 1.686225554714352484e+02 1.138262800877418712e-01 4
14 3.593772534037195214e+02 3.170251625412389140e-01 1
6 3.569455405064622937e+02 7.813452214370958729e-03 4
11 3.593411639270994442e+02 5.619340444258771328e-01 1
3 3.026410347635719518e+02 5.629701946603301588e-01 4
17 3.593817517027620170e+02 2.959828192749291986e-02 1
9 3.591721912729514088e+02 2.814884766444087916e-01 0
24 3.593834071691529743e+02 1.848103000235904181e-01 2
13 3.593675220876694425e+02 5.432118417994378223e-01 4
29 3.593834223530663508e+02 6.420217235420065949e-01 1
3 2.544144629302313092e+02 2.590099028132897274e-02 3
7 3.591273040899224043e+02 4.530635933799606052e-01 0
14 3.593641420804523250e+02 5.288944655680103413e-01 0
5 3.583408074991836543e+02 6.366562596939017160e-01 4
3 2.913939633791070491e+02 9.444565535066231643e-01 3
6 3.564560715084908225e+02 4.626041770767264083e-02 4
9 3.590143180322154421e+02 2.713126913163147469e-01 0
29 3.593834224622740976e+02 3.492076739631929660e-01 1
20 3.593833030162777504e+02 6.944420235213298875e-01 2
27 3.593834211669964702e+02 1.548759700155264429e-01 1
28 3.593834226794933784e+02 7.099149548195988757e-01 1
18 3.593821682956179870e+02 8.096757922816522068e-01 3
25 3.593834089391971247e+02 2.825988412325692450e-03 2
29 3.593834227632429474e+02 1.044644816703237528e-01 1
24 3.593834047832333454e+02 3.645962174043426152e-01 2
23 3.593834063298820070e+02 4.872289479222652146e-03 2
24 3.593834009004326049e+02 1.273486824892151592e-01 2
22 3.593833690693464291e+02 1.656598083483402650e-01 2
7 3.585635249845246335e+02 5.903797584313819069e-01 0
17 3.593820343039125191e+02 1.625164799234491420e-01 4
4 3.562968035592870706e+02 1.571211693254076502e-02 0
23 3.593834009901758009e+02 7.187764332005294743e-02 1
21 3.593833634980484248e+02 7.533026564278725301e-01 2
24 3.593834031436357463e+02 6.771343676155194835e-02 1
25 3.593834103914200568e+02 1.373047742353796785e-01 3
24 3.593834095317561150e+02 2.728336212002531111e-02 2
12 3.593381937640110664e+02 9.313909124998095423e-01 0
10 3.592303637443218349e+02 5.546349430828145799e-01 4
22 3.593833780226429440e+02 1.950543802166730400e-01 3
16 3.593828382769752352e+02 7.488134232505386234e-02 3
14 3.593713916384900813e+02 1.781835042836199534e-02 0
26 3.593834188271171115e+02 5.187350606109912832e-01 1
17 3.593827698650148932e+02 3.879506954091138660e-01 2
14 3.593649631249098206e+02 1.977704944131923326e-01 2
6 3.590844475358468344e+02 7.184983639669200173e-01 0
28 3.593834223221880393e+02 3.564594823337601803e-01 1
8 3.585775231810608261e+02 1.734753989191084589e-01 0
8 3.590365589818866283e+02 1.692610432886781369e-01 0
0 -3.375573094403222058e+03 1.729930183084151252e-01 4
23 3.593834127348791299e+02 7.742682344364809621e-01 2
3 3.416453928689426220e+02 2.153745513971880854e-01 0
28 3.593834221503810795e+02 6.724953714202314137e-02 1
4 3.478555439598865178e+02 2.072567230716050313e-01 3
28 3.593834220073465531e+02 1.342436239278228527e-01 2
20 3.593832451485500314e+02 9.050747095750244497e-01 1
22 3.593833705681411743e+02 3.750610897177554248e-01 4
24 3.593834025215104475e+02 8.528287293749681197e-01 4
28 3.593834221640527176e+02 9.549223524723211565e-01 2
14 3.593745369146515714e+02 3.352369790429565732e-01 3
21 3.593833954209364947e+02 3.943676666470745662e-01 4
17 3.593823766093606764e+02 2.127261718743654884e-01 1
18 3.593828698856244728e+02 7.045544201630420389e-01 3
25 3.593834146693998264e+02 8.148315332728793894e-03 4
24 3.593834058280961585e+02 8.482859338643988778e-01 4
23 3.593834017419782185e+02 6.967888132635380316e-01 4
12 3.593452185840137645e+02 7.371029606760992614e-01 1
25 3.593834077947941523e+02 7.979603751004049617e-01 3
1 -1.887169681104408028e+03 6.043044557634340563e-01 1
22 3.593833874170467197e+02 5.871457167457552195e-01 3
28 3.593834222282354744e+02 6.541521768525347946e-01 4
2 1.059985169213962592e+02 9.367933067660516588e-01 1
25 3.593834152697000945e+02 1.946569104897992730e-01 4
0 -9.886680813898101405e+01 4.252489859175510867e-02 1
16 3.593813041163116395e+02 5.777585249353766050e-01 2
6 3.558956045648409372e+02 2.540934955081963209e-01 1
1 1.724887688007411555e+02 8.053726771477141000e-01 1
6 3.562869791377738693e+02 3.151346289607209750e-01 2
7 3.574827667186215194e+02 7.112218932377438740e-01 2
20 3.593834012810146987e+02 9.025930154207190137e-01 4
7 3.578169906070053230e+02 7.602753423012698075e-01 2
6 3.585220610455347696e+02 8.500686105886984256e-01 3
11 3.592962797991782509e+02 5.576956683470048019e-03 2
25 3.593834149188083984e+02 8.071751914986051712e-01 4
16 3.593804979321671453e+02 2.781746991260471980e-01 3
2 1.957871917860518636e+02 4.100792652473159716e-01 0
17 3.593812616584608008e+02 7.251152019437714369e-01 3
7 3.576373902459390592e+02 1.214999205050548703e-01 0
10 3.591943333688259941e+02 2.436248924620448009e-01 0
15 3.593773545842201429e+02 1.096742228860357465e-01 3
12 3.593620690758676801e+02 2.823460164122688076e-01 2
20 3.593832361163882751e+02 7.042587369183392898e-01 1
5 3.581687174181960245e+02 9.156397439253527448e-01 3
5 3.573803306432462250e+02 1.875725010514384117e-02 0
9 3.592018647499446615e+02 8.049751779450371458e-01 0
24 3.593834115530078748e+02 4.961785092856590973e-01 4
7 3.576076580736178130e+02 5.441406661696785996e-01 2
1 -7.485708657514238666e+02 2.677831126410978868e-01 2
0 -2.285497955189039567e+04 1.328461751531112844e-01 2
5 3.578534201246054636e+02 1.450179959330261670e-01 1
22 3.593834001591214360e+02 5.355348686391721014e-01 4
10 3.592191893283729200e+02 6.278161913957455154e-01 2
11 3.593307333728196795e+02 8.289839443739310809e-01 3
20 3.593832574565474260e+02 3.767160351430193788e-01 2
15 3.593738069702021676e+02 3.701965415653490910e-01 1
26 3.593834195625410075e+02 4.996514240192621581e-01 2
26 3.593834202094512875e+02 9.874199815045217599e-02 2
9 3.589169429142311856e+02 7.470824656078703940e-01 3
12 3.593523508803142477e+02 1.389129621123206537e-01 0
2 2.795648434649416458e+02 5.272487651738297920e-01 3
28 3.593834228239669528e+02 4.705742736442708463e-01 4
21 3.593833311808514281e+02 9.752434727535890246e-01 1
18 3.593822038509167101e+02 1.690051688295636234e-01 2
9 3.591362241006108889e+02 9.144016012516501535e-01 0
6 3.587504697874155681e+02 3.386142083950272053e-01 0
25 3.593834093164276737e+02 2.633575689458389490e-01 1
28 3.593834221876606421e+02 1.082077796734594033e-01 4
7 3.591184609949110609e+02 4.749882742589424112e-01 2
13 3.593522956180963206e+02 1.325027774621352350e-01 2
18 3.593822018714031401e+02 1.217580056925751109e-01 0
