# level_assignment log_likelihood tiebreaker ID
0 -2.173159110993774084e+04 1.596773640228092150e-01 1
1 -7.674818275643444849e+02 4.428860549483038533e-01 0
1 -1.268191758592321776e+03 7.440485982993745306e-01 1
1 3.357447926135564558e+02 7.627980754303429478e-01 3
0 -9.240262064373418980e+03 9.467240782792103460e-01 4
2 -2.266137177782027834e+01 1.888099946117947070e-01 4
4 3.490286940814631862e+02 1.250218932232749769e-01 2
3 3.037862710417546737e+02 8.661468596326926672e-01 3
2 3.177284432210740874e+02 1.935918259033805322e-01 1
4 3.333107251809084346e+02 8.954473132178031314e-01 3
1 -2.223506726617013385e+02 4.092181693102446838e-01 1
0 -1.186566434539135116e+03 7.810319717597693501e-01 4
2 1.077691853544350096e+02 2.207139411691028952e-01 3
2 3.372850287556367448e+02 8.097142977023170651e-01 0
4 3.486947027907833672e+02 2.297631030422839504e-01 3
5 3.541896192452723540e+02 7.193578985581169372e-01 2
4 3.478652668852388956e+02 9.093317328101024888e-01 4
6 3.570552159313378979e+02 3.362986714046556913e-01 0
5 3.558831727990747140e+02 7.067522023414758436e-01 1
7 3.583128406184036976e+02 2.435037673925356805e-01 3
4 3.413912790923860143e+02 1.188921810821823855e-01 3
6 3.577077438893072667e+02 9.155051890804872805e-01 1
6 3.578028174325367559e+02 3.895110955468024660e-01 1
7 3.584590563399394796e+02 5.731929176327803521e-01 1
8 3.588401585589059550e+02 2.565382891764089734e-01 1
3 2.975823428262125958e+02 2.038296382560890740e-01 0
4 3.417196524232153934e+02 9.389593637560744721e-01 3
9 3.593331130349735076e+02 7.979947289996447424e-01 2
7 3.586212180985762643e+02 4.617858198521073154e-01 2
5 3.522324241765731472e+02 8.537384127949501078e-01 0
2 1.276969926310939911e+02 9.403007634532123404e-01 4
3 3.516596891404184930e+02 1.835552414658148113e-01 1
8 3.590414937802656823e+02 4.561485139663688793e-02 0
9 3.591669187412223891e+02 9.833212789394667475e-01 0
6 3.574275185208944094e+02 2.737455087035876033e-01 3
6 3.578961148961302001e+02 7.701528949562804760e-01 0
0 -2.320659312968048653e+03 9.412456497268615330e-01 4
8 3.588745914358956952e+02 9.477993846664733990e-02 3
6 3.575458027658169158e+02 5.742493822903274037e-01 2
10 3.592441227704726998e+02 5.442839582509324536e-01 3
4 3.473047619022826211e+02 7.688814464831633666e-02 4
10 3.592474881877253665e+02 4.827772511094217123e-01 3
2 2.818438791864231234e+02 4.292511881705753929e-01 4
0 -1.599400283354021303e+04 9.955575089252980403e-01 2
5 3.557774117349952121e+02 1.176169909076359432e-01 3
4 3.560702145870519644e+02 1.453634657457061330e-01 3
7 3.584176652693309393e+02 9.556100989560080416e-02 0
8 3.588788852752776393e+02 6.376311979884956571e-01 4
8 3.592477297930624900e+02 6.995092829846480953e-01 3
9 3.591866359947363776e+02 9.812097255976579557e-01 4
10 3.592672983534171181e+02 9.761845446319847852e-01 4
12 3.593622930319659190e+02 4.059989436638717919e-01 3
8 3.590006824156560015e+02 4.911827273185435105e-01 0
8 3.591016217440063087e+02 3.600757829279846445e-01 4
10 3.592399608782803284e+02 9.116139437066818063e-01 4
13 3.593732962130452506e+02 3.921421880960522799e-01 3
0 -5.298043128347500897e+03 2.041701080400333268e-01 1
13 3.593684701529579684e+02 7.226054736458464856e-01 2
9 3.591965493289347364e+02 1.561009655471270463e-01 0
0 -2.393497670427205958e+04 1.427089115564457167e-01 1
15 3.593802732305973677e+02 7.574748345654414017e-01 2
9 3.591252480510303826e+02 2.879694358767975748e-01 4
10 3.592431726648641188e+02 3.444224183225585989e-01 4
4 3.482767132773500975e+02 7.012601142914490771e-01 1
5 3.551449064326097869e+02 6.726884612419048448e-01 1
0 -2.344269073624401062e+04 7.754290900986831048e-01 1
3 3.519799500200683724e+02 5.474994780684507845e-01 1
14 3.593763956481683408e+02 3.128056916448652691e-01 2
2 3.501811346989671847e+02 3.579834354166699928e-01 1
10 3.592596880844425868e+02 9.004262149587852759e-01 0
8 3.588037351725005806e+02 3.668381329309034489e-01 4
7 3.584796466580982042e+02 6.435964420842875677e-01 0
12 3.593672030781879698e+02 5.728973127308769620e-01 1
