# log_X log_likelihood tiebreaker accepts tries exceeds visits
0.000000000000000000e+00 -1.797693134862315708e+308 0.000000000000000000e+00 32565 32565 12278 32565
-9.775795001011826635e-01 -6.589060748512479222e+03 7.700219966001110583e-01 26978 32616 16682 43735
-1.943796693412973564e+00 -7.187541744534372583e+02 2.164258977939188533e-01 23625 32686 15094 48111
-3.092422963522054147e+00 2.313119544899630569e+02 7.107175141377597427e-01 18797 32552 20375 46704
-3.931932653137295119e+00 3.124940087361198380e+02 4.907265804399699727e-01 16802 32440 22745 51485
-4.758604019867317625e+00 3.382459755051704633e+02 5.224366051562107094e-01 15631 32590 13568 53663
-6.108610334200522907e+00 3.530672777285642496e+02 8.388985398766894974e-01 13997 32576 12761 45236
-7.354437992481706488e+00 3.570998091715819101e+02 2.676703333576999633e-01 12797 32280 16462 43928
-8.337166986539818581e+00 3.583199677282913740e+02 4.681368950600806045e-01 12022 32149 15952 47558
-9.423518306230688424e+00 3.588919140116726112e+02 3.068836036633197928e-01 11229 32187 25082 47424
-1.007970872353636516e+01 3.590598910629720422e+02 9.041759358017620318e-01 10838 32278 26971 55496
-1.081444553689582833e+01 3.591925883628044858e+02 1.201151834475266966e-02 10582 32298 26397 57875
-1.160955180911640205e+01 3.592733351047666019e+02 5.349064025003933409e-01 10020 32445 27605 57531
-1.235610835942126684e+01 3.593164352954386800e+02 3.272368693781437798e-01 9536 32278 24452 58511
-1.323476730968136295e+01 3.593456447452857674e+02 2.398776098950783642e-01 9055 32172 27044 55387
-1.396505282217724719e+01 3.593599910282201222e+02 8.438683175144348070e-01 8743 32039 28434 57566
-1.468377676108148400e+01 3.593688530089577853e+02 2.556249062206103484e-01 8266 32004 17103 58920
-1.590717859064583450e+01 3.593768195026358399e+02 9.374259403908775656e-01 7867 32104 19199 48330
-1.683492309688549327e+01 3.593799671710697794e+02 1.952513660893731573e-01 7262 31974 19833 49941
-1.776281339463675835e+01 3.593815331055037632e+02 8.207899011617220131e-01 6907 31740 21940 50239
-1.860067022496715339e+01 3.593823233052694377e+02 2.987094497746836663e-01 6580 31870 15425 52429
-1.980999784594592938e+01 3.593829379212417052e+02 9.650023365430463462e-01 6103 31871 17894 46350
-2.076476610174886162e+01 3.593831663058612662e+02 6.605730839048189473e-01 5760 31962 29281 48950
-2.130226470761643398e+01 3.593832429522901180e+02 7.917338222154921556e-01 5686 31945 12074 59344
-2.285449358354858873e+01 3.593833636864854952e+02 7.435469809675643305e-02 5155 31997 6008 43540
-2.472820271748020460e+01 3.593834062197626054e+02 8.443919748061536057e-02 4655 31881 12927 37594
-2.579032379601750691e+01 3.593834141712865744e+02 7.951872939102648807e-01 4588 32029 13647 44313
-2.695520857088294520e+01 3.593834186463839160e+02 4.211009731913006870e-02 4226 32029 26382 45034
-2.751465504607725876e+01 3.593834198069509966e+02 4.024484812344026330e-01 4199 32004 18249 57751
-2.865819813598962185e+01 3.593834214482603784e+02 5.222495747049431536e-01 4090 32269 0 0
