# level_assignment log_likelihood tiebreaker ID
0 -1.786397837999784315e+04 9.313831178604086158e-01 3
0 2.904724535400918057e+02 6.654878299928670971e-02 1
1 -9.450913369891840432e+01 7.625153026342194051e-01 4
3 2.564761711313857404e+02 6.561498164617478590e-01 0
3 2.967146481033848886e+02 6.388450923419165539e-01 3
2 -7.472888819790901493e+01 9.252162152574072707e-02 4
2 2.969614613607521960e+02 5.058144733264581250e-01 1
6 3.539176319038105589e+02 4.151932984252224013e-01 4
6 3.536875448498910828e+02 4.654611780184234604e-01 0
4 3.320838562535519713e+02 4.993122763303490252e-01 0
7 3.579968051682361647e+02 9.821661494248272728e-01 2
8 3.588378659982992644e+02 4.643705017591377437e-01 2
2 -1.158265457984749105e+02 1.089180089675139129e-01 1
2 3.250198328350196562e+02 1.538809074582845327e-01 2
7 3.581182825063280575e+02 4.545306681381299230e-01 3
5 3.447474224956923763e+02 7.726770061801602196e-02 1
9 3.591184015635662945e+02 5.499985155817288529e-02 2
2 1.827794104167751357e+02 3.112768286170348730e-01 0
5 3.445187472261113157e+02 7.441430857212752437e-02 3
1 -8.354370027936284941e+02 3.431409540020502469e-01 3
9 3.589945073582864552e+02 2.585266677931450374e-01 2
10 3.592593899670149540e+02 6.208659679241961271e-01 1
2 -3.691490701588331831e+02 6.215682000282534148e-01 0
10 3.591829166522607011e+02 3.357291421675334675e-02 4
4 3.317183191324454015e+02 3.206915618390147049e-01 3
7 3.572988986948403181e+02 9.632441054433993344e-02 1
1 2.176891335845414801e+02 8.264049395161838785e-01 3
7 3.587933556346209798e+02 8.865239365517401104e-01 0
5 3.553436354590707538e+02 9.962911911609491078e-01 1
3 2.331841456456513413e+02 8.927719732681331788e-01 3
14 3.593480094082654546e+02 2.498593606867293149e-01 2
6 3.554558063165638941e+02 7.979659016592438592e-01 3
16 3.593765129283595456e+02 7.827961578487361294e-01 2
16 3.593795853436422476e+02 5.968444710600945280e-01 4
15 3.593606050963148846e+02 5.572296141407084846e-01 2
12 3.592948594057708078e+02 3.446320280187648577e-01 3
16 3.593799671710697794e+02 1.952513660893731573e-01 3
5 3.482947676039731846e+02 1.299214394155668861e-01 1
17 3.593773308619712452e+02 1.439217042165123750e-01 3
8 3.583595091122922440e+02 7.703589419904706415e-02 4
13 3.593200073975102100e+02 9.122057405427170806e-01 0
5 3.490819935812902486e+02 9.915981178530868245e-01 1
14 3.593546968883272825e+02 6.387925609736665455e-01 0
12 3.593099761541757289e+02 9.259046321190710360e-01 3
17 3.593786226420395451e+02 7.556726910862462399e-01 2
16 3.593728826316988716e+02 3.080596122690266725e-01 0
11 3.593681659006768996e+02 4.890088795804749533e-01 0
8 3.586854335753469059e+02 1.993551020160437282e-01 1
18 3.593819374017097061e+02 9.034692402008551726e-01 4
21 3.593832930938654613e+02 2.166140863484518064e-01 2
21 3.593831663058612662e+02 6.605730839048189473e-01 4
5 3.573890317279089572e+02 3.474573937546422409e-01 1
21 3.593829931501965689e+02 4.614448674315405619e-01 0
4 3.415326565627534592e+02 7.632327814914492414e-01 1
0 -2.863268419086010908e+03 4.440582010274394253e-01 1
17 3.593811121913890361e+02 5.318502692298743284e-01 4
1 -3.745826034930680180e+03 4.707115327384334691e-01 1
12 3.593338819268753923e+02 4.210300095416297239e-02 4
21 3.593831029155107899e+02 5.771698254107373582e-01 2
11 3.593711206151211286e+02 6.398718411010168028e-01 3
13 3.593732635333563508e+02 5.998445343802356611e-01 3
23 3.593833526432222243e+02 5.089772042133793306e-01 2
11 3.593011369647222182e+02 4.948068857450728664e-01 4
18 3.593822802124108193e+02 6.499040732341491156e-01 1
19 3.593831364204406782e+02 1.898856429956060354e-01 0
12 3.592776828143171315e+02 5.263722745266388170e-01 4
19 3.593824948592254032e+02 9.644736964135184332e-01 3
16 3.593731217812419345e+02 7.952464170576495350e-01 1
14 3.593701365180555740e+02 1.649951019575595090e-01 1
16 3.593755748363673774e+02 6.252589425489734065e-01 4
13 3.593222985504612552e+02 3.744167468854495695e-01 1
19 3.593820498594940318e+02 8.869861862583721113e-01 1
24 3.593834008029723464e+02 1.467714729198767443e-01 2
16 3.593753720424930407e+02 4.443441729309505206e-01 4
23 3.593834059178568054e+02 2.214868137014676108e-01 3
13 3.593525363786146158e+02 6.570311732267836158e-01 4
20 3.593823979245628379e+02 5.336964575164775404e-01 0
18 3.593810958391111399e+02 4.927293877909493247e-01 0
24 3.593833893237382995e+02 3.597526979473326114e-01 2
22 3.593833218981235404e+02 6.210422714374075337e-01 2
23 3.593833167319595532e+02 5.132087200744364086e-01 2
21 3.593829799101443996e+02 6.876693060151106707e-01 1
12 3.592819909124409605e+02 3.338640901488050816e-01 4
21 3.593830928241127936e+02 4.211685724215951665e-01 1
23 3.593832434359233616e+02 1.737509820154010398e-01 1
13 3.593227613815438417e+02 3.701601857317822208e-01 4
19 3.593832494653952949e+02 2.881837754539347540e-01 3
23 3.593833368563415434e+02 1.388641531928592188e-01 3
16 3.593720397683323426e+02 6.989110621408984869e-01 1
23 3.593833799493039010e+02 4.816974969471913420e-02 3
23 3.593832719519641614e+02 4.970287443152567874e-01 2
22 3.593831808649325126e+02 7.032663483843619445e-02 3
20 3.593827642163417977e+02 6.840649884872491704e-01 3
24 3.593834005374484377e+02 7.687661623191912597e-01 2
9 3.590158728096265577e+02 9.287133323939875118e-02 1
12 3.593136230386181751e+02 3.991974395489147898e-01 3
26 3.593834162992126267e+02 4.252064939683586897e-01 0
27 3.593834193086443065e+02 5.698868200912197146e-01 2
23 3.593832739355760850e+02 8.664618784679442021e-01 1
26 3.593834164776296234e+02 7.291741950852639320e-01 2
26 3.593834150616729630e+02 5.772644685937606823e-01 0
21 3.593831031090400074e+02 1.552909159658781846e-01 4
18 3.593808912582805988e+02 9.966982011728529045e-01 1
24 3.593834008851846420e+02 6.825659993520202251e-01 2
21 3.593832949020062415e+02 8.509760001012016684e-01 0
22 3.593833792443409152e+02 3.737352083674524983e-01 3
23 3.593833032371388754e+02 3.185051571122988756e-01 0
22 3.593832467637985815e+02 5.140661378818844884e-01 2
22 3.593832567522197792e+02 8.851852295376509971e-01 4
23 3.593832981579890884e+02 9.599859166179616210e-01 4
23 3.593832660195985227e+02 5.539785572923388024e-01 3
24 3.593834043299575001e+02 2.450055177876448997e-01 1
24 3.593833945098699587e+02 1.624510798693588609e-01 1
18 3.593806962212834151e+02 2.856029695399001644e-01 0
17 3.593769257734949747e+02 2.553404147190581064e-01 4
15 3.593708020070303633e+02 9.157609368274325368e-01 3
28 3.593834198647654148e+02 1.025392399425699153e-01 2
18 3.593819434477075561e+02 6.471124913916091737e-02 0
15 3.593692872243968282e+02 5.445648121375197270e-01 3
13 3.593649380067824382e+02 9.104593333310435632e-01 0
0 -3.010140720453322501e+04 7.297770632247871925e-01 1
1 2.790865468561744365e+02 6.990782187738270315e-02 4
14 3.593493230485509002e+02 4.985528060732329347e-01 0
2 -1.907773314397398678e+02 6.774934165648180961e-01 3
3 3.590607995834972712e+02 4.501012852807659836e-01 1
1 -5.629334798380932625e+03 6.683319290458056283e-01 3
2 -1.587997344204323724e+02 6.697408834823093127e-01 4
26 3.593834153865559529e+02 8.971115897879126111e-01 2
26 3.593834158525143039e+02 7.822335089905632088e-01 2
0 -3.795969918360849988e+04 1.939307734820766016e-01 3
3 2.811843499994453168e+02 5.953785086103955404e-01 4
29 3.593834218956678228e+02 3.933433339073444390e-01 2
4 3.345556392159855932e+02 5.288208872068154154e-01 0
7 3.580795507876662214e+02 1.284031765724663876e-01 3
12 3.592890073135326929e+02 1.529537508159146686e-01 1
