# log_X log_likelihood tiebreaker accepts tries exceeds visits
0.000000000000000000e+00 -1.797693134862315708e+308 0.000000000000000000e+00 32881 32881 10826 32881
-1.100703523551525898e+00 -4.421377431404125673e+03 7.340574558714387798e-01 26825 32904 17287 42751
-2.012374728605877738e+00 -4.858545047216267676e+02 2.330391424212081841e-01 23965 32948 21294 49045
-2.855978489354196181e+00 1.808857484991788453e+02 5.839464080519611855e-01 20523 32864 18055 52730
-3.923540189444460591e+00 3.131849231522982109e+02 6.921650304777303697e-01 17121 32848 19940 49940
-4.846328445310523314e+00 3.385391842846212285e+02 9.716115716662780954e-01 16157 32990 23373 51986
-5.656197929527685631e+00 3.491638002847557800e+02 2.508810821899166155e-01 14966 32984 24091 55319
-6.495905988453729130e+00 3.542991086880452940e+02 2.221256460983229986e-01 14239 33050 24410 56061
-7.335669679751910088e+00 3.568279701233714150e+02 9.847617252260626453e-01 13346 33192 24018 56154
-8.192449697809738751e+00 3.579792367581757162e+02 8.032215000386719872e-01 12827 33276 19567 55669
-9.235525372046900827e+00 3.587069241756454403e+02 8.396926238831630140e-01 11980 33307 25914 51773
-9.942982709888559256e+00 3.589757599733757161e+02 7.299350518903783280e-01 11495 33187 23007 57622
-1.086518739743375761e+01 3.591676739132933562e+02 7.093487493792308696e-01 10964 33165 21309 54993
-1.181601871923139946e+01 3.592679100097086575e+02 5.682663143057218313e-01 10305 33112 19305 53282
-1.283039355332726572e+01 3.593253267503607731e+02 2.131221430756664870e-01 9689 33169 10114 51395
-1.440685350646184126e+01 3.593638335021077523e+02 8.653685287083527633e-02 8640 33120 12934 42645
-1.558531176015282149e+01 3.593745508241972857e+02 1.446978257159241554e-01 7931 32963 10439 44834
-1.700523170013055818e+01 3.593801063450901552e+02 1.255188646572495403e-01 7286 32771 7859 42791
-1.863315877201648263e+01 3.593823242416154358e+02 1.048155910166072013e-01 6625 32582 21757 39789
-1.926119856724671919e+01 3.593827162438080904e+02 3.735769667879554889e-01 6476 32575 19989 53679
-2.024971089968393301e+01 3.593830563874996074e+02 1.069004155372139664e-01 5960 32457 31043 51814
-2.078444756512736191e+01 3.593831671572914956e+02 5.412643071769381864e-01 5803 32413 36831 62816
-2.133633448601029770e+01 3.593832440418809142e+02 8.049938147685102852e-01 5655 32366 33372 67720
-2.205537090739898787e+01 3.593833099737704515e+02 8.739002083767370976e-01 5466 32328 29495 64445
-2.284618113721090538e+01 3.593833542989204943e+02 5.352817052927288932e-01 5060 32420 20860 61341
-2.392079484855648275e+01 3.593833910123037754e+02 6.232190365387957343e-02 4949 32382 11438 52698
-2.540984860047452898e+01 3.593834126353677902e+02 5.110102075065618976e-01 4679 32526 24235 43311
-2.601404042399656547e+01 3.593834162022967575e+02 2.094719600463816889e-01 4548 32681 16585 56289
-2.722290680515622086e+01 3.593834202202737060e+02 2.199837850445920395e-01 4229 32836 20408 48780
-2.810167381200534820e+01 3.593834213938786775e+02 8.740895941184604334e-01 4055 32655 0 0
