# log_X log_likelihood tiebreaker accepts tries exceeds visits
0.000000000000000000e+00 -1.797693134862315708e+308 0.000000000000000000e+00 20396 20396 7613 20396
-9.874179889352072692e-01 -5.388446042615493752e+03 2.697183561618359676e-02 14336 20505 9156 26968
-2.058929732739753771e+00 -3.994859482738993393e+02 7.751018196996641851e-01 10992 20452 10553 28510
-3.053387273408118219e+00 2.572455079693106086e+02 6.856730945694361479e-01 9289 20516 9902 29897
-4.147872924602553191e+00 3.484576006166630577e+02 9.542675603008264618e-02 7888 20556 9681 29416
-5.247876555256187459e+00 3.582606353079826249e+02 7.974115562346821839e-01 6822 20458 9187 29212
-6.388222982001412475e+00 3.592668967677686283e+02 4.868996256621649366e-01 5704 20414 10935 28687
-7.356169409269313952e+00 3.593674255294091608e+02 3.939053143282473801e-01 5077 20440 9081 30246
-8.538249713405660302e+00 3.593816325489461860e+02 4.404204474287157223e-01 4529 20364 8196 28391
-9.753554850774380114e+00 3.593832872823330717e+02 1.242238488680508096e-01 3872 20398 11017 27730
-1.068423756245735667e+01 3.593833978637259747e+02 7.436908901942640426e-01 3535 20310 12472 29966
-1.157195917267717711e+01 3.593834182686166514e+02 1.166271317747060721e-01 3328 20369 10308 31392
-1.267463991094292730e+01 3.593834224367395223e+02 6.236236832725623458e-01 2941 20392 12473 29660
-1.355300836046161450e+01 3.593834228129962867e+02 6.639379887154375215e-01 2679 20387 13317 31446
-1.442430862786111945e+01 3.593834228815719598e+02 2.424468966272983264e-02 2454 20338 14034 32090
-1.526571740331023186e+01 3.593834228982046852e+02 3.126594484203198410e-01 2300 20418 5498 32995
-1.695728309907168097e+01 3.593834229018939936e+02 3.144405372271977805e-01 1994 20389 15590 25374
-1.748985818553364169e+01 3.593834229019488475e+02 2.432437805360834204e-01 1837 20429 12948 34087
-1.846051201042017453e+01 3.593834229019770419e+02 1.240591876443662422e-01 1551 20478 13832 32109
-1.931584063681053465e+01 3.593834229019831810e+02 5.800851242595123081e-01 1170 20273 11368 32709
-2.036754549543743309e+01 3.593834229019876148e+02 3.776786330165911032e-01 967 20215 9476 30425
-2.151713601940307186e+01 3.593834229019904569e+02 2.762736166719985675e-01 839 20084 6225 28610
-2.297583257602466134e+01 3.593834229019929580e+02 6.766607988942892060e-01 791 19639 9961 25164
-2.391048664378331168e+01 3.593834229019940381e+02 7.681930372219574199e-01 671 19229 18122 27939
-2.438838685030436793e+01 3.593834229019945496e+02 8.974987175861575128e-01 602 19229 1227 35334
-2.716754958923612406e+01 3.593834229019965960e+02 2.602389389007848663e-01 541 17674 1614 18671
-2.922951642201848088e+01 3.593834229019975055e+02 4.834525437682231086e-01 327 11886 183 13018
-3.171598068005770088e+01 3.593834229019985287e+02 6.555688919106046342e-01 106 3643 134 3786
-3.339419961174169771e+01 3.593834229019990971e+02 4.628786161655753517e-01 67 3150 1994 2660
-3.400614687807100012e+01 3.593834229019990971e+02 5.575543044976203344e-01 56 3099 0 0
