# log_X log_likelihood tiebreaker accepts tries exceeds visits
0.000000000000000000e+00 -1.797693134862315708e+308 0.000000000000000000e+00 32847 32847 12741 32847
-9.515754521087586015e-01 -1.857319792123667503e+04 2.323121078614002466e-01 24830 32906 13270 44451
-2.145147766261189748e+00 -2.963965201913551482e+03 1.880902797861814246e-01 19945 32835 16822 45117
-3.132593317769501340e+00 -4.637199212585578039e+02 8.661864729834221066e-01 18309 32826 17608 48406
-4.143169008953266896e+00 6.409630426447847640e+02 7.533881041536507617e-01 16624 32872 20785 49340
-5.015333556229999878e+00 1.026871113925114514e+03 3.548692254329518514e-01 15348 32876 16064 52355
-6.185531286655178818e+00 1.224623288489737206e+03 2.903540156655761706e-01 14088 32760 16208 47888
-7.263521165860456819e+00 1.282386674630663720e+03 7.294062406115314756e-01 13147 32826 14458 48083
-8.451508024809253783e+00 1.303932793003696588e+03 3.794348407910506649e-01 12012 32843 17544 46439
-9.426608683262932331e+00 1.309826293169919836e+03 6.119163574791159910e-01 11375 32805 16781 49212
-1.049775008634907358e+01 1.312302632247580505e+03 7.462642108603071422e-01 10574 32742 16825 48632
-1.155530647721007043e+01 1.313209053117491749e+03 1.130943795673259172e-01 9874 32910 18095 48893
-1.254966857842167371e+01 1.313531877287567568e+03 7.407825840427868513e-01 9289 32460 21324 49298
-1.339677174718373998e+01 1.313658594188469124e+03 5.128869544983415407e-01 8937 32588 13584 52639
-1.472750794400865182e+01 1.313726413502096420e+03 2.221292152234468631e-01 8211 32372 17673 45656
-1.567982464389466557e+01 1.313741793072917517e+03 9.682644177408416750e-03 7696 32464 19177 49498
-1.663107986399782590e+01 1.313747298276590755e+03 4.091313767012554337e-01 7405 32326 22908 50869
-1.743962026935708209e+01 1.313749454934840742e+03 6.619803682147633594e-01 6992 32266 30814 54543
-1.802993985732307891e+01 1.313750149307612901e+03 1.466949017524541432e-01 6778 32377 26599 62553
-1.889159043078869260e+01 1.313750764438514125e+03 4.999270829740107454e-03 6464 32267 29152 58222
-1.959708926106119975e+01 1.313750996079396373e+03 6.004038832078126831e-01 6032 32056 29355 60568
-2.033342030335730755e+01 1.313751114248967042e+03 3.608618413324743424e-01 5901 32046 29701 60741
-2.106118854851975541e+01 1.313751173526584353e+03 7.794809743546473602e-01 5674 32028 15924 61100
-2.238582534388168455e+01 1.313751213782576315e+03 2.978903686270562012e-01 5306 32063 25127 47325
-2.303834365169315745e+01 1.313751220923674055e+03 5.911755052111686976e-02 5200 31948 21757 56402
-2.399337488060505308e+01 1.313751225559774412e+03 3.388589970152759978e-01 4880 31855 27274 52964
-2.467327467317399936e+01 1.313751227037455919e+03 8.353259908155195035e-01 4698 31488 42877 58132
-2.500385298884569352e+01 1.313751227478659530e+03 4.066186443794244099e-01 4701 31583 45032 73818
-2.551452198694220996e+01 1.313751227969001320e+03 3.077043702519104973e-01 4571 31683 55888 76076
-2.584302824855348391e+01 1.313751228208685916e+03 8.034525268207488580e-01 4505 31710 0 0
