# level_assignment log_likelihood tiebreaker ID
0 -3.322107893674793013e+04 3.798980599434820249e-02 2
1 -4.909998844644305791e+03 8.806094186955640835e-01 4
1 6.240230562856845609e+02 4.673806101984236960e-01 2
3 8.329320968784999195e+02 4.212067579042141907e-01 1
3 4.051410298966098935e+02 5.207300415994888798e-01 2
3 7.797346587300028204e+02 9.677922739714084344e-01 3
3 7.194994194994380905e+02 9.961552475655519601e-01 1
4 8.014094992476285597e+02 5.456554703452245469e-01 1
2 -1.665042943702645971e+03 7.359174046238905476e-01 4
5 1.237885707843644013e+03 2.962267860941496522e-01 0
6 1.294209927014697087e+03 1.647640559586485143e-01 2
5 1.227274066939262866e+03 1.020471045568687174e-01 1
5 1.132213476902477851e+03 7.434682355167819834e-01 1
8 1.305019100496229385e+03 4.577042251661858074e-01 2
4 1.197865465158852203e+03 6.734979580429403256e-01 4
1 -1.643181913271888334e+04 9.214050435346187173e-01 0
5 1.224816241948160496e+03 9.655280090792244252e-01 4
8 1.306544155611396036e+03 9.198486785412769429e-01 1
1 -2.101431445592176715e+03 7.843412152594140263e-01 0
5 1.309105222794684323e+03 8.348827089238045618e-01 3
1 -5.415529560776132712e+03 3.967220163815271539e-01 3
3 9.553509206314038238e+02 2.963915627982854906e-01 0
0 -2.913899999198382720e+05 5.131872761561524499e-01 0
5 1.260509379885734234e+03 3.437896563927766991e-02 1
0 -4.095556780490951496e+04 6.668723017981548207e-01 0
5 1.179102146992735015e+03 3.184156147673536386e-01 0
7 1.283438013627872579e+03 5.800396838255876819e-01 1
10 1.312852551553518197e+03 2.687320103158246098e-01 3
5 1.091315744437626336e+03 2.939207798747714775e-02 0
0 -1.487843758750591178e+03 7.807835967664119581e-01 4
8 1.308922601638035076e+03 1.113017558341642399e-01 1
3 6.586205966155759484e+00 5.749077608319425048e-01 4
8 1.311094049593154523e+03 4.007515016324636470e-01 3
10 1.312703911972022297e+03 4.623703285626749176e-02 0
5 1.089102659621521980e+03 1.327552831162843727e-01 2
5 1.045295178759695773e+03 5.297168912983867273e-01 3
11 1.313635624487517362e+03 7.568461489681812537e-01 4
6 1.227850927497945577e+03 3.881568508721287003e-01 2
7 1.299008234576225277e+03 1.773036327760664221e-01 2
9 1.311993000769550235e+03 6.479836112106134305e-01 2
11 1.313217742118647493e+03 1.815751101778297072e-01 1
10 1.312509305032020166e+03 6.437766548413056400e-01 3
5 1.214901729686729141e+03 3.770554581371118874e-01 2
13 1.313740302999965479e+03 1.644629281547924649e-01 4
1 -1.909991978405057807e+03 5.194152321731415611e-02 2
10 1.313533951265217638e+03 4.368563206754911832e-01 1
1 -4.631152028158799112e+03 1.613572798386888607e-01 3
8 1.305459221036182043e+03 1.844289894341444580e-01 2
13 1.313742039900545478e+03 8.584071061489471077e-01 4
10 1.312362469324970789e+03 6.041928888751693094e-01 2
13 1.313694119422616495e+03 8.343055695052127296e-01 3
9 1.312376657811259065e+03 9.054246047380898332e-01 2
13 1.313725802142427483e+03 2.094907388435893747e-01 3
0 -1.814319606380324694e+05 5.575954668950093840e-01 0
9 1.311952241850366590e+03 9.547288909014296499e-01 2
0 -2.457487055734221358e+05 3.152054223586295278e-01 0
14 1.313733147423939045e+03 6.332488143292067662e-01 3
4 8.609953116017011325e+02 4.328409042503764681e-01 1
5 1.162748056347607871e+03 1.407720763483895077e-01 1
12 1.313543752147282703e+03 6.799744109952533533e-01 0
10 1.313457638781710557e+03 5.747798224214237806e-01 0
12 1.313550936995808570e+03 9.464530513702983372e-01 0
