# log_X log_likelihood tiebreaker accepts tries exceeds visits
0.000000000000000000e+00 -1.797693134862315708e+308 0.000000000000000000e+00 30346 30346 12055 30346
-9.301869162762269605e-01 -3.117666294936497434e+04 7.136107032583147713e-01 25130 30459 18274 41307
-1.757788687720537979e+00 -1.399017359034353467e+04 8.226856182556071539e-01 21583 30445 21310 47383
-2.568327679966206034e+00 -8.480948875085789041e+03 5.652444250350812105e-01 19713 30336 21831 50295
-3.411961749045810954e+00 -4.541603889145126232e+03 7.945559753085904564e-01 18103 30344 19093 50869
-4.393057067791277248e+00 -1.683946914189801873e+03 2.129503816914630754e-01 16647 30257 14025 48202
-5.611473504398829526e+00 1.462867673639269128e+02 9.514962992054480928e-01 15114 30101 6681 43167
-7.387462778608817615e+00 1.050739820746029636e+03 3.711668769715465999e-01 13000 29604 10562 35696
-8.585633415309910532e+00 1.203524409981484951e+03 3.564572656304036968e-01 11931 29789 13336 39406
-9.662640337467635732e+00 1.254462066652303974e+03 4.425713625691530817e-01 11493 29845 10542 42092
-1.101489524155097044e+01 1.287360330754214601e+03 6.559498798247931362e-01 11070 29962 17482 39682
-1.184687024708962433e+01 1.298596478292816528e+03 2.735277665674789582e-01 10635 29976 11702 46201
-1.319154270670710005e+01 1.308326933152485026e+03 7.243555818023045267e-01 9977 30260 12191 41476
-1.439829467340661751e+01 1.311301627094980631e+03 7.311354073678646426e-01 9331 30270 21230 41841
-1.509626493254751090e+01 1.312115545135972297e+03 2.921726208548483875e-02 9252 30201 12962 50246
-1.642626258062043476e+01 1.313055740945974321e+03 1.199403743735898836e-01 8593 29837 13348 42123
-1.756431526972444246e+01 1.313445593000372583e+03 6.672715733847219832e-01 8158 29975 11407 42347
-1.885089367705392505e+01 1.313620705768792959e+03 2.662660908056646569e-02 7823 29769 14882 40432
-1.985040129540043807e+01 1.313682771196563863e+03 2.451317450716405943e-01 7575 30017 25179 43882
-2.043031109259630185e+01 1.313704118572155039e+03 7.455701266800289773e-01 7438 30069 22670 53537
-2.129698664002697939e+01 1.313724819688583239e+03 5.197240545473804652e-01 7226 30106 33880 52011
-2.175087776425333530e+01 1.313731779197637707e+03 6.960651828518038542e-02 7165 30188 46883 63626
-2.208023741578169918e+01 1.313735709999588380e+03 5.956696649865678150e-01 7075 30187 60856 76437
-2.232979437021148783e+01 1.313738175202267939e+03 4.122363149063740240e-01 7026 30259 81541 90486
-2.245406663535509750e+01 1.313739303942136758e+03 1.359653952857001191e-01 7024 30265 104414 111157
-2.253361665314302087e+01 1.313739933502238728e+03 7.910325769203049862e-02 6978 30297 94581 134075
-2.289364559616950245e+01 1.313743020759693081e+03 3.609845034165561906e-01 6750 30250 45947 124185
-2.388807096356104864e+01 1.313749598940732994e+03 6.274122743321175477e-01 6799 30368 43145 75667
-2.446418136627553253e+01 1.313751984498349202e+03 8.377828904720939773e-01 6545 30252 43099 72753
-2.500366383387593672e+01 1.313753300390677850e+03 5.868744110732033725e-01 6375 30196 0 0
