# level_assignment log_likelihood tiebreaker ID
0 -1.893878032524252194e+04 1.440075494667957812e-01 0
1 -2.017535619828750350e+04 4.057765647173913054e-02 2
0 -1.029602011870621063e+05 7.944529814058280959e-01 1
0 -1.003654050093273327e+04 5.074336182502481307e-01 3
2 -9.322292473304958548e+03 1.486103599661808272e-01 0
1 -2.720015047030064306e+04 2.754725196263194675e-01 0
0 -1.592011111005463863e+04 2.654412562012891108e-01 1
1 -2.249414206065101462e+04 9.667631488184680322e-01 0
2 -6.929945506854835912e+03 9.670254915531852902e-01 1
3 -4.468431528934223934e+03 3.274020391653345574e-01 4
5 -2.004300708524181402e+02 8.713510148340180006e-01 4
3 -4.902237796841508498e+03 2.886608278720759202e-02 0
7 8.743017308981461611e+02 4.860027487724581374e-01 4
5 -1.584472298966928065e+03 3.844825563406424895e-01 3
6 -7.694041053435369122e+02 6.081656394241691244e-01 3
8 1.174961099532252774e+03 4.452823356313831415e-01 0
6 -8.250269222505772859e+02 6.198447511376405927e-01 0
8 6.095076369020998754e+02 9.619550952031694635e-01 4
9 1.094842667593544775e+03 2.068054010326525471e-02 4
9 1.050592619263640700e+03 2.860160547403825526e-01 1
8 1.164691421451521364e+03 8.426650583848172005e-02 1
7 5.692373519292143556e+02 8.276057117122024298e-01 3
2 -1.158340471639837597e+04 2.893058607151877126e-01 2
8 6.970851580174849005e+02 5.858557737769412022e-01 4
4 -3.103475010513883717e+03 8.672301884493218704e-01 0
10 1.194104938775198661e+03 3.974529765669293502e-01 3
12 1.294428325076224155e+03 8.909539390740253140e-01 3
12 1.306893794171561240e+03 9.879140844035456670e-01 1
7 3.571331702938208537e+02 2.723801569848475768e-01 2
11 1.289508498735412104e+03 9.466433191704299865e-01 3
9 9.930611878805946162e+02 6.355697724572282326e-01 1
14 1.310701600845786743e+03 5.298480829595221264e-01 3
8 7.531739976300445960e+02 3.057583990087427983e-01 2
9 1.128427936280820632e+03 8.386777806134215751e-02 2
15 1.312823468182665465e+03 8.957111567249600448e-01 0
15 1.311738051555228594e+03 9.567837412271844588e-01 0
10 1.225480804763192737e+03 3.854388737851097146e-01 1
2 -8.821392373185033648e+03 2.589304979744028734e-01 1
12 1.297636818233138911e+03 1.526819479840630933e-01 3
