# level_assignment log_likelihood tiebreaker ID
0 -8.432145876634614979e+03 7.506710027502789817e-01 3
0 -5.618847124979622095e+03 1.221466144132248369e-02 3
2 -4.601118444380230699e+02 3.238674582909620847e-01 0
1 -4.691038036088939975e+02 6.927624963102938516e-01 0
4 -2.689440843085241681e+02 1.600284399081095543e-01 4
3 -3.623847377780018633e+02 6.023232064052732454e-02 2
5 -1.834721535582154104e+02 8.087248790690911848e-01 4
0 -5.806820153775129256e+02 7.977265700322290487e-02 3
4 -3.091128585956035977e+02 5.877701691156501651e-01 3
0 -3.582086613349236359e+03 7.974312680272558351e-01 1
1 -6.188560524783360961e+02 4.659053984208831878e-01 2
3 -4.330442949286498333e+02 6.755651396947564002e-01 0
6 -1.129158293202956145e+02 9.354358464066863110e-01 4
3 -2.628395465283414865e+02 4.574511833980272058e-01 4
8 -9.973690305480261031e+00 5.582351840968992063e-01 2
9 5.150053106076221354e+01 3.199406917577713588e-02 0
8 5.767006654997441473e+00 8.872944035252732231e-01 1
9 8.410333254423500193e+01 6.250784378738918345e-01 0
6 -1.072222894707227283e+02 1.466462519994544689e-01 0
9 3.155658926194129776e+01 1.380986535240088797e-01 3
8 5.104788642877809934e+01 1.483334018550331625e-02 2
12 1.403213223116438826e+02 9.193214535707054935e-01 4
8 -1.389976134636997074e+01 6.715638014662608235e-01 1
2 -1.156135204451285858e+02 9.655976224176092693e-01 2
4 -2.724273818008340982e+02 5.787393546129393496e-01 2
10 1.083347575838057537e+02 8.125125534359537438e-01 2
12 1.070839857563735649e+02 1.557386420761490142e-01 0
7 -6.440502033654736636e+01 6.270926631468134449e-01 4
8 6.576581686318769471e+01 9.739740020917919683e-01 2
5 -1.827410840951440889e+02 2.465700624978581779e-01 2
0 -7.025307962686336396e+03 2.274744558033112152e-01 2
11 9.886097030560176790e+01 9.309016935720386687e-01 4
2 -7.084473238130249229e+02 6.014980849779405503e-02 1
15 1.560013242156236402e+02 7.521078823374969247e-01 2
2 -4.943841626472424196e+02 9.942357942395254611e-01 0
12 1.031921505769986993e+02 9.344811370733636657e-01 2
15 1.611861357745403893e+02 4.749808297525834888e-01 3
2 -5.976225106994756970e+02 9.678251063351019923e-01 1
9 9.778285660604598206e+01 2.748168064657458554e-01 1
13 1.353776598868571170e+02 5.786593019646830705e-01 1
14 1.539842613130238647e+02 9.449735171964552816e-01 2
16 1.634325729826899476e+02 3.687113108261463879e-01 1
16 1.612109442518252536e+02 7.598883102527900224e-01 3
10 5.193047845425800091e+01 8.439025239210650176e-01 0
15 1.559713455758486305e+02 9.484174707304939833e-01 3
18 1.713284643078199565e+02 9.624740874692159220e-01 0
11 9.035451475200311222e+01 5.414991203840936462e-01 4
10 6.846136010177110620e+01 7.395232794776351870e-01 4
13 1.276222743011178693e+02 1.455668118794748445e-01 4
18 1.767689376611405407e+02 1.503417772955363552e-02 0
17 1.682414912569446415e+02 8.175180373615011931e-01 0
18 1.744197337349929740e+02 8.027208513811832091e-01 0
19 1.765057199384485216e+02 1.920959667334758147e-01 0
18 1.724148356878168045e+02 7.060967301858359635e-01 2
13 1.755581156389846740e+02 4.031487799332170718e-01 0
16 1.633143107743878204e+02 1.614675562830347744e-02 2
8 2.233327152860025677e+01 9.475085247241608055e-01 2
12 1.054575676166553251e+02 7.975115583136319630e-01 4
11 1.127719924335288795e+02 4.971485379737417554e-01 1
1 -8.918431138097785151e+02 5.076167452663109536e-01 2
17 1.699707353690140792e+02 5.418571404657175350e-01 4
17 1.713480286602297440e+02 5.607713459060087446e-01 0
8 -1.497802633984690601e-03 8.646433160882196489e-01 2
18 1.740734062711111960e+02 3.650519694156924011e-01 1
22 1.782160821323726054e+02 8.444344044338403243e-01 0
22 1.779896574183477753e+02 8.402370690523380814e-01 0
21 1.774633995737787586e+02 7.547192661594626095e-01 2
24 1.789219403616440047e+02 5.372817206753338626e-01 0
25 1.791991623231409108e+02 9.497749589786277369e-01 0
25 1.791068670969683865e+02 8.588989857574258480e-01 4
25 1.794907591510077509e+02 6.456413706881116710e-01 2
5 -2.012761955614881799e+02 1.684504735107061890e-01 0
20 1.774910684947649031e+02 1.636444356789699128e-01 4
27 1.798477431417591106e+02 9.841838987813110728e-01 2
23 1.786591933621304520e+02 4.309769262628386777e-01 3
18 1.727893601100404908e+02 4.128171004437455882e-01 0
23 1.786905476697151869e+02 6.218087716746230065e-01 0
27 1.800464333379692903e+02 2.552562965173308385e-01 3
29 1.801370757098737840e+02 1.997932996352576318e-01 3
27 1.798886808864390616e+02 3.949367068063184827e-01 2
29 1.801567349413631973e+02 9.106777166499822052e-01 3
28 1.798313445841244231e+02 2.049269744003945348e-02 0
25 1.791173511409671164e+02 5.870912894973703278e-01 0
26 1.792439412080026386e+02 9.408511039947290433e-01 4
29 1.800509469433865490e+02 7.681457330258738558e-01 1
24 1.787178346325611642e+02 4.290146331342277186e-01 4
29 1.802936323119830035e+02 3.264633718131144668e-01 1
28 1.798323949133901749e+02 3.790596107027051076e-01 3
27 1.796571524201391412e+02 3.654239266934561914e-01 4
16 1.635379080398933525e+02 9.362567827653602848e-01 0
33 1.804049842638625023e+02 6.882156773102892089e-01 1
29 1.800578923323820391e+02 7.229956398029475650e-01 3
25 1.794654697965868877e+02 3.697336250235552235e-01 4
21 1.782887920937306490e+02 7.407407397467453691e-01 4
19 1.750365817192308668e+02 6.833045803249051531e-01 4
29 1.799967057473534169e+02 4.226443978113317845e-01 1
30 1.801936653790198193e+02 5.390445979527657555e-02 3
32 1.804843817801772161e+02 2.250330963535351891e-01 3
21 1.789410681326248778e+02 4.580326421985179697e-01 4
28 1.798520474150743382e+02 8.887474540633171216e-01 0
26 1.794087095516038630e+02 9.970412627534963601e-01 0
28 1.798646824156541015e+02 7.342813597907761336e-01 3
23 1.785465863820824666e+02 7.370444412145844559e-01 2
26 1.792771151998966559e+02 6.986824543779541763e-01 1
26 1.792475909970355872e+02 5.677150348462127738e-01 1
30 1.801582639467014815e+02 9.059275686119931947e-01 4
26 1.792439844669950730e+02 3.746214875710889292e-01 3
13 1.386798184185188347e+02 2.641277993647406230e-01 2
29 1.801326228202505604e+02 9.556073607225027411e-01 4
29 1.799860333129680328e+02 8.608792454810962891e-01 4
19 1.753095226209217117e+02 9.527211753223816526e-01 1
16 1.711331626274354392e+02 5.305479319645961533e-01 1
21 1.776821378143910408e+02 6.279721327076036586e-01 1
18 1.727168584365899733e+02 4.671417825717242289e-01 2
21 1.779170857321394408e+02 7.728133767159647283e-01 4
16 1.604019829678849192e+02 1.460663837810508570e-01 0
7 -1.669040312273173043e+01 3.868304177282846368e-01 0
20 1.765644591117351467e+02 8.411085080069126141e-01 1
28 1.798246091981545760e+02 7.863788263986974947e-01 4
24 1.797119915642560386e+02 9.395286192539257231e-01 3
25 1.792060725458193815e+02 8.961155065987721491e-01 4
33 1.803203392008044830e+02 8.119710316466746125e-01 2
20 1.777274147616354298e+02 3.464504541333600640e-01 0
31 1.802106776397349108e+02 2.762487855905737533e-01 0
28 1.801558066767667299e+02 8.685360606743963707e-01 1
29 1.801187138786660853e+02 7.930491848770344632e-01 2
32 1.803125729498640339e+02 1.072230009360287672e-01 2
25 1.791362921824701857e+02 9.243193616736187224e-01 0
25 1.792456188222260494e+02 8.541070586416807942e-01 4
26 1.792612529543570759e+02 1.597981784845394770e-01 1
20 1.767465168481931244e+02 4.235487313239162943e-01 0
29 1.800493148813986295e+02 1.137918952239925195e-02 1
27 1.797242704325551585e+02 9.350207659096138046e-02 1
20 1.767721149699632406e+02 8.726338693494639642e-02 0
28 1.798246639325242882e+02 8.261388510082281478e-01 1
33 1.803321713130384865e+02 2.162989073993175082e-01 2
33 1.803372428753973793e+02 6.981017297218733431e-01 2
30 1.800940018338746995e+02 2.596209508989895665e-01 1
34 1.803565331322295435e+02 9.602333283342516512e-02 2
25 1.791517891010871040e+02 4.996520312094225313e-01 0
28 1.798104372949250944e+02 9.996185382506652672e-01 1
37 1.804444861453909539e+02 8.355307086013245010e-01 4
19 1.761167390484868918e+02 5.122592388370997840e-01 0
23 1.788796836589958730e+02 7.880956631720643646e-01 3
22 1.787787345708480302e+02 8.212324442624975573e-02 1
24 1.786632413391014609e+02 1.340351434321793433e-01 0
26 1.793192650099171033e+02 8.540218147498280787e-01 3
30 1.801875201767353190e+02 7.129479394444095952e-01 1
7 -5.476008439553977780e+01 6.759880932176454138e-02 0
22 1.780820485116560690e+02 7.271241628173339411e-01 3
2 -6.079954847479657474e+02 3.910632421720614538e-01 0
14 1.710292963240274560e+02 4.776393925948658192e-01 3
38 1.804648427036430576e+02 8.149861645761686813e-01 1
6 -8.405961429478230684e+01 9.049834964478051802e-01 2
22 1.787774879455619441e+02 3.040698525188845203e-01 2
18 1.754107526378376178e+02 8.767413123107806738e-01 3
30 1.801091823196773021e+02 3.268362472976552024e-02 0
2 -4.454463527524426354e+02 5.260281789203831160e-01 3
32 1.802703083486291007e+02 3.200330353292645813e-01 0
13 1.409414208404693909e+02 2.555622273486406471e-01 3
37 1.805186662917680280e+02 7.730760012081198118e-01 1
35 1.803863536073223770e+02 2.558228613991596068e-01 0
37 1.804562638733976598e+02 1.431741843005202575e-01 4
38 1.804616091929595996e+02 1.977638585559216011e-02 1
3 -3.160993257905763585e+02 3.294438112047319567e-02 2
33 1.804097158694981431e+02 3.189726092248413858e-01 4
7 1.493819371421957243e+01 6.803921587373336077e-01 2
33 1.803390724554202507e+02 2.118004737600998749e-02 1
34 1.803736564142599264e+02 5.817379295549880425e-01 3
33 1.803240279671444455e+02 4.450196257331916483e-01 3
37 1.804534739897927693e+02 9.599705578233558301e-01 1
7 -2.986755400898343993e+01 8.127794276688797837e-01 2
36 1.804351111329723381e+02 3.741059697022204311e-01 0
39 1.804992137851605776e+02 4.403653476878233164e-01 4
33 1.803487459110278621e+02 3.342449447584769917e-01 3
21 1.773624812168975495e+02 8.162390029205367492e-01 2
39 1.805015096461731900e+02 4.243770204558448556e-01 3
35 1.804315250576478320e+02 2.219412453420247233e-01 3
39 1.805408273003720296e+02 4.290083277547965257e-01 3
28 1.800672255585433845e+02 8.029226814663964484e-01 1
37 1.804577463817759622e+02 1.065358128908722307e-01 0
26 1.794603226995621412e+02 5.030923853888924491e-01 4
39 1.804973427725180954e+02 5.982462475985392825e-01 0
24 1.786271430137449556e+02 7.650450864030364784e-01 1
2 -4.999153049097290022e+02 2.949886286336864671e-01 2
37 1.804464034449102883e+02 5.279230415619924344e-01 0
16 1.610420701744399992e+02 8.325264122901157027e-01 2
6 -1.281514379331532609e+02 1.756681886858814101e-01 2
1 -1.070527385866435679e+03 2.750202733829839596e-01 3
35 1.804177489862582320e+02 7.225541106188413387e-01 0
30 1.801349912418969836e+02 4.508300665189679535e-02 2
15 1.615728858737758458e+02 7.492380392651979415e-01 3
26 1.797992485609840401e+02 6.904593689141531598e-01 3
25 1.791623037100314377e+02 6.788054475908190666e-01 1
34 1.803927775735471926e+02 9.171427631671376091e-01 2
12 1.650166584518473201e+02 9.286189937107938164e-01 4
20 1.771419254249057076e+02 3.901403544849589289e-01 1
39 1.804812141583003040e+02 5.001773932340215501e-01 2
37 1.804652649531232669e+02 4.153416455469032265e-01 2
9 1.170153828814840864e+02 8.546697318892562123e-01 3
27 1.795594916163919947e+02 1.790877789851670343e-01 4
15 1.628999398550206763e+02 5.769490869181309600e-01 0
5 -1.292264686812787886e+02 2.454121650274450894e-01 0
5 -1.971026311262899640e+02 3.461903347658865648e-01 3
19 1.744637322037012268e+02 2.492233183800882657e-01 0
1 -1.364506815785958452e+03 9.135211120316785172e-01 3
0 -3.286546051684952999e+03 4.431952167652361552e-01 3
23 1.783734867806038551e+02 6.288374104720877433e-01 4
9 1.452633813557123688e+01 6.296224016888142261e-01 0
24 1.792866296255781151e+02 2.840395027351849677e-01 2
21 1.778242128221032203e+02 2.382308619598693389e-01 0
15 1.541242439394580401e+02 9.194633923117581098e-01 0
4 -2.121898587142935924e+02 7.251311657879376815e-01 0
19 1.749975406935830620e+02 7.014222665111971011e-01 4
2 -5.647899287578231906e+02 3.830773332146003574e-02 3
15 1.557522633205151692e+02 7.334716244987298239e-01 0
1 -8.663007507930010433e+02 5.388563790498560602e-01 4
10 9.115656911355176817e+01 9.447219526141958923e-01 1
29 1.800006040999317349e+02 8.090092068043208684e-02 3
26 1.793736771219447519e+02 5.410132215395911937e-01 3
9 4.042903484643566969e+01 9.694094160162287643e-01 0
1 -6.642589348504508280e+02 2.072904048565691881e-01 1
5 -1.234195084772522222e+02 7.458525355103162724e-02 1
27 1.795980034697347492e+02 4.406794944770116018e-01 3
5 -1.399923713092234152e+02 4.093049998848050097e-01 1
22 1.780803848225762067e+02 8.456630218638359064e-01 4
25 1.789578614103227494e+02 3.681240170964201752e-01 1
25 1.790915681046671182e+02 8.123487835568475868e-01 3
20 1.774538892110893471e+02 5.835867500823646026e-01 1
30 1.801729802780380965e+02 4.251130041258146530e-01 3
28 1.799240141340005721e+02 9.078314798045369338e-01 0
31 1.802832841532518842e+02 5.749515666089966004e-01 4
37 1.804617472360157819e+02 7.374534153820099247e-01 2
38 1.805025781900112065e+02 6.612921278575240036e-02 2
28 1.800626782757042861e+02 1.422794213399747321e-03 4
21 1.775425109673745396e+02 5.840655537417124288e-01 1
21 1.774407812254511612e+02 4.663058774519726057e-01 1
37 1.804358694407730752e+02 3.428167586701136305e-01 2
22 1.787417414868815229e+02 9.454123752945055026e-01 1
17 1.761601343424615891e+02 1.134764920322082205e-01 1
35 1.803845681369450631e+02 3.938430809130419874e-01 2
24 1.790921423890044935e+02 1.596392036284712823e-01 3
19 1.765686380488535292e+02 5.035562818413478192e-01 2
4 -6.715080199089524626e+01 6.826021357317282323e-01 4
3 -4.688197237088439806e+02 9.904242047630527068e-01 4
3 -4.409684767041060240e+02 1.746929107140451076e-01 3
22 1.778457133832524448e+02 3.595261341710311309e-01 0
24 1.786356746441392147e+02 5.356434650681341642e-02 0
24 1.790892911300348942e+02 2.366729116138129863e-01 0
24 1.789153934028609001e+02 8.361578918795206095e-01 0
22 1.791201204001588962e+02 2.186505781385001956e-01 0
17 1.656491150416770211e+02 3.403171632792642565e-01 1
11 1.004770220486435903e+02 5.788484575352893513e-01 1
3 -4.923372947712845757e+02 9.763370554264829693e-01 3
1 -7.989607625094556624e+02 9.829938905007635785e-01 3
13 1.392862154585886572e+02 9.667768090039837725e-01 3
17 1.675523075330309268e+02 8.719193072241416820e-01 1
21 1.770851497069996867e+02 6.521374486453065389e-01 1
30 1.801079890392587686e+02 7.717678980800012356e-01 0
9 8.942986978886797544e+01 8.339168928057087982e-01 4
28 1.798504228738186157e+02 3.824924276671937129e-01 1
12 1.296484883342976104e+02 4.365633978374483526e-01 3
33 1.803230660504182197e+02 8.469349048307602823e-01 2
15 1.541179368812256598e+02 9.875495966754113120e-01 4
0 -1.353729613019988392e+04 4.891685833477446010e-01 3
10 6.608129262763911527e+01 8.662875156949354505e-01 3
10 5.221970444186774785e+01 7.960089482898106139e-01 4
0 -1.180592273482867677e+04 7.413009468804572233e-01 4
38 1.804995035130018550e+02 4.660646000217689711e-01 2
14 1.445301980922524763e+02 6.303056775014602431e-02 4
35 1.804106754144412150e+02 9.989629069737194778e-01 0
22 1.776568280929454886e+02 9.232615135000790119e-01 1
1 -7.247565462979591757e+02 3.395437172059070363e-01 4
6 -7.936018786962097238e+01 7.402633633948390024e-01 3
1 -4.851652468226664041e+02 9.189116610221813586e-01 3
2 -2.390161431368000251e+02 6.680069377919694018e-01 4
32 1.803163140034018568e+02 1.001093453583514759e-01 2
8 -1.776741591826360889e+01 1.000194647952719063e-01 3
9 4.204993139513197775e+01 7.584029540763375099e-01 3
7 -4.566099056520425847e+01 1.736439883465727974e-01 3
12 1.091424594080625354e+02 3.026454396597100249e-01 4
21 1.771569444173450734e+02 7.272894565970635661e-01 0
24 1.788061846560636070e+02 5.679343222586723527e-01 1
23 1.790753987152792206e+02 9.326474013696781640e-01 3
25 1.790179120158550461e+02 6.571795264840432083e-01 1
3 -2.293385743612218732e+02 4.772295401246874902e-01 4
33 1.803233904127748701e+02 8.266485570068660138e-02 2
16 1.636013987814025654e+02 1.145242451403728490e-01 0
22 1.778659553152160413e+02 4.132445178669935104e-01 3
13 1.253159556996043591e+02 6.581539917603950185e-01 4
7 -4.137629757639875550e+01 7.576652838515375299e-01 3
1 -6.670943931724284539e+02 9.830193585397917211e-02 3
2 -6.682393498331980481e+02 2.578672066919729389e-02 3
30 1.801362276565371019e+02 7.866231528995827338e-01 1
2 -6.750242849033750190e+02 6.970991083399634691e-01 0
6 -1.202416183567116548e+02 8.680581502804045613e-01 4
34 1.804384908958422784e+02 9.247683555026142699e-02 2
21 1.777723511545830206e+02 2.291785007758975201e-01 3
14 1.596302570960056073e+02 3.540304679859030967e-01 4
20 1.763016942350866998e+02 9.293749295425537404e-01 4
12 1.587286359201892765e+02 3.916042057311983626e-01 4
13 1.302636880179961452e+02 5.756283540919230335e-01 3
18 1.763797165051772708e+02 5.906628888947196288e-01 0
10 1.147574907312248342e+02 4.087623426285631467e-01 3
21 1.771750266257909061e+02 1.891674360492754114e-01 1
14 1.648638055872237942e+02 3.922136662998532142e-01 1
31 1.803410898687596386e+02 2.535576504289238642e-01 2
10 5.597652951453371628e+01 1.331154386284056079e-01 1
6 -1.214913173300675737e+02 9.086379369648533988e-01 3
29 1.800514992183504432e+02 1.548987285518022006e-01 2
6 -5.624668142894353906e+01 4.415730576393945839e-01 3
11 1.484788822437570275e+02 1.359399855894104225e-01 3
27 1.798351892652079300e+02 7.769613706681995913e-01 2
4 -2.989167287235737263e+02 6.096014167533452266e-01 4
24 1.797598472148991959e+02 9.940151715527889564e-02 1
11 8.103215124368193756e+01 9.315216752936352762e-01 4
31 1.802661065439376671e+02 1.076046600666438202e-01 2
25 1.799843136715480227e+02 7.764370214723008701e-01 1
16 1.689760839846504155e+02 5.102034435713911353e-01 4
34 1.803534972747045515e+02 8.822065422238232202e-01 1
1 -1.132551275380990774e+03 2.063424872110629360e-01 3
9 7.707082794247507707e+01 2.696608381364260509e-01 3
38 1.804654740207508326e+02 6.461896475151185371e-01 2
11 9.495344165977974171e+01 3.962169172942262008e-01 4
4 -2.730419657007039973e+02 7.808206289308751158e-01 4
23 1.787082173823836229e+02 6.960386632662700634e-01 3
26 1.795735265366704141e+02 4.792564300405999234e-01 3
36 1.804304978729966251e+02 7.270455090014635857e-01 0
39 1.804862751189168648e+02 6.348319111996605923e-02 0
37 1.804662656156251046e+02 9.630103858763288116e-01 0
23 1.790547164068723873e+02 5.350120069076129692e-01 3
39 1.805051861498693029e+02 9.416535057486721261e-01 0
25 1.789838071275629261e+02 9.312086539389357043e-01 1
21 1.787445625216351743e+02 2.309461226626257080e-01 2
27 1.799308764959025098e+02 1.602385933953087704e-01 2
5 -1.714516088707912331e+02 4.477413499259252916e-02 3
11 8.484075889333688281e+01 7.499914789775394830e-01 4
13 1.273571783325593003e+02 6.230379606973361906e-01 3
32 1.802882054687732989e+02 3.751303285496767059e-01 1
17 1.731221948399050348e+02 5.852524540151968768e-01 2
20 1.789405743507208797e+02 5.725887758900469748e-01 3
8 -1.048747638803689597e+01 3.834825172436343022e-01 3
22 1.783580196819557671e+02 1.216434569687192824e-01 1
25 1.790680385171929174e+02 9.512224264463932377e-02 0
16 1.694908036186827474e+02 5.560066698414183328e-01 1
16 1.716882892076298219e+02 9.472879913622614945e-01 2
16 1.674668023253507840e+02 1.232023656638092657e-02 2
6 -4.324958568409606130e+01 8.366292830469453934e-01 4
4 -3.262725685800609199e+02 4.196213519522027369e-01 3
22 1.777212305606317670e+02 6.459626074222981629e-01 0
7 5.382283794781552189e+01 1.450693462038554760e-01 2
2 -6.054307080546039970e+02 1.097637512678072830e-01 1
0 -9.053853224385348994e+02 9.508741887074704247e-01 3
4 -1.306694907062960169e+02 9.180254894082920947e-01 4
0 -3.121054113957232403e+03 2.569284177012320924e-02 4
13 1.241857106466733995e+02 9.608943346047960077e-01 3
18 1.724038636111811797e+02 9.246347255522716080e-02 2
11 1.490312298276053298e+02 2.187259303983604131e-01 3
17 1.691595092986050020e+02 4.726171632317299753e-02 3
13 1.350961547263891021e+02 2.173552773553701911e-01 3
26 1.793705915744038180e+02 6.239063106581852480e-01 4
3 -2.504942676302251527e+02 6.573258823487854174e-01 3
0 -3.483765552418506559e+03 8.616725952888404372e-02 3
27 1.795525252745544549e+02 4.536384127735570981e-02 4
